case,primary,seed,mode,solve_scheme,mixed_mechanics_mode,top_u_mode,alpha_init,coord_normalization,hidden_layers,neurons,activation,l0,steps,step11_Delta,step11_alpha_mean,step11_alpha_std,step11_alpha_max,step11_bulk_He_over_notch,step11_bottom_He_over_notch,final_step,final_Delta,final_alpha_min,final_alpha_mean,final_alpha_std,final_alpha_max,final_alpha_gt_0p5_area_fraction,final_max_He_current_x,final_max_He_current_y,final_max_He_history_x,final_max_He_history_y,final_max_mechanics_drive_x,final_max_mechanics_drive_y,final_bulk_He_over_notch,final_bottom_He_over_notch,final_bulk_drive_over_notch,final_bottom_drive_over_notch,final_notch_tip_alpha_max,final_bulk_alpha_mean,final_bottom_right_alpha_max,final_reaction_N_tm_eff,final_elastic_energy,final_fracture_energy,final_loss_log10,classification
intact_unitbox_full,True,2,full,coupled,history,free,alpha-init-intact,unit_box,8,400,TrainableReLU,0.00015,34,4.9e-05,0.10595774404487328,0.17176570899497326,1.0007787942886353,0.00024985136390952897,0.00015579203826305676,33,0.0001,-0.000121019606012851,0.11329672362593013,0.19175092068320562,1.0012658834457397,0.05211605987802624,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,1.968814865179402e-05,1.8164924234447615e-05,3.1506394573724266e-05,1.8436661103627057e-05,1.0010097026824951,0.10590172673060252,0.18707959353923798,0.820360004901886,3.878222543107768e-08,2.4907659934569892e-08,-7.195929532792962,A. 12-step localized -> full-stage localized
default_unitbox_full,False,2,full,coupled,history,free,default,unit_box,8,400,TrainableReLU,0.00015,34,4.9e-05,0.10579043152844328,0.172444977452314,1.0010241270065308,0.00023655453184848838,0.0001628803961774206,33,0.0001,-0.000526242598425597,0.11252206859905464,0.1913652760073862,1.0016753673553467,0.051376824986139345,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,1.4624174343763668e-05,1.796342428588899e-05,2.8885672189394125e-05,1.8126400505159333e-05,1.001664400100708,0.10578887609927433,0.18534986674785614,0.8940204977989197,3.85681993009257e-08,2.4990621128040402e-08,-7.196824171344216,A. 12-step localized -> full-stage localized
