case_id,step,displacement_mm,engineering_strain,HI_peak,HII_peak,HII_over_HI_ratio,He_peak,mechanics_drive_peak,mechanics_drive_x,mechanics_drive_y,drive_location_classification,finite,comment
B,10,2e-05,0.002,0.027083341032266617,0.017105262726545334,0.631578751903852,0.04429878294467926,0.04429878294467926,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,0,1e-06,0.0001,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659,0.00021613811259157956,0.00021613811259157956,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,1,2e-06,0.0001999999999999,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659,0.00021613811259157956,0.00021613811259157956,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,2,3e-06,0.0003,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659,0.00021613811259157956,0.00021613811259157956,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,3,3.8e-06,0.00038,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659,0.00021613811259157956,0.00021613811259157956,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,4,5e-06,0.0005,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659,0.00021613811259157956,0.00021613811259157956,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,5,7.5e-06,0.00075,0.0003941476752515882,0.0002489298058208078,0.6315648206269733,0.0006446809275075793,0.0006446809275075793,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,6,1e-05,0.001,0.001272303401492536,0.0008035546052269638,0.6315746733713954,0.002081034006550908,0.002081034006550908,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,7,1.25e-05,0.00125,0.0024339482188224792,0.0015372253255918622,0.6315768403386811,0.003981075249612331,0.003981075249612331,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,8,1.5e-05,0.0015,0.004166852682828903,0.0026316905859857798,0.6315775445651484,0.00681549496948719,0.00681549496948719,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,9,1.75e-05,0.0017499999999999,0.006474819965660572,0.004089354537427425,0.6315781070540117,0.010590516030788422,0.010590516030788422,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
C,10,2e-05,0.002,0.00945452880114317,0.005971277132630348,0.6315785015016663,0.015464268624782562,0.015464268624782562,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
