case_id,step,displacement_or_Delta,engineering_strain,reaction_N_energy,nominal_stress_energy_MPa,alpha_max,HI_peak,HII_peak,HII_over_HI_peak_ratio
A,0,1e-06,0.0001,0.0788481920608319,7.884819206083193,0.00011256631114520133,2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637
A,1,2e-06,0.0001999999999999,0.166325582540594,16.632558254059404,0.0005483329296112061,0.00011736341548385099,7.411851402139291e-05,0.6315299679702274
A,2,3e-06,0.0003,0.2537661348469555,25.376613484695557,0.0014091035118326545,0.0002700086624827236,0.00017052599287126213,0.6315574889460192
A,3,3.8e-06,0.00038,0.3235881158616394,32.35881158616394,0.0023020904045552015,0.0004382481856737286,0.00027677451726049185,0.6315474343265113
A,4,5e-06,0.0005,0.4271147190593183,42.71147190593183,0.012969563715159893,0.0007810589158907533,0.000493294617626816,0.6315715851783621
A,5,7.5e-06,0.00075,0.6399094127118587,63.99094127118588,0.03159081190824509,0.0018472637748345733,0.001166687230579555,0.6315758726357499
A,6,1e-05,0.001,0.8478904492221773,84.78904492221773,0.06150214001536369,0.003423498012125492,0.00216220342554152,0.6315772399701519
A,7,1.25e-05,0.00125,1.0486713144928217,104.86713144928216,0.10118275135755539,0.005863387603312731,0.0037031869869679213,0.6315780633154242
A,8,1.5e-05,0.0015,1.2404142180457711,124.04142180457713,0.1582225263118744,0.009643754921853542,0.00609078723937273,0.6315783933466108
A,9,1.75e-05,0.0017499999999999,1.4206178020685911,142.0617802068591,0.23520593345165253,0.015810448676347733,0.009985541924834251,0.631578655941151
A,10,2e-05,0.002,1.5858918195590377,158.58918195590377,0.3446520268917084,0.027083341032266617,0.017105262726545334,0.631578751903852
B,0,1e-06,0.0001,0.0788481920608319,7.884819206083193,0.00011256631114520133,2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637
B,1,2e-06,0.0001999999999999,0.166325582540594,16.632558254059404,0.0005483329296112061,0.00011736341548385099,7.411851402139291e-05,0.6315299679702274
B,2,3e-06,0.0003,0.2537661348469555,25.376613484695557,0.0014091035118326545,0.0002700086624827236,0.00017052599287126213,0.6315574889460192
B,3,3.8e-06,0.00038,0.3235881158616394,32.35881158616394,0.0023020904045552015,0.0004382481856737286,0.00027677451726049185,0.6315474343265113
B,4,5e-06,0.0005,0.4271147190593183,42.71147190593183,0.012969563715159893,0.0007810589158907533,0.000493294617626816,0.6315715851783621
B,5,7.5e-06,0.00075,0.6399094127118587,63.99094127118588,0.03159081190824509,0.0018472637748345733,0.001166687230579555,0.6315758726357499
B,6,1e-05,0.001,0.8478904492221773,84.78904492221773,0.06150214001536369,0.003423498012125492,0.00216220342554152,0.6315772399701519
B,7,1.25e-05,0.00125,1.0486713144928217,104.86713144928216,0.10118275135755539,0.005863387603312731,0.0037031869869679213,0.6315780633154242
B,8,1.5e-05,0.0015,1.2404142180457711,124.04142180457713,0.1582225263118744,0.009643754921853542,0.00609078723937273,0.6315783933466108
B,9,1.75e-05,0.0017499999999999,1.4206178020685911,142.0617802068591,0.23520593345165253,0.015810448676347733,0.009985541924834251,0.631578655941151
B,10,2e-05,0.002,1.5858918195590377,158.58918195590377,0.3446520268917084,0.027083341032266617,0.017105262726545334,0.631578751903852
C,0,1e-06,0.0001,-0.1475552271585911,-14.755522715859115,0.003702958580106497,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659
C,1,2e-06,0.0001999999999999,-0.0172323907463578,-1.723239074635785,0.0028232019394636154,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659
C,2,3e-06,0.0003,-0.0019457493181107,-0.1945749318110756,0.002120351418852806,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659
C,3,3.8e-06,0.00038,0.0015104857311598,0.151048573115986,0.0030540204606950283,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659
C,4,5e-06,0.0005,0.0050749372348946,0.5074937234894605,0.003025814425200224,0.00014857747009955347,6.712823960697278e-05,0.4518063173507659
C,5,7.5e-06,0.00075,0.3071600222028792,30.71600222028792,0.003143970388919115,0.0003941476752515882,0.0002489298058208078,0.6315648206269733
C,6,1e-05,0.001,0.5282276542857289,52.82276542857289,0.016155164688825607,0.001272303401492536,0.0008035546052269638,0.6315746733713954
C,7,1.25e-05,0.00125,0.7399636087939143,73.99636087939143,0.021993279457092285,0.0024339482188224792,0.0015372253255918622,0.6315768403386811
C,8,1.5e-05,0.0015,0.9441127767786384,94.41127767786384,0.036508958786726,0.004166852682828903,0.0026316905859857798,0.6315775445651484
C,9,1.75e-05,0.0017499999999999,1.1448367731645703,114.48367731645703,0.06514295190572739,0.006474819965660572,0.004089354537427425,0.6315781070540117
C,10,2e-05,0.002,1.334361033514142,133.4361033514142,0.07818233966827393,0.00945452880114317,0.005971277132630348,0.6315785015016663
