case_id,run_id,thermal_mode,delta_T_K,schedule,seed,training_settings,full_or_smoke,step_count,checkpoint_count,field_file_count,energy_reaction_available,peak_nominal_stress_MPa,peak_step,final_nominal_stress_MPa,final_alpha_max,final_alpha_max_location,final_notch_window_alpha_max,final_HI_peak,final_HII_peak,final_HII_over_HI_ratio,drive_location_classification,heat_PDE_active,damage_conductivity_active,classification
A,20260625_damage_probe_A_off_seed23,off,0.0,examples/TM_comsol_thermal_micro/load_schedules/load_schedule_D0020_tension_thermal_damage_probe.csv,23,hidden_layers=8; neurons=400; seed=23; activation=TrainableReLU; init_coeff=3.0; full mesh; n_rprop=300; n_lbfgs=1; load_case=tension; checkpointed energy-conjugate reaction,full,11,11,11,True,158.58918195590377,10,158.58918195590377,0.3446520268917084,"(0.00502108456567,0.00499864388257)",0.3446520268917084,0.027083341032266617,0.017105262726545334,0.631578751903852,notch_tip_region,False,False,moderate prescribed-temperature damage probe passed
B,20260625_damage_probe_B_deltaT0_seed23,uniform,0.0,examples/TM_comsol_thermal_micro/load_schedules/load_schedule_D0020_tension_thermal_damage_probe.csv,23,hidden_layers=8; neurons=400; seed=23; activation=TrainableReLU; init_coeff=3.0; full mesh; n_rprop=300; n_lbfgs=1; load_case=tension; checkpointed energy-conjugate reaction,full,11,11,11,True,158.58918195590377,10,158.58918195590377,0.3446520268917084,"(0.00502108456567,0.00499864388257)",0.3446520268917084,0.027083341032266617,0.017105262726545334,0.631578751903852,notch_tip_region,False,False,zero thermal branch matches Case A
C,20260625_damage_probe_C_deltaT20_seed23,uniform,20.0,examples/TM_comsol_thermal_micro/load_schedules/load_schedule_D0020_tension_thermal_damage_probe.csv,23,hidden_layers=8; neurons=400; seed=23; activation=TrainableReLU; init_coeff=3.0; full mesh; n_rprop=300; n_lbfgs=1; load_case=tension; checkpointed energy-conjugate reaction,full,11,11,11,True,133.4361033514142,10,133.4361033514142,0.07818233966827393,"(0.00508378399536,0.00496022542939)",0.07818233966827393,0.00945452880114317,0.005971277132630348,0.6315785015016663,notch_tip_region,False,False,moderate prescribed-temperature damage probe passed
