case_id,step,displacement_mm,engineering_strain,alpha_max,alpha_max_x,alpha_max_y,notch_window_alpha_max,notch_window_alpha_mean,notch_window_alpha_p95,comment
B,1,2e-06,0.0001999999999999,0.0005483329296112061,0.009858550503849983,0.0013182292459532619,-2.1178962924750522e-05,-4.935336918394681e-05,-2.805557451210917e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,2,3e-06,0.0003,0.0014091035118326545,0.009842900559306145,0.000789511133916676,8.040491957217455e-05,-3.3151557034540166e-05,-1.6885122386156614e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,3,3.8e-06,0.00038,0.0023020904045552015,0.006820063106715679,0.008845934644341469,0.00038675786345265806,-1.7347506624514918e-05,0.0001375108782667666,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,4,5e-06,0.0005,0.012969563715159893,0.005021084565669298,0.004998643882572651,0.012969563715159893,0.007012301684432577,0.012507508322596549,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,5,7.5e-06,0.00075,0.03159081190824509,0.005045945756137371,0.005040077492594719,0.03159081190824509,0.020845237455955925,0.029685305058956144,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,6,1e-05,0.001,0.06150214001536369,0.005021084565669298,0.004998643882572651,0.06150214001536369,0.03815084605235351,0.057743984460830684,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,7,1.25e-05,0.00125,0.10118275135755539,0.005021084565669298,0.004998643882572651,0.10118275135755539,0.0628975515241084,0.09605097472667694,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,8,1.5e-05,0.0015,0.1582225263118744,0.005021084565669298,0.004998643882572651,0.1582225263118744,0.09751164045644133,0.15145934820175172,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,9,1.75e-05,0.0017499999999999,0.23520593345165253,0.005021084565669298,0.004998643882572651,0.23520593345165253,0.14266796063070428,0.22286792397499083,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,10,2e-05,0.002,0.3446520268917084,0.005021084565669298,0.004998643882572651,0.3446520268917084,0.20324859109847512,0.3266243517398834,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,0,1e-06,0.0001,0.003702958580106497,0.00988017488270998,0.0002885742287617177,-0.000350140908267349,-0.0004912303339638939,-0.00038259765133261684,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,1,2e-06,0.0001999999999999,0.0028232019394636154,0.009704736061394215,0.00011349347187206149,-0.00013358466094359756,-0.00022599964334042615,-0.00015181409544311465,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,2,3e-06,0.0003,0.002120351418852806,0.009704736061394215,0.00011349347187206149,-0.00013402399781625718,-0.00021959120393347966,-0.00015264608373399827,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,3,3.8e-06,0.00038,0.0030540204606950283,0.00988017488270998,0.0002885742287617177,-0.00010516580368857831,-0.00017716742777712134,-0.00012136186705902219,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,4,5e-06,0.0005,0.003025814425200224,0.00988017488270998,0.0002885742287617177,-6.097301229601726e-05,-0.00010263146784743422,-7.072939042700456e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,5,7.5e-06,0.00075,0.003143970388919115,0.00988017488270998,0.0002885742287617177,-8.230241655837744e-05,-9.809595750794708e-05,-8.412679308094085e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,6,1e-05,0.001,0.016155164688825607,0.00496247923001647,0.004817642737179995,0.016155164688825607,0.011599143609812814,0.015383887477219103,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,7,1.25e-05,0.00125,0.021993279457092285,0.005080104805529118,0.004882340785115957,0.021993279457092285,0.01841642157723234,0.021552038565278053,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,8,1.5e-05,0.0015,0.036508958786726,0.005030983593314886,0.004906844813376665,0.036508958786726,0.0322387300380697,0.03616136759519577,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,9,1.75e-05,0.0017499999999999,0.06514295190572739,0.005044497083872557,0.004957105498760939,0.06514295190572739,0.054959566983049865,0.06446456611156463,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
C,10,2e-05,0.002,0.07818233966827393,0.005083783995360136,0.0049602254293859005,0.07818233966827393,0.06788289965423819,0.07710574567317963,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
