case_id,run_id,thermal_mode,delta_T_K,schedule,seed,training_settings,step_count,checkpoint_count,field_file_count,energy_reaction_available,peak_nominal_stress_MPa,peak_step,final_nominal_stress_MPa,final_alpha_max,alpha_max_location,final_HI_peak,final_HII_peak,drive_location_classification,heat_PDE_active,damage_conductivity_active,classification
A,20260622_diag_A_off_seed23,off,0.0,load_schedules/load_schedule_D0003_tension_thermal_micro_notch.csv,23,hidden_layers=2; neurons=20; seed=23; activation=TrainableReLU; init_coeff=3.0; n_rprop=3; n_lbfgs=0; load_case=tension; smoke mesh; checkpoints every step,3,3,3,True,10.95041079679504,2,10.95041079679504,0.5875001549720764,"(0.000288248237,0.000118981952)",6.2915160015109e-06,3.749779352801852e-06,other_domain,False,False,no-thermal baseline diagnostic completed
B,20260622_diag_B_deltaT0_seed23,uniform,0.0,load_schedules/load_schedule_D0003_tension_thermal_micro_notch.csv,23,hidden_layers=2; neurons=20; seed=23; activation=TrainableReLU; init_coeff=3.0; n_rprop=3; n_lbfgs=0; load_case=tension; smoke mesh; checkpoints every step,3,3,3,True,10.95041079679504,2,10.95041079679504,0.5875001549720764,"(0.000288248237,0.000118981952)",6.2915160015109e-06,3.749779352801852e-06,other_domain,False,False,deltaT0 branch matches no-thermal baseline
C,20260622_diag_C_deltaT20_seed23,uniform,20.0,load_schedules/load_schedule_D0003_tension_thermal_micro_notch.csv,23,hidden_layers=2; neurons=20; seed=23; activation=TrainableReLU; init_coeff=3.0; n_rprop=3; n_lbfgs=0; load_case=tension; smoke mesh; checkpoints every step,3,3,3,True,5.304048681864515,2,5.304048681864515,0.5875001549720764,"(0.000288248237,0.000118981952)",8.32687146612443e-06,5.25907762494171e-06,other_domain,False,False,positive deltaT branch completed with interpretable reaction shift
