case_id,step,displacement_or_Delta,engineering_strain,reaction_N_energy,nominal_stress_energy_MPa,alpha_max,HI_peak,HII_peak
A,0,1e-06,0.0001,0.0352528440998867,3.5252844099886715,0.5883216857910156,7.000217578934098e-07,3.751363522042084e-07
A,1,2e-06,0.0001999999999999,0.0723390621715225,7.233906217152253,0.5879108309745789,2.798022023853264e-06,1.62317644480936e-06
A,2,3e-06,0.0003,0.1095041079679504,10.95041079679504,0.5875001549720764,6.2915160015109e-06,3.749779352801852e-06
B,0,1e-06,0.0001,0.0352528440998867,3.5252844099886715,0.5883216857910156,7.000217578934098e-07,3.751363522042084e-07
B,1,2e-06,0.0001999999999999,0.0723390621715225,7.233906217152253,0.5879108309745789,2.798022023853264e-06,1.62317644480936e-06
B,2,3e-06,0.0003,0.1095041079679504,10.95041079679504,0.5875001549720764,6.2915160015109e-06,3.749779352801852e-06
C,0,1e-06,0.0001,-0.1116742569138296,-11.16742569138296,0.5883216857910156,8.32687146612443e-06,5.25907762494171e-06
C,1,2e-06,0.0001999999999999,0.0142187673191074,1.4218767319107428,0.5879108309745789,8.32687146612443e-06,5.25907762494171e-06
C,2,3e-06,0.0003,0.0530404868186451,5.304048681864515,0.5875001549720764,8.32687146612443e-06,5.25907762494171e-06
