step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.04046679512725859,0.037244454219376166,4046.679512725859,3724.445421937616
1,5e-06,0.0005,0.23020511548565992,0.19328519650230191,23020.511548565988,19328.51965023019
2,1e-05,0.001,0.4597453258270434,0.3750638972235265,45974.532582704334,37506.38972235265
3,1.5e-05,0.0015,0.6644368341994777,0.5274541987461134,66443.68341994777,52745.41987461134
4,2e-05,0.002,0.8259705170416964,0.6361153663760888,82597.05170416964,63611.53663760887
5,2.5e-05,0.0025,0.951764963616597,0.6934499827764284,95176.4963616597,69344.99827764284
6,3e-05,0.003,1.0237677386157884,0.7028715523147433,102376.77386157883,70287.15523147433
7,3.5e-05,0.0034999999999999996,1.094676679258555,0.6896847609141332,109467.66792585548,68968.47609141332
8,4e-05,0.004,1.1321957194923016,0.6658547976599039,113219.57194923014,66585.47976599039
9,4.5e-05,0.0045000000000000005,1.2160509307932443,0.6821324415255958,121605.09307932442,68213.24415255958
10,4.7e-05,0.004699999999999999,1.226776128831375,0.6807976516256531,122677.6128831375,68079.76516256531
11,4.9e-05,0.0049,1.2643543341255281,0.7008098381220407,126435.4334125528,70080.98381220407
12,5.1e-05,0.0050999999999999995,1.294985802132942,0.7158796357202846,129498.58021329418,71587.96357202846
13,5.3e-05,0.0053,1.3058612696568161,0.7170069845869875,130586.1269656816,71700.69845869875
14,5.5e-05,0.0055,1.3334911518541048,0.7310523928367729,133349.11518541048,73105.23928367729
15,5.7e-05,0.0057,1.275852592470983,0.7043734909757404,127585.25924709828,70437.34909757404
16,5.9e-05,0.0059,1.312678808872647,0.7197636504656657,131267.8808872647,71976.36504656657
17,6.1e-05,0.0060999999999999995,1.3225149972981853,0.7266956005196334,132251.49972981852,72669.56005196334
18,6.3e-05,0.0063,1.3711562537537247,0.7508524761306035,137115.62537537247,75085.24761306035
19,6.5e-05,0.0065,1.3431981330427334,0.7316818363847233,134319.81330427332,73168.18363847233
20,6.7e-05,0.0067,1.4048472407921508,0.7605878506637964,140484.72407921508,76058.78506637964
21,6.9e-05,0.0069,1.4459310336860653,0.7839570921532868,144593.10336860653,78395.70921532868
22,7.1e-05,0.0071,1.4766862989006313,0.7953198746406542,147668.6298900631,79531.98746406542
23,7.3e-05,0.0073,1.4426260488562548,0.7774483491971296,144262.60488562548,77744.83491971296
24,7.5e-05,0.007499999999999999,1.443480691023069,0.7788906103769477,144348.0691023069,77889.06103769477
25,7.7e-05,0.0077,1.4793508970001312,0.7951186872219296,147935.0897000131,79511.86872219296
26,8e-05,0.008,1.5186569318075271,0.8118875516061053,151865.6931807527,81188.75516061053
27,8.3e-05,0.0083,1.461603082475449,0.7806960922209782,146160.3082475449,78069.60922209782
28,8.6e-05,0.0086,1.5582520622956508,0.8373417404072825,155825.20622956508,83734.17404072825
29,8.9e-05,0.0089,1.5641438413922515,0.8440689559847669,156414.38413922515,84406.8955984767
30,9.2e-05,0.0092,1.6395120705396948,0.8757196584525673,163951.20705396947,87571.96584525672
31,9.5e-05,0.0095,1.7513781606908196,0.9256770724732633,175137.81606908195,92567.70724732631
32,9.8e-05,0.0098,1.7699200840297635,0.9390208306285786,176992.00840297635,93902.08306285784
33,0.0001,0.01,1.8175958587107743,0.965838964930299,181759.5858710774,96583.89649302988
