seed,step,Delta,nominal_strain,reference_length_mm,reference_area_mm2,stress_strain_primary_metric,stress_strain_metric_status,nominal_stress_energy_exact_MPa,nominal_stress_energy_virtual_work_MPa,nominal_stress_legacy_top_sigma_MPa,nominal_stress_bottom_sigma_legacy_MPa,reaction_N_energy_exact,reaction_N_energy_virtual_work,reaction_N_legacy_top_sigma,reaction_N_bottom_sigma_legacy,reaction_N_internal_cut_above,reaction_N_internal_cut_below,alpha0p8_through_crack,legacy_curve_status,d0040_processed
7,0,1e-06,9.999999999999999e-05,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,7.88174729677848,7.881746569182719,3.72402143678209,-5.3045348373603005,0.0788174729677848,0.0788174656918272,0.0372402143678209,-0.053045348373603,0.0441411764462292,0.0479575899169967,False,legacy_diagnostic_only,False
7,1,5e-06,0.0005,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,42.7455612225458,42.74555831216275,19.50677801723275,-26.794940225131906,0.427455612225458,0.4274555831216275,0.1950677801723275,-0.2679494022513191,0.2311889364502014,0.2514440604316533,False,legacy_diagnostic_only,False
7,2,1e-05,0.001,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,84.81868426315486,84.81867262162268,38.10433901310059,-52.2998640568203,0.8481868426315486,0.8481867262162268,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.4890509925053063,False,legacy_diagnostic_only,False
7,3,1.5e-05,0.0015,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,124.12937358021736,124.12938522174954,53.243807572066856,-75.31592955984968,1.2412937358021736,1.2412938522174954,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,False,legacy_diagnostic_only,False
7,4,2e-05,0.002,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,158.64964807406068,158.6496364325285,64.10805090381484,-94.18791487176068,1.5864964807406068,1.586496364325285,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,False,legacy_diagnostic_only,False
7,5,2.5e-05,0.0025,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,178.21155488491058,178.21155488491058,68.61086093039972,-105.52538973235856,1.7821155488491058,1.7821155488491058,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.977665274871782,False,legacy_diagnostic_only,False
7,6,3e-05,0.003,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,183.3964255638421,183.39641392230988,69.36558486752506,-111.98192161998273,1.8339642556384208,1.8339641392230988,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,False,legacy_diagnostic_only,False
7,7,3.5e-05,0.0034999999999999996,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,173.1373369693756,173.1373369693756,68.77228886408776,-114.06299528019412,1.731373369693756,1.731373369693756,0.6877228886408776,-1.1406299528019412,0.8735689643427342,1.0576028251513538,False,legacy_diagnostic_only,False
7,8,4e-05,0.004,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,142.93115818873048,142.93116983026266,67.01752462756956,-114.06655473392364,1.4293115818873048,1.4293116983026266,0.6701752462756956,-1.1406655473392364,0.7904819644184224,1.0065066348218594,False,legacy_diagnostic_only,False
7,9,4.5e-05,0.0045000000000000005,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,100.7041078992188,100.7041078992188,68.97184049308402,-114.09800015887659,1.007041078992188,1.007041078992188,0.6897184049308401,-1.140980001588766,0.696312564080353,0.9117016860848028,False,legacy_diagnostic_only,False
7,10,4.7e-05,0.004699999999999999,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,85.21633571945131,85.2163415402174,71.3109034451995,-114.35436726918995,0.8521633571945131,0.852163415402174,0.713109034451995,-1.1435436726918995,0.6550865805540644,0.8758528695044606,False,legacy_diagnostic_only,False
7,11,4.9e-05,0.0049,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,67.78757669962943,67.78757087886333,71.50352924186576,-114.26244606118397,0.6778757669962943,0.6778757087886333,0.7150352924186576,-1.1426244606118396,0.6148575608660783,0.8338161278639373,False,legacy_diagnostic_only,False
7,12,5.1e-05,0.0050999999999999995,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,47.87435755133629,47.87435173057019,71.28576245015877,-113.84218580423727,0.4787435755133629,0.4787435173057019,0.7128576245015877,-1.1384218580423728,0.5595802526562701,0.823826166394214,False,legacy_diagnostic_only,False
7,13,5.3e-05,0.0053,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,26.79606550373137,26.796053862199187,71.55700145182587,-113.8536508082814,0.2679606550373137,0.2679605386219919,0.7155700145182586,-1.138536508082814,0.5621028220983304,0.777763399013622,False,legacy_diagnostic_only,False
7,14,5.5e-05,0.0055,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,15.983432240318498,15.983422053977838,70.72643097513111,-113.84542984101475,0.159834322403185,0.1598342205397784,0.7072643097513112,-1.1384542984101476,0.5254806035046921,0.7555324579148656,True,legacy_diagnostic_only,False
7,15,5.7e-05,0.0057,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,11.356447066646059,11.35644924943335,70.41526593297722,-113.85741505852124,0.1135644706664606,0.1135644924943335,0.7041526593297722,-1.1385741505852125,0.5167802519474988,0.7395441376390316,True,legacy_diagnostic_only,False
7,16,5.9e-05,0.0059,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,7.44921271689236,7.44921271689236,68.8694490752876,-113.84622045765971,0.0744921271689236,0.0744921271689236,0.688694490752876,-1.138462204576597,0.4645113415445986,0.7377947511751924,True,legacy_diagnostic_only,False
7,17,6.1e-05,0.0060999999999999995,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,3.53735485987272,3.5373544960748395,69.26931438529223,-114.22028621878148,0.0353735485987272,0.0353735449607484,0.6926931438529224,-1.1422028621878149,0.4760615156541447,0.7168713220325532,True,legacy_diagnostic_only,False
7,18,6.3e-05,0.0063,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,3.4555825550341903,3.45558073604479,68.0826887350781,-114.22880974583809,0.0345558255503419,0.0345558073604479,0.6808268873507809,-1.142288097458381,0.4506149878683711,0.6644983939636251,True,legacy_diagnostic_only,False
7,19,6.5e-05,0.0065,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,3.7712903576902996,3.77129181288182,70.12078391452883,-113.59143628219816,0.037712903576903,0.0377129181288182,0.7012078391452883,-1.1359143628219817,0.4615015362268302,0.6279197043908142,True,legacy_diagnostic_only,False
7,20,6.7e-05,0.0067,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,2.15591189771657,2.15591298911022,70.02755366573624,-112.33416716392618,0.0215591189771657,0.0215591298911022,0.7002755366573624,-1.123341671639262,0.4254591035062726,0.6663936277489911,True,legacy_diagnostic_only,False
7,21,6.9e-05,0.0069,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.8160717445425598,1.81607338163303,72.61492766258516,-112.49793272959127,0.0181607174454256,0.0181607338163303,0.7261492766258516,-1.1249793272959128,0.4385874189496349,0.5924164779558223,True,legacy_diagnostic_only,False
7,22,7.1e-05,0.0071,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.29276040752301,1.29276158986613,72.16845756628078,-111.86633755810797,0.0129276040752301,0.0129276158986613,0.7216845756628077,-1.1186633755810798,0.4179557647571085,0.5297137396610571,True,legacy_diagnostic_only,False
7,23,7.3e-05,0.0073,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.22061555885011,1.22061464935541,73.47222573893782,-112.96290378474707,0.0122061555885011,0.0122061464935541,0.7347222573893782,-1.1296290378474707,0.395855773679211,0.5142560200415774,True,legacy_diagnostic_only,False
7,24,7.5e-05,0.007499999999999999,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.08179019662202,1.08178992377361,75.44227505774859,-113.43272366231875,0.0108179019662202,0.0108178992377361,0.7544227505774859,-1.1343272366231876,0.4239800865289608,0.5434285883063613,True,legacy_diagnostic_only,False
7,25,7.7e-05,0.0077,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.76982360042165,0.76982323662377,76.80484909366865,-107.999169674373,0.0076982360042165,0.0076982323662377,0.7680484909366865,-1.07999169674373,0.4399784522101795,0.5379141699834513,True,legacy_diagnostic_only,False
7,26,8e-05,0.008,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.00566194305429,1.00566121545853,77.12275739621465,-111.64001883649036,0.0100566194305429,0.0100566121545853,0.7712275739621465,-1.1164001883649035,0.4451600919552479,0.5536744084382818,True,legacy_diagnostic_only,False
7,27,8.3e-05,0.0083,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.43263441714225,1.43263278005179,79.06880250428405,-110.32227728379277,0.0143263441714225,0.0143263278005179,0.7906880250428405,-1.1032227728379278,0.4705866958963,0.5442961404925403,True,legacy_diagnostic_only,False
7,28,8.6e-05,0.0086,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.96304438557126,0.96304438557126,78.36383307179295,-111.24138478489544,0.0096304438557126,0.0096304438557126,0.7836383307179295,-1.1124138478489545,0.4858015763978453,0.4545734920518423,True,legacy_diagnostic_only,False
7,29,8.9e-05,0.0089,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.02145795608521,1.02145704659051,79.20138333648772,-110.66280935960705,0.0102145795608521,0.0102145704659051,0.7920138333648773,-1.1066280935960706,0.4338387334921749,0.4852450081654983,True,legacy_diagnostic_only,False
7,30,9.2e-05,0.0092,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.56372368817392,0.56372409744653,79.19954962911476,-108.44541296649155,0.0056372368817392,0.0056372409744653,0.7919954962911475,-1.0844541296649155,0.4932780463401472,0.4645256655544675,True,legacy_diagnostic_only,False
7,31,9.5e-05,0.0095,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.75711191129812,0.7571107744297401,79.58750178318326,-110.94444099080805,0.0075711191129812,0.0075711077442974,0.7958750178318326,-1.1094444099080805,0.4000598607396535,0.4278969559829134,True,legacy_diagnostic_only,False
7,32,9.8e-05,0.0098,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.54878023547644,0.54878059927432,77.73006457540883,-109.0382838797555,0.0054878023547644,0.0054878059927432,0.7773006457540883,-1.090382838797555,0.4059454105124869,0.4356454761623413,True,legacy_diagnostic_only,False
7,33,0.0001,0.01,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.7842110790079401,0.78420944191748,78.99191416840627,-110.25048585562635,0.0078421107900794,0.0078420944191748,0.7899191416840626,-1.1025048585562636,0.3906527889024985,0.4469257185303729,True,legacy_diagnostic_only,False
13,0,1e-06,9.999999999999999e-05,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,7.88104298408143,7.88104298408143,3.74422418744845,-5.31168619341993,0.0788104298408143,0.0788104298408143,0.0374422418744845,-0.0531168619341993,0.0442189944540874,0.0483899568146043,False,legacy_diagnostic_only,False
13,1,5e-06,0.0005,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,42.79795102775097,42.79794229660183,19.163616324297188,-26.863713962519398,0.4279795102775097,0.4279794229660183,0.1916361632429719,-0.268637139625194,0.2314215633858605,0.252156258457008,False,legacy_diagnostic_only,False
13,2,1e-05,0.001,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,84.77876544930041,84.7787712700665,37.47238116052988,-52.33995804127435,0.8477876544930041,0.847787712700665,0.3747238116052988,-0.5233995804127435,0.4478271992773866,0.4888219992173729,False,legacy_diagnostic_only,False
13,3,1.5e-05,0.0015,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,124.07952453941108,124.07953618094325,52.70649606710509,-75.34159373215124,1.240795245394111,1.2407953618094325,0.5270649606710509,-0.7534159373215125,0.6356660376104307,0.7037330038659797,False,legacy_diagnostic_only,False
13,4,2e-05,0.002,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,158.3916717208922,158.39164843782785,63.7584225153772,-94.08712267149892,1.583916717208922,1.5839164843782785,0.637584225153772,-0.9408712267149892,0.778530767432385,0.8711976821997702,False,legacy_diagnostic_only,False
13,5,2.5e-05,0.0025,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,178.16273029893637,178.16271865740418,68.88967609873092,-105.50813200033835,1.7816273029893637,1.7816271865740418,0.6888967609873091,-1.0550813200033835,0.8605991975030077,0.9822416879963376,False,legacy_diagnostic_only,False
13,6,3e-05,0.003,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,184.77900885045528,184.7790204919875,69.47862667568701,-111.91410040738809,1.8477900885045528,1.847790204919875,0.6947862667568702,-1.119141004073881,0.9003227839974065,1.0449446907657856,False,legacy_diagnostic_only,False
13,7,3.5e-05,0.0034999999999999996,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,173.8204387947917,173.82045043632388,68.59504755244915,-113.73983937797396,1.738204387947917,1.7382045043632388,0.6859504755244915,-1.1373983937797396,0.8656144133232562,1.0415057521730289,False,legacy_diagnostic_only,False
13,8,4e-05,0.004,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,146.51683159172535,146.5168432332575,68.58128828986199,-113.5994525917511,1.4651683159172535,1.465168432332575,0.6858128828986199,-1.135994525917511,0.8250393613170383,0.9838457554528494,False,legacy_diagnostic_only,False
13,9,4.5e-05,0.0045000000000000005,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,95.82097991369663,95.82098573446274,73.61550020105776,-114.25743393837048,0.9582097991369664,0.9582098573446274,0.7361550020105776,-1.142574339383705,0.7498481026382631,0.8670827430565613,False,legacy_diagnostic_only,False
13,10,4.7e-05,0.004699999999999999,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,78.26319779269397,78.26319779269397,75.70219453425841,-113.96606721659153,0.7826319779269397,0.7826319779269397,0.7570219453425842,-1.1396606721659153,0.7000457053366538,0.8377709453311352,False,legacy_diagnostic_only,False
13,11,4.9e-05,0.0049,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,59.3646545894444,59.36464876867831,75.96221226932346,-114.22001698809487,0.593646545894444,0.5936464876867831,0.7596221226932346,-1.1422001698809487,0.6626470156666572,0.8217287791928681,False,legacy_diagnostic_only,False
