case,seed,state,step,Delta,variant,init_strategy,source_path,iterations,convergence_status,final_mechanics_loss,final_reaction_proxy,total_elastic_energy,positive_energy_contribution,negative_energy_contribution,crack_band_negative_energy_contribution,crack_band_positive_energy_contribution,cutline_crack_band_traction_proxy,mean_v_jump_proxy,mean_u_jump_proxy,crack_band_element_count,crack_band_mean_abs_sigma_yy_eff,crack_band_max_abs_sigma_yy_eff,crack_band_mean_abs_sigma_xy_eff,crack_band_max_abs_sigma_xy_eff,prefit_final_loss,prefit_disp_mse,prefit_iterations,baseline_reaction_proxy,baseline_total_elastic_energy,baseline_cutline_crack_band_traction_proxy,baseline_mean_v_jump_proxy,reaction_removed_fraction_vs_baseline,reaction_removed_percent_vs_baseline,reaction_collapses_ge_10pct,reaction_collapses_ge_30pct,reaction_collapses_ge_50pct,variant_lower_energy_than_baseline,energy_change_percent_vs_baseline,mean_v_jump_change_vs_baseline
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.403446674346924,0.8553819094853679,3.94960153471402e-08,3.949506677258796e-08,9.50859508318247e-13,0.0,1.2037308927403956e-09,2.5524435065538142e-09,0.00017842163288150914,-5.8327758551968145e-06,162,0.015903882682323456,0.17379187047481537,0.0011417341884225607,0.008595271967351437,1.6779504574123772e-15,1.6626355723304274e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,-0.12068042890162513,-12.068042890162513,False,False,False,False,0.0016011568628191766,-1.2001328286714852e-07
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.40345573425293,0.8988606367603471,3.949521243384879e-08,3.949438820427531e-08,8.249821182096384e-13,0.0,1.2037308927403956e-09,1.5659310514948288e-09,0.00017866093185148202,-6.2024039380048634e-06,162,0.009322903119027615,0.10998792946338654,0.0012916495325043797,0.009850951842963696,1.6779504574123772e-15,1.6626355723304274e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,-0.17764417596045165,-17.764417596045163,False,False,False,True,-0.0004317726371647218,1.1928568710573018e-07
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.404845237731934,0.7779320571778507,3.9369055571114586e-08,3.936889925171272e-08,1.5250767228941475e-13,0.0,8.614948199259231e-10,6.068307811801787e-07,2.6146962227358017e-05,-7.312140724025085e-07,144,5.7200608253479,27.86016082763672,0.03768409788608551,0.5411750674247742,9.622125535963891e-17,9.36940597696118e-17,250,0.7779320571778507,3.9369055571114586e-08,6.068307811801787e-07,2.6146962227358017e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.404845237731934,0.7779320571778507,3.9369055571114586e-08,3.936889925171272e-08,1.5250767228941475e-13,0.0,8.614948199259231e-10,2.3830743767216944e-09,2.6146962227358017e-05,-7.312140724025085e-07,144,0.019385982304811478,0.11956402659416199,0.001475244527682662,0.010968390852212906,9.622125535963891e-17,9.36940597696118e-17,250,0.7779320571778507,3.9369055571114586e-08,6.068307811801787e-07,2.6146962227358017e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.404845237731934,0.7779320571778507,3.9369055571114586e-08,3.936889925171272e-08,1.5250767228941475e-13,0.0,8.614948199259231e-10,3.9654831640589805e-09,2.6146962227358017e-05,-7.312140724025085e-07,144,0.032539501786231995,0.19313229620456696,0.0013263190630823374,0.009421024471521378,9.622125535963891e-17,9.36940597696118e-17,250,0.7779320571778507,3.9369055571114586e-08,6.068307811801787e-07,2.6146962227358017e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.404845714569092,1.0510900870156301,3.936898451684101e-08,3.9368906357140077e-08,7.76999585548957e-14,0.0,8.616102831204842e-10,2.376546237581323e-09,2.616392748677754e-05,-7.863621931392117e-07,144,0.01929636113345623,0.11950802803039551,0.0014830047730356455,0.010909286327660084,9.622125535963891e-17,9.36940597696118e-17,250,0.7779320571778507,3.9369055571114586e-08,6.068307811801787e-07,2.6146962227358017e-05,-0.35113353064370506,-35.11335306437051,False,False,False,True,-0.00018048254535255642,1.6965259419521317e-08
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.402618408203125,0.7977702680234195,3.9571467880250566e-08,3.957027416845449e-08,1.1916351152357896e-12,0.0,1.2586347519771834e-09,5.2810734132435755e-06,0.00017878592916531488,2.9380739761109e-06,163,41.847957611083984,149.80809020996094,0.5154836177825928,8.100760459899902,3.0382703358679698e-15,2.992997060111938e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.402619361877441,0.8057176939923953,3.957138972054963e-08,3.957010008548423e-08,1.2890407057736253e-12,0.0,1.2586347519771834e-09,1.6715462902716638e-09,0.00017866442794911563,2.513948714977232e-06,163,0.008905444294214249,0.06046393886208534,0.0016040051123127341,0.010479633696377277,3.0382703358679698e-15,2.992997060111938e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,-0.009962048333371193,-0.9962048333371193,False,False,False,True,-0.00019751529351939753,-1.2150121619924903e-07
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.4026198387146,0.8493610915020124,3.957125116471616e-08,3.9570196008753555e-08,1.0583764767368997e-12,0.0,1.2586347519771834e-09,2.864517734124661e-09,0.0001787633082130924,2.80117677675662e-06,163,0.016077164560556412,0.12299831956624985,0.0011770169949159026,0.008407946676015854,3.0382703358679698e-15,2.992997060111938e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,-0.06466877188393587,-6.466877188393587,False,False,False,True,-0.0005476560411219658,-2.262095222249627e-08
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.40261697769165,0.9451260066833959,3.9571560250806215e-08,3.9570608123540296e-08,9.513815516642987e-13,0.0,1.2586378606016524e-09,1.6878817232779397e-09,0.00017894421762321144,2.5914967523021915e-06,163,0.00917839165776968,0.06381995975971222,0.0015284443506971002,0.010583221912384033,3.0382703358679698e-15,2.992997060111938e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,-0.18470948914287,-18.470948914287,False,False,False,False,0.0002334271650683789,1.5828845789656043e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.404243469238281,0.7623072352854908,3.9423589726084174e-08,3.9423497355528525e-08,9.38197138250843e-14,0.0,8.662257022784559e-10,6.108233705504063e-07,2.637274519656785e-05,2.3278215621758136e-07,143,6.216864585876465,29.677051544189453,0.06696753203868866,0.9430195689201355,8.89223065433974e-15,2.5937337338030793e-16,250,0.7623072352854908,3.9423589726084174e-08,6.108233705504063e-07,2.637274519656785e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.404243469238281,0.7623072352854908,3.9423589726084174e-08,3.9423497355528525e-08,9.38197138250843e-14,0.0,8.662257022784559e-10,2.2472107230608884e-09,2.637274519656785e-05,2.3278215621758136e-07,143,0.018018284812569618,0.08355110883712769,0.0016915739979594946,0.009007742628455162,8.89223065433974e-15,2.5937337338030793e-16,250,0.7623072352854908,3.9423589726084174e-08,6.108233705504063e-07,2.637274519656785e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.404243469238281,0.7623072352854908,3.9423589726084174e-08,3.9423497355528525e-08,9.38197138250843e-14,0.0,8.662257022784559e-10,3.752222754727086e-09,2.637274519656785e-05,2.3278215621758136e-07,143,0.030611911788582802,0.13673044741153717,0.0014444233383983374,0.007849822752177715,8.89223065433974e-15,2.5937337338030793e-16,250,0.7623072352854908,3.9423589726084174e-08,6.108233705504063e-07,2.637274519656785e-05,0.0,0.0,False,False,False,False,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0014.npz,250,converged_trace_tol,-7.4042487144470215,1.0348512853368537,3.9423174058583754e-08,3.942307102988707e-08,1.0090300990583945e-13,0.0,8.66195726256791e-10,2.247002361954742e-09,2.6374250865046633e-05,2.412256776551658e-07,143,0.017991259694099426,0.08353608846664429,0.0016777736600488424,0.009100140072405338,8.89223065433974e-15,2.5937337338030793e-16,250,0.7623072352854908,3.9423589726084174e-08,6.108233705504063e-07,2.637274519656785e-05,-0.3575252043217098,-35.75252043217098,False,False,False,True,-0.001054362383810617,1.5056684787850827e-09
