case,seed,state,step,Delta,variant,init_strategy,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.007,1.3122741782112257e-09,15,0.008430657908320427,0.025530705228447914,0.0019923457875847816,0.009512492455542088,5.3398362069856375e-06,0.9997542482339637,99.97542482339638
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.008,1.5727912305862901e-09,15,0.010833892039954662,0.05568927899003029,0.0017771994462236762,0.008145292289555073,5.251270067674341e-06,0.9997004931739718,99.97004931739718
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.009,1.753430955986346e-09,17,0.011301972903311253,0.03968782350420952,0.002281531458720565,0.007254317868500948,4.66173105451162e-06,0.9996238669851429,99.9623866985143
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.006,9.173727448796853e-07,16,6.283421993255615,13.841708183288574,0.1045587882399559,0.6354261636734009,9.173727448796853e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.007,6.803804808441782e-07,15,4.714352607727051,12.654983520507812,0.05768236145377159,0.29341667890548706,6.803804808441782e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.008,5.003938667869079e-07,14,3.8284966945648193,7.6220221519470215,0.03969654068350792,0.167573481798172,5.003938667869079e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.009,3.0076660095801344e-07,15,2.4446778297424316,4.551014423370361,0.021383553743362427,0.053714439272880554,3.0076660095801344e-07,0.0,0.0
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.006,2.249729735837036e-09,16,0.014689063653349876,0.04952415078878403,0.0014160086866468191,0.005667308811098337,9.173727448796853e-07,0.9975476383526828,99.75476383526828
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.007,2.5495725530788604e-09,15,0.016645682975649834,0.03495074808597565,0.0021869863849133253,0.008707710541784763,6.803804808441782e-07,0.9962527253134665,99.62527253134665
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.008,3.06799807781033e-09,14,0.022038789466023445,0.0775369256734848,0.0017995191738009453,0.004855762701481581,5.003938667869079e-07,0.9938688335700229,99.38688335700229
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.009,4.384201002238797e-09,15,0.03470201417803764,0.07582776248455048,0.0022991527803242207,0.0049909199588000774,3.0076660095801344e-07,0.9854232451732537,98.54232451732537
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.006,3.818655169851581e-09,16,0.02517712488770485,0.08179176598787308,0.0012191308196634054,0.004776757676154375,9.173727448796853e-07,0.9958374006736461,99.58374006736462
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.007,4.343412296492488e-09,15,0.028940843418240547,0.05816586688160896,0.001815147465094924,0.005491865798830986,6.803804808441782e-07,0.9936162009070227,99.36162009070227
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.008,5.10859488045412e-09,14,0.03679828718304634,0.12828361988067627,0.0016513171140104532,0.004667621571570635,5.003938667869079e-07,0.9897908523274734,98.97908523274734
