case,seed,state,step,Delta,variant,init_strategy,cut_x,v_jump_proxy,u_jump_proxy,above_node_count,below_node_count
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.006,0.00018566459766589105,-4.301838544051861e-06,27,28
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.007,0.00017953893984667957,-5.865820639883168e-06,27,27
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.008,0.00017613770614843816,-7.050238309602719e-06,29,29
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.009,0.00017274395213462412,-7.596775503770914e-06,30,26
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.006,0.00018560905300546438,-4.065761459060013e-06,27,28
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.007,0.00017945002764463425,-5.547932232730091e-06,27,27
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.008,0.00017607666086405516,-6.674301403108984e-06,29,29
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.009,0.00017255079001188278,-7.04310832588817e-06,30,26
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.006,0.0001857025345088914,-4.1441139728704e-06,27,28
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.007,0.00017964541621040553,-5.75542117076111e-06,27,27
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.008,0.00017632074013818055,-7.050445674394723e-06,29,29
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.009,0.0001729750365484506,-7.85963493399322e-06,30,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.006,3.4609289286891e-05,-4.368621375760995e-08,27,28
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.007,2.8116133762523532e-05,-4.660460035665892e-07,27,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.008,2.3003101887297817e-05,-9.768777999852318e-07,29,29
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.009,1.885932397271972e-05,-1.4382462723006029e-06,31,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.006,3.4609289286891e-05,-4.368621375760995e-08,27,28
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.007,2.8116133762523532e-05,-4.660460035665892e-07,27,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.008,2.3003101887297817e-05,-9.768777999852318e-07,29,29
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.009,1.885932397271972e-05,-1.4382462723006029e-06,31,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.006,3.4609289286891e-05,-4.368621375760995e-08,27,28
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.007,2.8116133762523532e-05,-4.660460035665892e-07,27,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.008,2.3003101887297817e-05,-9.768777999852318e-07,29,29
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.009,1.885932397271972e-05,-1.4382462723006029e-06,31,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.006,3.461633968981914e-05,-1.0618668966344558e-07,27,28
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.007,2.8142072551418096e-05,-5.032070475863293e-07,27,26
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.008,2.3028416762826964e-05,-1.053090272762347e-06,29,29
