step,Delta,strain,checkpoint,history_source,reaction_N_energy_exact,reaction_N_energy_virtual_work,reaction_N_legacy_top_sigma,reaction_N_bottom_sigma_legacy,reaction_N_internal_cut_above,reaction_N_internal_cut_below,internal_cut_above_element_count,internal_cut_below_element_count,whole_boundary_residual_magnitude_N,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,reaction_metric_status,is_energy_conjugate,legacy_metric_status,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,seed
10,4.7e-05,0.004699999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0010.pt,checkpoint_step_0009_post_history,0.7980763330124319,,0.7377942371382967,-1.1401678290044364,0.6648628646490983,0.874740648790676,149,150,1.4346708882767083,5.923956081232973e-08,4.0330320416614995e-08,1.8909240395714733e-08,energy_exact_primary,True,legacy_diagnostic_only,False,101,0.005021084565669298,0.008398029021918774,0.005074877946609908,0.0033769444562494755,42
11,4.9e-05,0.0049,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0011.pt,checkpoint_step_0010_post_history,0.6068709772080183,,0.7338117166790525,-1.1426583438870723,0.6066383737034234,0.8368007983067428,149,150,1.6326199953569995,6.067698876677241e-08,4.032946776533208e-08,2.0347521001440327e-08,energy_exact_primary,True,legacy_diagnostic_only,False,110,0.005021084565669298,0.008737657219171524,0.005077766707505692,0.003716572653502226,42
12,5.1e-05,0.0050999999999999995,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0012.pt,checkpoint_step_0011_post_history,0.44691277435049415,,0.7273924979182372,-1.141060306582386,0.5990844716984788,0.8010084220064355,149,150,1.8354360176727704,6.17637780919722e-08,4.011963383732109e-08,2.164414603100795e-08,energy_exact_primary,True,legacy_diagnostic_only,False,120,0.005021084565669298,0.00911540538072586,0.005079379836873462,0.004094320815056562,42
13,5.3e-05,0.0053,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0013.pt,checkpoint_step_0012_post_history,0.2916083612944931,,0.7479139236774265,-1.1455947137909144,0.5621383063765844,0.7851081785789963,149,149,2.117514267475035,6.248564687894032e-08,3.9760791992193845e-08,2.272485666310331e-08,energy_exact_primary,True,legacy_diagnostic_only,False,131,0.005021084565669298,0.009337646886706352,0.005082585600041251,0.004316562321037054,42
14,5.5e-05,0.0055,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0014.pt,checkpoint_step_0013_post_history,0.11258442100370303,,0.7530319941204937,-1.1393158553836773,0.5617701335756473,0.7534376921527014,149,149,2.2395391233159665,6.290476761705577e-08,3.9423792230763866e-08,2.3480973609935063e-08,energy_exact_primary,True,legacy_diagnostic_only,True,143,0.005021084565669298,0.009896143339574337,0.005081936599803971,0.004875058773905039,42
15,5.7e-05,0.0057,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0015.pt,checkpoint_step_0014_post_history,0.07958788046380505,,0.7465240173086805,-1.1281095645196453,0.5302040590812381,0.7550653706104538,148,150,2.4161548904206183,6.313991463002822e-08,3.9193452039398835e-08,2.394646436698622e-08,energy_exact_primary,True,legacy_diagnostic_only,True,154,0.005021084565669298,0.009958948008716106,0.005085413583082619,0.004937863443046808,42
16,5.9e-05,0.0059,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0016.pt,checkpoint_step_0015_post_history,0.04348266884335317,,0.7416398902832312,-1.1339496592831027,0.5181874740250036,0.7262775226242117,149,149,2.635916965548023,6.325312540411687e-08,3.907295820226864e-08,2.4180165425491396e-08,energy_exact_primary,True,legacy_diagnostic_only,True,159,0.005021084565669298,0.009958948008716106,0.0050828823345309155,0.004937863443046808,42
17,6.1e-05,0.0060999999999999995,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0017.pt,checkpoint_step_0016_post_history,0.024003831640584394,,0.7641108271196903,-1.127531316348456,0.5309445776174255,0.677986622924314,149,149,2.7883471080257594,6.333995372642676e-08,3.896414213500066e-08,2.437580803871242e-08,energy_exact_primary,True,legacy_diagnostic_only,True,159,0.005021084565669298,0.009958948008716106,0.0050828823345309155,0.004937863443046808,42
18,6.3e-05,0.0063,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0018.pt,checkpoint_step_0017_post_history,0.01921121474879328,,0.7853152919946076,-1.1255567010801342,0.4181942938163913,0.6570663023362933,149,149,2.9276143094959637,6.339713820580073e-08,3.889798705358771e-08,2.4499149375856177e-08,energy_exact_primary,True,legacy_diagnostic_only,True,161,0.005021084565669298,0.009958948008716106,0.005083088841150451,0.004937863443046808,42
19,6.5e-05,0.0065,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0019.pt,checkpoint_step_0018_post_history,0.022966418327996507,,0.7671061494698741,-1.1354015915399436,0.48152469119075453,0.6947667808019427,149,149,3.08486353827937,6.344173186789703e-08,3.884651889052293e-08,2.4595212977374104e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005082121561568828,0.004937863443046808,42
