case_id,stage,prefit_kind,seed,hidden_layers,neurons,Delta,alpha_mode,top_u_mode,displacement_mse,displacement_rel_rmse,strain_mse,strain_rel_rmse,u_corr,v_corr,strain_corr,He_current_corr,mechanics_energy_log10,elastic_energy,fracture_energy,standard_energy_ratio_vs_exact,pinn_mechanics_energy_ratio_vs_exact,free_residual_L2,reaction_N,reaction_ratio,reaction_sign_match,boundary_residual_abs_max,notch_tip_He_current_max,bulk_He_current_p95,bottom_right_He_current_max,bulk_to_notch_He_current,bottom_to_notch_He_current,max_He_current,max_He_current_x,max_He_current_y,classification,energy_mode,continuation_epochs
energy_continuation_from_disp_strain_global_raw,energy_end,disp_strain_global,2,8,400,1e-06,zero_fixed,free,5.940805166597743e-14,0.3988787531852722,5.605587105605991e-09,0.8754311800003052,0.7660865351909009,0.8027540508687184,0.6931431232786985,0.022490745873069592,-10.201436996459961,6.288734116788319e-11,0.0,1.8064347597606056,1.7101990217563494,1.6849626463406833e-05,0.07989397396484685,1.6484602390889551,True,0.0,6.723563501509489e-07,6.76498376606105e-07,1.2291578741496778e-06,1.0061604630553815,1.8281345507835585,1.2291578741496778e-06,0.00988017444547244,0.00028857422384158084,boundary-dominated,raw,200
energy_continuation_from_disp_strain_global_log10,energy_end,disp_strain_global,2,8,400,1e-06,zero_fixed,free,6.0078047950992e-14,0.40112170577049255,5.428200555712692e-09,0.861468493938446,0.7725078462067348,0.801736250200796,0.6995355813270897,-0.0058141753893173505,-10.201329231262207,6.290301612921212e-11,0.0,1.770437445302307,1.7106252967909263,1.4922375403544925e-05,0.08073773576507202,1.6658696594733426,True,0.0,6.560925953635888e-07,6.583749893707136e-07,1.2454470379452687e-06,1.0034787681239719,1.8982793690196664,1.2454470379452687e-06,0.00988017444547244,0.00028857422384158084,boundary-dominated,log10,200
energy_continuation_from_disp_strain_global_normalized,energy_end,disp_strain_global,2,8,400,1e-06,zero_fixed,free,6.020788793741072e-14,0.4015549123287201,5.559531501830861e-09,0.8718274831771851,0.7607211562028695,0.8015531396711602,0.6974536127663382,0.04534709053378593,-10.201346397399902,6.290042098289206e-11,0.0,1.7927911885646346,1.7105547227037499,1.574962247193356e-05,0.07856256388595736,1.6209891237087477,True,0.0,6.544341317749058e-07,6.583995457276615e-07,1.2268494629097404e-06,1.0060593018612904,1.8746721837114055,1.2268494629097404e-06,0.00988017444547244,0.00028857422384158084,boundary-dominated,normalized,200
