step,Delta_s,alpha_min,alpha_mean,alpha_max,max_alpha_x,max_alpha_y,HI_max,HII_max,HII_over_HI_peak_ratio,HII_active,He_current_max,max_He_current_x,max_He_current_y,mechanics_drive_max,mechanics_drive_max_x,mechanics_drive_max_y,notch_tip_alpha_max,notch_tip_He_current_max,notch_tip_mechanics_drive_max,bottom_right_alpha_max,bottom_right_He_current_max,bottom_right_mechanics_drive_max,drive_location_classification
10,2.5e-05,-0.00059804454213,0.0026285608764737,0.0495586805045604,0.0050444970838725,0.0049571054987609,0.0028880857862532,0.0018240424105897,0.6315748719348412,True,0.0047238776460289,0.0050210845656692,0.0049986438825726,0.0047238776460289,0.0050210845656692,0.0049986438825726,0.0495586805045604,0.0047238776460289,0.0047238776460289,0.00888635776937,8.986693865153939e-05,8.986693865153939e-05,notch-dominated
11,2.7e-05,-0.0004128232540097,0.0032030504662543,0.0594866387546062,0.0049478271976113,0.0049321353435516,0.0034066694788634,0.00215157517232,0.6315773178670244,True,0.0055721038952469,0.0050210845656692,0.0049986438825726,0.0055721038952469,0.0050210845656692,0.0049986438825726,0.0594866387546062,0.0055721038952469,0.0055721038952469,0.010344436392188,0.0001051536019076,0.0001051536019076,notch-dominated
12,3e-05,-0.0004602291155606,0.0040467171929776,0.0863121300935745,0.0049478271976113,0.0049321353435516,0.004380804952234,0.0027667391113936,0.6315595287990843,True,0.0071653658524155,0.0050210845656692,0.0049986438825726,0.0071653658524155,0.0050210845656692,0.0049986438825726,0.0863121300935745,0.0071653658524155,0.0071653658524155,0.0127437515184283,0.0001297040726058,0.0001297040726058,notch-dominated
13,3.2e-05,-0.0003883317694999,0.0047403704375028,0.0958635956048965,0.0049478271976113,0.0049321353435516,0.0050632250495254,0.0031977728940546,0.6315683902603426,True,0.0082815960049629,0.0050210845656692,0.0049986438825726,0.0082815960049629,0.0050210845656692,0.0049986438825726,0.0958635956048965,0.0082815960049629,0.0082815960049629,0.0143096847459673,0.0001477452606195,0.0001477452606195,notch-dominated
14,3.5e-05,-0.0003631662984844,0.0058549493551254,0.1253610253334045,0.0050444970838725,0.0049571054987609,0.0065240995027124,0.0041204788722097,0.6315781772636373,True,0.0106711201369762,0.0050210845656692,0.0049986438825726,0.0106711201369762,0.0050210845656692,0.0049986438825726,0.1253610253334045,0.0106711201369762,0.0106711201369762,0.0172754731029272,0.0001767710928106,0.0001767710928106,notch-dominated
15,3.7e-05,-0.0003262413083575,0.0064968005754053,0.1417848169803619,0.0050444970838725,0.0049571054987609,0.0075077530927956,0.004741733893752,0.6315782944836242,True,0.0122800301760435,0.0050210845656692,0.0049986438825726,0.0122800301760435,0.0050210845656692,0.0049986438825726,0.1417848169803619,0.0122800301760435,0.0122800301760435,0.0189966969192028,0.0001969582081073,0.0001969582081073,notch-dominated
16,4e-05,-0.0003050728118978,0.0077166454866528,0.1793433427810669,0.0050444970838725,0.0049571054987609,0.0094295367598533,0.0059554916806519,0.6315783937560632,True,0.0154233900830149,0.0050210845656692,0.0049986438825726,0.0154233900830149,0.0050210845656692,0.0049986438825726,0.1793433427810669,0.0154233900830149,0.0154233900830149,0.0220880918204784,0.0002293350553372,0.0002293350553372,notch-dominated
17,4.2e-05,-0.0003035017871297,0.0086301732808351,0.2086919993162155,0.0050444970838725,0.0049571054987609,0.0110412472859025,0.0069734142161905,0.6315784834467187,True,0.018059579655528,0.0050210845656692,0.0049986438825726,0.018059579655528,0.0050210845656692,0.0049986438825726,0.2086919993162155,0.018059579655528,0.018059579655528,0.0244082324206829,0.0002521288988646,0.0002521288988646,notch-dominated
18,4.5e-05,-0.0003137671446893,0.0099792415276169,0.255147784948349,0.0050444970838725,0.0049571054987609,0.0140283722430467,0.0088594881817698,0.6315407110872105,True,0.0229449272155761,0.0050210845656692,0.0049986438825726,0.0229449272155761,0.0050210845656692,0.0049986438825726,0.255147784948349,0.0229449272155761,0.0229449272155761,0.0278435852378606,0.0002888018789235,0.0002888018789235,notch-dominated
19,4.7e-05,-0.0003140582412015,0.010920244269073,0.2913850247859955,0.0050444970838725,0.0049571054987609,0.01630668528378,0.0102989552542567,0.6315787098988723,True,0.0266719795763492,0.0050210845656692,0.0049986438825726,0.0266719795763492,0.0050210845656692,0.0049986438825726,0.2913850247859955,0.0266719795763492,0.0266719795763492,0.0301615893840789,0.00031279027462,0.00031279027462,notch-dominated
20,5e-05,-0.0004153842455707,0.0124434577301144,0.3584118783473968,0.0050444970838725,0.0049571054987609,0.0219319239258766,0.0138513930141925,0.6315630612711453,True,0.0358725376427173,0.0050210845656692,0.0049986438825726,0.0358725376427173,0.0050210845656692,0.0049986438825726,0.3584118783473968,0.0358725376427173,0.0358725376427173,0.0338921770453453,0.0003526227665133,0.0003526227665133,notch-dominated
