case,run_id,seed,steps,load_schedule,training_settings,final_Delta_s,final_engineering_shear_strain,peak_nominal_shear_stress_MPa,final_nominal_shear_stress_MPa,post_peak_drop_observed,final_alpha_max,through_crack_any_step,final_HII_over_HI_peak_ratio,final_mechanics_drive_max_x,final_mechanics_drive_max_y,drive_location_classification,final_top_v_absmax_over_Delta_s,classification
smoke_S0020,seed23_S0020_shear,23,5,load_schedules/load_schedule_S0020_shear.csv,"RPROP=20, LBFGS=0",2e-05,0.002,29.29704787675292,29.29704787675292,False,0.0142097678035497,False,0.631548217618951,0.0001128096482716,0.0002940627164207,boundary/corner-dominated,0.511436792294262,shear smoke not convincing
stronger_S0030,seed23_S0030_shear,23,21,load_schedules/load_schedule_S0030_shear.csv,"RPROP=300, LBFGS=1",5e-05,0.005,27.285603573545814,27.285603573545814,False,0.3584118783473968,False,0.6315630612711453,0.0050210845656692,0.0049986438825726,notch-dominated,1.0130152804777026,stronger shear run qualitatively improved
