seed,step,Delta,mode,R_energy_exact_N,R_virtual_current_sigma_N,legacy_top_sigma_integral_N,bottom_reaction_N,top_horizontal_work_N,top_vertical_work_N,top_total_work_N,top_edge_count,bottom_horizontal_work_N,bottom_vertical_work_N,bottom_total_work_N,bottom_edge_count,left_horizontal_work_N,left_vertical_work_N,left_total_work_N,left_edge_count,right_horizontal_work_N,right_vertical_work_N,right_total_work_N,right_edge_count,external_boundary_work_total_N
7,0,1e-06,global_delta_mode,0.07881747296778485,0.05421896278858185,0.03724021436782092,-0.05304534837360302,9.45935567848379e-05,0.03724021436782092,0.03733480792460576,19,0.0,0.0,0.0,19,-1.3479221989896277e-05,-0.00032773990742002184,-0.0003412191294099181,34,0.009976299900350977,-0.00029466728979161093,0.009681632610559364,34,0.0466752214057552
7,0,1e-06,pure_top_vertical_mode,0.07875344454078004,0.0453796312212944,0.03724021436782092,-0.05304534837360302,0.0,0.03724021436782092,0.03724021436782092,19,0.0,0.0,0.0,19,0.0,-0.00020536617243590064,-0.00020536617243590064,34,0.0,-0.0002516461943050297,-0.0002516461943050297,34,0.03678320200107999
7,0,1e-06,no_horizontal_delta_mode,0.07875190203776583,0.045732155442237854,0.03724021436782092,-0.05304534837360302,0.0,0.03724021436782092,0.03724021436782092,19,0.0,0.0,0.0,19,0.0,-0.00032773990742002184,-0.00032773990742002184,34,0.0,-0.00029466728979161093,-0.00029466728979161093,34,0.036617807170609286
7,0,1e-06,affine_vertical_mode,0.07875344454078004,0.0453796312212944,0.03724021436782092,-0.05304534837360302,0.0,0.03724021436782092,0.03724021436782092,19,0.0,0.0,0.0,19,0.0,-0.00020536617243590064,-0.00020536617243590064,34,0.0,-0.0002516461943050297,-0.0002516461943050297,34,0.03678320200107999
7,1,5e-06,global_delta_mode,0.427455612225458,0.2691335082054138,0.19506778017232757,-0.2679494022513191,0.00016277166500372483,0.19506778017232757,0.1952305518373313,19,0.0,0.0,0.0,19,-2.184338974843518e-05,-0.0017075855766636669,-0.0017294289664121017,34,-0.018306148178124017,-0.0004630223863831675,-0.01876917056450719,34,0.174731952306412
7,1,5e-06,pure_top_vertical_mode,0.4252258222550154,0.23506078124046326,0.19506778017232757,-0.2679494022513191,0.0,0.19506778017232757,0.19506778017232757,19,0.0,0.0,0.0,19,0.0,-0.001041871677353639,-0.001041871677353639,34,0.0,-0.00035966817570855795,-0.00035966817570855795,34,0.19366624031926535
7,1,5e-06,no_horizontal_delta_mode,0.4252447106409818,0.23892511427402496,0.19506778017232757,-0.2679494022513191,0.0,0.19506778017232757,0.19506778017232757,19,0.0,0.0,0.0,19,0.0,-0.0017075855766636669,-0.0017075855766636669,34,0.0,-0.0004630223863831675,-0.0004630223863831675,34,0.19289717220928074
7,1,5e-06,affine_vertical_mode,0.4252258222550154,0.23506078124046326,0.19506778017232757,-0.2679494022513191,0.0,0.19506778017232757,0.19506778017232757,19,0.0,0.0,0.0,19,0.0,-0.001041871677353639,-0.001041871677353639,34,0.0,-0.00035966817570855795,-0.00035966817570855795,34,0.19366624031926535
7,2,1e-05,global_delta_mode,0.8481868426315486,0.5298277735710144,0.3810433901310059,-0.522998640568203,0.000230839101545454,0.3810433901310059,0.3812742292325514,19,0.0,0.0,0.0,19,-0.0007026848370883243,-0.0020941301291923964,-0.002796814966280721,34,-0.04390504282235962,-0.0009512047508847849,-0.04485624757324442,34,0.33362116669302627
7,2,1e-05,pure_top_vertical_mode,0.8452866459265351,0.4568352699279785,0.3810433901310059,-0.522998640568203,0.0,0.3810433901310059,0.3810433901310059,19,0.0,0.0,0.0,19,0.0,-0.0009173846722622587,-0.0009173846722622587,34,0.0,-0.0007489835272908623,-0.0007489835272908623,34,0.3793770219314528
7,2,1e-05,no_horizontal_delta_mode,0.8453141199424863,0.465371310710907,0.3810433901310059,-0.522998640568203,0.0,0.3810433901310059,0.3810433901310059,19,0.0,0.0,0.0,19,0.0,-0.0020941301291923964,-0.0020941301291923964,34,0.0,-0.0009512047508847849,-0.0009512047508847849,34,0.3779980552509287
7,2,1e-05,affine_vertical_mode,0.8452866459265351,0.4568352699279785,0.3810433901310059,-0.522998640568203,0.0,0.3810433901310059,0.3810433901310059,19,0.0,0.0,0.0,19,0.0,-0.0009173846722622587,-0.0009173846722622587,34,0.0,-0.0007489835272908623,-0.0007489835272908623,34,0.3793770219314528
7,3,1.5e-05,global_delta_mode,1.2412937358021736,0.7674339413642883,0.5324380757206686,-0.7531592955984968,0.0003479967901555788,0.5324380757206686,0.5327860725108241,19,0.0,0.0,0.0,19,-8.04635019082805e-05,-0.004488965098295976,-0.0045694286002042565,34,-0.06586435489383435,-0.001521166641445039,-0.0673855215352794,34,0.46083112237534046
7,3,1.5e-05,pure_top_vertical_mode,1.2399257393553853,0.6510688662528992,0.5324380757206686,-0.7531592955984968,0.0,0.5324380757206686,0.5324380757206686,19,0.0,0.0,0.0,19,0.0,-0.0028012892620439176,-0.0028012892620439176,34,0.0,-0.0012275915870908897,-0.0012275915870908897,34,0.5284091948715338
7,3,1.5e-05,no_horizontal_delta_mode,1.2390001211315393,0.6639482975006104,0.5324380757206686,-0.7531592955984968,0.0,0.5324380757206686,0.5324380757206686,19,0.0,0.0,0.0,19,0.0,-0.004488965098295976,-0.004488965098295976,34,0.0,-0.001521166641445039,-0.001521166641445039,34,0.5264279439809275
7,3,1.5e-05,affine_vertical_mode,1.2399257393553853,0.6510688662528992,0.5324380757206686,-0.7531592955984968,0.0,0.5324380757206686,0.5324380757206686,19,0.0,0.0,0.0,19,0.0,-0.0028012892620439176,-0.0028012892620439176,34,0.0,-0.0012275915870908897,-0.0012275915870908897,34,0.5284091948715338
7,4,2e-05,global_delta_mode,1.5864964807406068,0.9621469378471375,0.6410805090381484,-0.9418791487176068,0.0005137732425716641,0.6410805090381484,0.6415942822807198,19,0.0,0.0,0.0,19,-0.00010085505801188252,-0.00668376410291114,-0.006784619160923023,34,-0.074594915039457,-0.0018729006830364183,-0.07646781572249342,34,0.5583418473973034
7,4,2e-05,pure_top_vertical_mode,1.5885207103565335,0.8007524013519287,0.6410805090381484,-0.9418791487176068,0.0,0.6410805090381484,0.6410805090381484,19,0.0,0.0,0.0,19,0.0,-0.003814770183514604,-0.003814770183514604,34,0.0,-0.0014823128788743001,-0.0014823128788743001,34,0.6357834259757594
7,4,2e-05,no_horizontal_delta_mode,1.5881373547017574,0.8116658329963684,0.6410805090381484,-0.9418791487176068,0.0,0.6410805090381484,0.6410805090381484,19,0.0,0.0,0.0,19,0.0,-0.00668376410291114,-0.00668376410291114,34,0.0,-0.0018729006830364183,-0.0018729006830364183,34,0.6325238442522008
7,4,2e-05,affine_vertical_mode,1.5885207103565335,0.8007524013519287,0.6410805090381484,-0.9418791487176068,0.0,0.6410805090381484,0.6410805090381484,19,0.0,0.0,0.0,19,0.0,-0.003814770183514604,-0.003814770183514604,34,0.0,-0.0014823128788743001,-0.0014823128788743001,34,0.6357834259757594
7,5,2.5e-05,global_delta_mode,1.7821155488491058,0.939889132976532,0.6861086093039972,-1.0552538973235857,0.0003393474003559867,0.6861086093039972,0.686447956704353,19,0.0,0.0,0.0,19,-0.0001200585372368257,-0.007620290779510541,-0.007740349316747367,34,-0.04527226659393661,-0.002866466348158874,-0.048138732942095495,34,0.6305688744455101
7,5,2.5e-05,pure_top_vertical_mode,1.7775609157979488,0.875530481338501,0.6861086093039972,-1.0552538973235857,0.0,0.6861086093039972,0.6861086093039972,19,0.0,0.0,0.0,19,0.0,-0.004630705547100163,-0.004630705547100163,34,0.0,-0.002444487742622296,-0.002444487742622296,34,0.6790334160142747
7,5,2.5e-05,no_horizontal_delta_mode,1.7798006301745772,0.7554026246070862,0.6861086093039972,-1.0552538973235857,0.0,0.6861086093039972,0.6861086093039972,19,0.0,0.0,0.0,19,0.0,-0.007620290779510541,-0.007620290779510541,34,0.0,-0.002866466348158874,-0.002866466348158874,34,0.6756218521763278
7,5,2.5e-05,affine_vertical_mode,1.7775609157979488,0.875530481338501,0.6861086093039972,-1.0552538973235857,0.0,0.6861086093039972,0.6861086093039972,19,0.0,0.0,0.0,19,0.0,-0.004630705547100163,-0.004630705547100163,34,0.0,-0.002444487742622296,-0.002444487742622296,34,0.6790334160142747
7,6,3e-05,global_delta_mode,1.8339642556384206,0.46583643555641174,0.6936558486752507,-1.1198192161998273,0.0001944078691158103,0.6936558486752507,0.6938502565443666,19,0.0,0.0,0.0,19,-0.0014751256768128637,-0.008418393461726889,-0.009893519138539753,34,0.010069303764279244,-0.003984244057976414,0.0060850597063028325,34,0.6900417971121297
7,6,3e-05,pure_top_vertical_mode,1.8303684191778302,0.8788707256317139,0.6936558486752507,-1.1198192161998273,0.0,0.6936558486752507,0.6936558486752507,19,0.0,0.0,0.0,19,0.0,-0.004920476841849537,-0.004920476841849537,34,0.0,-0.0035482863595084303,-0.0035482863595084303,34,0.6851870854738927
7,6,3e-05,no_horizontal_delta_mode,1.8333252519369125,0.2214042693376541,0.6936558486752507,-1.1198192161998273,0.0,0.6936558486752507,0.6936558486752507,19,0.0,0.0,0.0,19,0.0,-0.008418393461726889,-0.008418393461726889,34,0.0,-0.003984244057976414,-0.003984244057976414,34,0.6812532111555474
7,6,3e-05,affine_vertical_mode,1.8303684191778302,0.8788707256317139,0.6936558486752507,-1.1198192161998273,0.0,0.6936558486752507,0.6936558486752507,19,0.0,0.0,0.0,19,0.0,-0.004920476841849537,-0.004920476841849537,34,0.0,-0.0035482863595084303,-0.0035482863595084303,34,0.6851870854738927
7,7,3.5e-05,global_delta_mode,1.731373369693756,-0.7361004948616028,0.6877228886408776,-1.1406299528019412,2.9512670971603783e-05,0.6877228886408776,0.6877524013118492,19,0.0,0.0,0.0,19,-0.0019182578583510795,-0.006741053130788678,-0.008659310989139758,34,0.09031603535062724,-0.0052447789745877415,0.08507125637603949,34,0.764164346698749
7,7,3.5e-05,pure_top_vertical_mode,1.7339292680844665,0.8118559122085571,0.6877228886408776,-1.1406299528019412,0.0,0.6877228886408776,0.6877228886408776,19,0.0,0.0,0.0,19,0.0,-0.004577483662258643,-0.004577483662258643,34,0.0,-0.004878950874601018,-0.004878950874601018,34,0.678266454104018
7,7,3.5e-05,no_horizontal_delta_mode,1.7327098175883293,-1.0477747917175293,0.6877228886408776,-1.1406299528019412,0.0,0.6877228886408776,0.6877228886408776,19,0.0,0.0,0.0,19,0.0,-0.006741053130788678,-0.006741053130788678,34,0.0,-0.0052447789745877415,-0.0052447789745877415,34,0.6757370565355012
7,7,3.5e-05,affine_vertical_mode,1.7339292680844665,0.8118559122085571,0.6877228886408776,-1.1406299528019412,0.0,0.6877228886408776,0.6877228886408776,19,0.0,0.0,0.0,19,0.0,-0.004577483662258643,-0.004577483662258643,34,0.0,-0.004878950874601018,-0.004878950874601018,34,0.678266454104018
7,8,4e-05,global_delta_mode,1.4293115818873048,-2.946578025817871,0.6701752462756956,-1.1406655473392364,-0.00013215957741881986,0.6701752462756956,0.6700430866982766,19,0.0,0.0,0.0,19,-0.0017856296970564641,-0.002539965917029109,-0.004325595614085573,34,0.1890483809531942,-0.006144559742612505,0.18290382121058174,34,0.8486213122947728
7,8,4e-05,pure_top_vertical_mode,1.4158511767163873,0.6743832230567932,0.6701752462756956,-1.1406655473392364,0.0,0.6701752462756956,0.6701752462756956,19,0.0,0.0,0.0,19,0.0,-0.0009646458402961971,-0.0009646458402961971,34,0.0,-0.005847551164431422,-0.005847551164431422,34,0.6633630492709679
7,8,4e-05,no_horizontal_delta_mode,1.4245869824662805,-3.3426284790039062,0.6701752462756956,-1.1406655473392364,0.0,0.6701752462756956,0.6701752462756956,19,0.0,0.0,0.0,19,0.0,-0.002539965917029109,-0.002539965917029109,34,0.0,-0.006144559742612505,-0.006144559742612505,34,0.661490720616054
7,8,4e-05,affine_vertical_mode,1.4158511767163873,0.6743832230567932,0.6701752462756956,-1.1406655473392364,0.0,0.6701752462756956,0.6701752462756956,19,0.0,0.0,0.0,19,0.0,-0.0009646458402961971,-0.0009646458402961971,34,0.0,-0.005847551164431422,-0.005847551164431422,34,0.6633630492709679
7,9,4.5e-05,global_delta_mode,1.007041078992188,-6.195499420166016,0.6897184049308401,-1.140980001588766,-0.00040925388907675286,0.6897184049308401,0.6893091510417634,19,0.0,0.0,0.0,19,-0.001708402248366802,-0.001430522906685122,-0.0031389251550519243,34,0.2741031776655146,-0.005053142098659525,0.26905003556685503,34,0.9552202614535665
7,9,4.5e-05,pure_top_vertical_mode,1.0007661767303944,0.49448588490486145,0.6897184049308401,-1.140980001588766,0.0,0.6897184049308401,0.6897184049308401,19,0.0,0.0,0.0,19,0.0,-0.00022497206030804815,-0.00022497206030804815,34,0.0,-0.0048782575537596375,-0.0048782575537596375,34,0.6846151753167725
7,9,4.5e-05,no_horizontal_delta_mode,1.006979844532907,-6.652451515197754,0.6897184049308401,-1.140980001588766,0.0,0.6897184049308401,0.6897184049308401,19,0.0,0.0,0.0,19,0.0,-0.001430522906685122,-0.001430522906685122,34,0.0,-0.005053142098659525,-0.005053142098659525,34,0.6832347399254955
7,9,4.5e-05,affine_vertical_mode,1.0007661767303944,0.49448588490486145,0.6897184049308401,-1.140980001588766,0.0,0.6897184049308401,0.6897184049308401,19,0.0,0.0,0.0,19,0.0,-0.00022497206030804815,-0.00022497206030804815,34,0.0,-0.0048782575537596375,-0.0048782575537596375,34,0.6846151753167725
7,10,4.7e-05,global_delta_mode,0.8521633571945131,-7.978897571563721,0.713109034451995,-1.1435436726918995,-0.00025437383394976754,0.713109034451995,0.7128546606180453,19,0.0,0.0,0.0,19,-0.0014865294147996676,-0.0018362717249326874,-0.0033228011397323553,34,0.29533687009358267,-0.004736282845017909,0.29060058724856475,34,1.0001324467268775
7,10,4.7e-05,pure_top_vertical_mode,0.852032273542136,0.4194491505622864,0.713109034451995,-1.1435436726918995,0.0,0.713109034451995,0.713109034451995,19,0.0,0.0,0.0,19,0.0,-0.000717179648498792,-0.000717179648498792,34,0.0,-0.004596124333722794,-0.004596124333722794,34,0.7077957304697734
7,10,4.7e-05,no_horizontal_delta_mode,0.851816963404417,-8.442855834960938,0.713109034451995,-1.1435436726918995,0.0,0.713109034451995,0.713109034451995,19,0.0,0.0,0.0,19,0.0,-0.0018362717249326874,-0.0018362717249326874,34,0.0,-0.004736282845017909,-0.004736282845017909,34,0.7065364798820444
7,10,4.7e-05,affine_vertical_mode,0.852032273542136,0.4194491505622864,0.713109034451995,-1.1435436726918995,0.0,0.713109034451995,0.713109034451995,19,0.0,0.0,0.0,19,0.0,-0.000717179648498792,-0.000717179648498792,34,0.0,-0.004596124333722794,-0.004596124333722794,34,0.7077957304697734
7,11,4.9e-05,global_delta_mode,0.6778757669962943,-10.017044067382812,0.7150352924186576,-1.1426244606118396,-0.0009448472449311972,0.7150352924186576,0.7140904451737264,19,0.0,0.0,0.0,19,-0.0017771578799454463,-0.0019621931139842566,-0.0037393509939297027,34,0.3020931482613102,-0.005083213842492461,0.29700993441881773,34,1.0073610285986145
7,11,4.9e-05,pure_top_vertical_mode,0.6787515012547374,0.3347858190536499,0.7150352924186576,-1.1426244606118396,0.0,0.7150352924186576,0.7150352924186576,19,0.0,0.0,0.0,19,0.0,-0.00148225471543843,-0.00148225471543843,34,0.0,-0.004948307905507002,-0.004948307905507002,34,0.7086047297977122
7,11,4.9e-05,no_horizontal_delta_mode,0.6777190137654543,-10.502492904663086,0.7150352924186576,-1.1426244606118396,0.0,0.7150352924186576,0.7150352924186576,19,0.0,0.0,0.0,19,0.0,-0.0019621931139842566,-0.0019621931139842566,34,0.0,-0.005083213842492461,-0.005083213842492461,34,0.7079898854621809
7,11,4.9e-05,affine_vertical_mode,0.6787515012547374,0.3347858190536499,0.7150352924186576,-1.1426244606118396,0.0,0.7150352924186576,0.7150352924186576,19,0.0,0.0,0.0,19,0.0,-0.00148225471543843,-0.00148225471543843,34,0.0,-0.004948307905507002,-0.004948307905507002,34,0.7086047297977122
7,12,5.1e-05,global_delta_mode,0.4787435755133629,-12.233088493347168,0.7128576245015877,-1.1384218580423728,-0.00023784184260428845,0.7128576245015877,0.7126197826589834,19,0.0,0.0,0.0,19,-0.0014691389431418296,-0.003759607742465926,-0.005228746685607757,34,0.3583922480962068,-0.004083053607616563,0.3543091944885903,34,1.0617002304619658
7,12,5.1e-05,pure_top_vertical_mode,0.4768128856085241,0.24686530232429504,0.7128576245015877,-1.1384218580423728,0.0,0.7128576245015877,0.7128576245015877,19,0.0,0.0,0.0,19,0.0,-0.0030207647672000357,-0.0030207647672000357,34,0.0,-0.00395211973925201,-0.00395211973925201,34,0.7058847399951357
7,12,5.1e-05,no_horizontal_delta_mode,0.4784845805261284,-12.750816345214844,0.7128576245015877,-1.1384218580423728,0.0,0.7128576245015877,0.7128576245015877,19,0.0,0.0,0.0,19,0.0,-0.003759607742465926,-0.003759607742465926,34,0.0,-0.004083053607616563,-0.004083053607616563,34,0.7050149631515052
7,12,5.1e-05,affine_vertical_mode,0.4768128856085241,0.24686530232429504,0.7128576245015877,-1.1384218580423728,0.0,0.7128576245015877,0.7128576245015877,19,0.0,0.0,0.0,19,0.0,-0.0030207647672000357,-0.0030207647672000357,34,0.0,-0.00395211973925201,-0.00395211973925201,34,0.7058847399951357
7,13,5.3e-05,global_delta_mode,0.2679606550373137,-14.832749366760254,0.7155700145182586,-1.138536508082814,-0.0011621820890165193,0.7155700145182586,0.7144078324292419,19,0.0,0.0,0.0,19,-0.0014829350214600693,-2.8098664961768714e-05,-0.0015110336864218388,34,0.39067519836676434,-0.0006956530419593656,0.38997954532480505,34,1.1028763440676252
7,13,5.3e-05,pure_top_vertical_mode,0.2537444233894348,0.15510320663452148,0.7155700145182586,-1.138536508082814,0.0,0.7155700145182586,0.7155700145182586,19,0.0,0.0,0.0,19,0.0,-0.00011091124327301786,-0.00011091124327301786,34,0.0,-0.0007325515536479228,-0.0007325515536479228,34,0.7147265517213377
7,13,5.3e-05,no_horizontal_delta_mode,0.2677489828784019,-15.38858413696289,0.7155700145182586,-1.138536508082814,0.0,0.7155700145182586,0.7155700145182586,19,0.0,0.0,0.0,19,0.0,-2.8098664961768714e-05,-2.8098664961768714e-05,34,0.0,-0.0006956530419593656,-0.0006956530419593656,34,0.7148462628113375
7,13,5.3e-05,affine_vertical_mode,0.2537444233894348,0.15510320663452148,0.7155700145182586,-1.138536508082814,0.0,0.7155700145182586,0.7155700145182586,19,0.0,0.0,0.0,19,0.0,-0.00011091124327301786,-0.00011091124327301786,34,0.0,-0.0007325515536479228,-0.0007325515536479228,34,0.7147265517213377
7,14,5.5e-05,global_delta_mode,0.15983432240318507,-17.60835075378418,0.7072643097513112,-1.1384542984101476,-0.0017587799804585113,0.7072643097513112,0.7055055297708528,19,0.0,0.0,0.0,19,-0.0016090119823614752,0.00021668794511643959,-0.001392324037245035,34,0.41811711236209365,-8.390745568187031e-05,0.41803320490641177,34,1.1221464106400196
7,14,5.5e-05,pure_top_vertical_mode,0.15790743054822087,0.06978417187929153,0.7072643097513112,-1.1384542984101476,0.0,0.7072643097513112,0.7072643097513112,19,0.0,0.0,0.0,19,0.0,0.0007973233783998955,0.0007973233783998955,34,0.0,-0.0003449553369281481,-0.0003449553369281481,34,0.7077166777927829
