seed,step,Delta,region,node_count,element_count,du_dDelta_mean,du_dDelta_abs_mean,du_dDelta_abs_max,dv_dDelta_mean,dv_dDelta_abs_mean,dv_dDelta_abs_max,deps_xx_dDelta_mean,deps_xx_dDelta_abs_mean,deps_xx_dDelta_abs_max,deps_yy_dDelta_mean,deps_yy_dDelta_abs_mean,deps_yy_dDelta_abs_max,deps_xy_dDelta_mean,deps_xy_dDelta_abs_mean,deps_xy_dDelta_abs_max
7,0,1e-06,whole_domain,2786,5411,-0.06976052406211779,0.0964888940345748,0.37302032113075256,0.499174079619827,0.5012040845236732,1.0816636085510254,-24.229169879313314,25.581723140881554,125.73223876953125,59.34561177916056,60.59631236624073,763.7118530273438,0.5090411369482442,9.778032558035044,239.87347412109375
7,0,1e-06,top_boundary,20,20,0.010625850968062877,0.17268515508621932,0.37302032113075256,1.0,1.0,1.0,-51.42733174338937,53.96864489540458,109.90079498291016,55.89520065784454,61.79294044971466,110.15470886230469,0.6988929197192192,1.3244547560811042,2.2273948192596436
7,0,1e-06,bottom_boundary,20,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.4199636936187744,0.4199636936187744,8.399273872375488,58.65325141251087,58.68675961196423,119.97789001464844,-1.5311049163341521,15.084384793043137,32.86705780029297
7,0,1e-06,left_boundary,36,129,0.02495312871825364,0.05239903492232164,0.1721029132604599,0.5189198244156109,0.5449125929218199,1.0816636085510254,2.3308644438407913,2.5241976716057506,11.08184814453125,-6.280746310922252,6.42616431000859,29.040939331054688,0.33547929645508756,1.4086103328438693,6.9099225997924805
7,0,1e-06,right_boundary,35,121,-0.2299714214035443,0.2299714214035443,0.37302032113075256,0.5383562773466111,0.5383562773466111,1.0,-78.97900990415211,78.97900990415211,95.56410217285156,96.8149461982664,96.8149461982664,143.95823669433594,-1.1465146137663156,1.3895176255013333,24.40395736694336
7,0,1e-06,near_notch,166,315,-0.1135493480174028,0.1135493480174028,0.171443909406662,0.48715564330299216,0.48715564330299216,0.8005504012107849,-33.95910505652428,38.59052176314687,125.73223876953125,108.46220896868479,109.20232529129301,763.7118530273438,2.575278338931856,37.33272191380698,239.87347412109375
7,1,5e-06,whole_domain,2786,5411,-0.07561352004765944,0.09738087623374872,0.28653204441070557,0.500212605162008,0.502419016228106,1.08424711227417,-17.10336691044186,18.61901740116508,131.58644104003906,59.069113607666964,60.40303772518107,817.3865356445312,0.4949738950978237,9.630036096782046,247.78504943847656
7,1,5e-06,top_boundary,20,20,0.01138973142951727,0.15966811161488295,0.28653204441070557,1.0,1.0,1.0,-41.75653470158577,44.643187874555586,110.62086486816406,54.20413823574781,60.69572272747755,110.62024688720703,1.027138863503933,1.417673821747303,2.167628526687622
7,1,5e-06,bottom_boundary,20,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.056816548109054565,0.056816548109054565,1.1363309621810913,59.794163739681245,60.335665905475615,124.6335220336914,-2.114510658290237,8.918678167369217,15.648907661437988
7,1,5e-06,left_boundary,36,129,0.011118514573253278,0.053123112166455634,0.15697064995765686,0.5188907450873457,0.5469806856805614,1.08424711227417,2.2881473136051422,2.4627666876943737,11.333664894104004,-6.1514783687817385,6.218576164981133,30.192407608032227,0.4426193274268808,1.309732947238656,4.057172775268555
7,1,5e-06,right_boundary,35,121,-0.17324072431240764,0.17324072431240764,0.28653204441070557,0.5382154513682638,0.5382154513682638,1.0,-12.620599246222126,12.620599246222126,22.13435935974121,95.9245747968185,95.9245747968185,139.39317321777344,-0.5343079793551737,0.741002466067795,9.37512493133545
7,1,5e-06,near_notch,166,315,-0.13216659373951606,0.13216659373951606,0.19501209259033203,0.48696815303291185,0.48696815303291185,0.814155638217926,-32.576096753799725,39.253807800298645,131.58644104003906,111.50997200764361,112.44556438587014,817.3865356445312,2.272421341472202,38.89759925244346,247.78504943847656
7,2,1e-05,whole_domain,2786,5411,-0.07731273325782556,0.0980834284215686,0.28052884340286255,0.5001528118472538,0.5024864151015425,1.0854469537734985,-16.3665252523747,17.93802332170032,136.22991943359375,59.04460668471889,60.47220409661144,849.419921875,0.4266557578005019,9.519585775563604,250.16061401367188
7,2,1e-05,top_boundary,20,20,0.008621005155146123,0.1572783263400197,0.28052884340286255,1.0,1.0,1.0,-40.36418821960687,43.98571331650019,111.50927734375,53.91657314226031,60.52886767312884,111.5084457397461,0.7979612959548831,1.2523929672315717,2.51749587059021
7,2,1e-05,bottom_boundary,20,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.030331817269325257,0.030331817269325257,0.6066363453865051,59.6059916973114,60.27549774646759,125.56576538085938,-1.3259739689528942,7.133144121617079,11.239205360412598
7,2,1e-05,left_boundary,36,129,0.008505850229994394,0.05270966233122939,0.14841629564762115,0.5188065294642001,0.5476087142144226,1.0854469537734985,2.4645119007359177,2.606744720723278,17.172531127929688,-6.370826535215674,6.4682972652967585,30.092493057250977,0.3982419727384582,1.35707220735476,4.23381233215332
7,2,1e-05,right_boundary,35,121,-0.16818421671965292,0.16818421671965292,0.28052884340286255,0.5392616648759161,0.5392616648759161,1.0,-6.758587691902129,6.758587691902129,14.803932189941406,95.63545863884539,95.63545863884539,138.64039611816406,-0.531939573524412,0.665458848653746,6.007071495056152
7,2,1e-05,near_notch,166,315,-0.1357968000201396,0.1357968000201396,0.19957470893859863,0.4856808019510235,0.4856808019510235,0.8184541463851929,-33.108006228376844,40.05339985368071,136.22991943359375,114.29092009387438,115.20685521816569,849.419921875,2.3847909586770193,39.0626461596716,250.16061401367188
7,3,1.5e-05,whole_domain,2786,5411,-0.07908906588869934,0.09901381110719705,0.28725337982177734,0.5001494383382342,0.5026308975910132,1.0851519107818604,-16.308657331114695,17.858537331485945,146.60789489746094,59.07045309467728,60.550547608712506,912.8741455078125,0.37386058936815697,9.409914135935676,271.3343505859375
7,3,1.5e-05,top_boundary,20,20,0.006178942322731018,0.1562975212931633,0.28725337982177734,1.0,1.0,1.0,-40.950748064368966,43.8808756493032,111.54035949707031,53.33170996904373,60.013866460323335,111.51750183105469,1.0566478103399277,1.3560376435518264,2.4531755447387695
7,3,1.5e-05,bottom_boundary,20,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.01942336857318878,0.01942336857318878,0.38846737146377563,59.26536229848862,60.02959393262863,126.86978149414062,-1.24113302603364,6.587045983225107,10.282241821289062
7,3,1.5e-05,left_boundary,36,129,0.006808083236036409,0.05264018947814798,0.1479177325963974,0.5181736419391301,0.5479745663081607,1.0851519107818604,2.420180189943071,2.543499103487404,11.31280517578125,-6.4293855498292185,6.513809309420428,29.794435501098633,0.47214762000150456,1.2897883274758508,4.137134552001953
7,3,1.5e-05,right_boundary,35,121,-0.16942848060280086,0.16942848060280086,0.28725337982177734,0.5406201051814216,0.5406201051814216,1.0,-5.263029371411347,5.263029371411347,12.136470794677734,95.42623977030604,95.42623977030604,139.33888244628906,-0.5231913259206724,0.6305771780408118,5.345857620239258
7,3,1.5e-05,near_notch,166,315,-0.13802119421896086,0.13802119421896086,0.20213353633880615,0.48597423103918513,0.48597423103918513,0.8241831660270691,-33.829831479895965,41.182324893563795,146.60789489746094,118.46203644275666,119.54975528452131,912.8741455078125,2.3915500816844757,39.40439878475098,271.3343505859375
7,4,2e-05,whole_domain,2786,5411,-0.08032949337546907,0.09967094725777093,0.29724982380867004,0.5003417359947675,0.5030132974071341,1.083286166191101,-16.486850152181624,17.945928925330303,155.65896606445312,59.333938832956825,60.82905071075602,1185.03125,0.3747249797958694,9.258741322627372,302.0046691894531
7,4,2e-05,top_boundary,20,20,0.004478076659142971,0.15451801810413598,0.29724982380867004,1.0,1.0,1.0,-41.424121510982516,44.41391108334064,111.11878204345703,52.500761079788205,59.30293502807617,111.13532257080078,0.9971873104572296,1.2891430586576462,3.0898382663726807
7,4,2e-05,bottom_boundary,20,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.01385800987482071,0.01385800987482071,0.2771601974964142,58.482786673307416,59.392123001813886,128.28402709960938,-1.3720248073339463,6.101176515221596,9.905702590942383
7,4,2e-05,left_boundary,36,129,0.005138448111311946,0.052118058337429024,0.14282390475273132,0.5171368910685286,0.547773600239048,1.083286166191101,2.3758012252145035,2.571733724181504,11.073439598083496,-6.27885026789393,6.418612871333495,29.32305908203125,0.33887952150300493,1.3674215743708056,3.7998790740966797
7,4,2e-05,right_boundary,35,121,-0.17280188836157323,0.17280188836157323,0.29724982380867004,0.541870186158589,0.541870186158589,1.0,-6.380855601188565,6.380855601188565,13.473695755004883,95.18029980620076,95.18029980620076,140.90533447265625,-0.5205485968550375,0.6310482803455069,5.04323673248291
7,4,2e-05,near_notch,166,315,-0.13886879003012037,0.13886879003012037,0.20474934577941895,0.48724958875093116,0.48724958875093116,0.8360718488693237,-35.050954198789974,41.811862555903105,155.65896606445312,129.53192627032598,130.65203078266174,1185.03125,2.958461021998572,39.91894995295812,302.0046691894531
7,5,2.5e-05,whole_domain,2786,5411,-0.07472228634552551,0.09338546246176105,0.3059769570827484,0.5000039845884837,0.502518726209738,1.0698573589324951,-16.435664412388398,17.383810279106903,124.10423278808594,61.54326785777488,62.77433735432367,2760.767822265625,0.4222264484499105,8.971669519427875,414.1358337402344
7,5,2.5e-05,top_boundary,20,20,0.005666175112128258,0.143722191080451,0.3059769570827484,1.0,1.0,1.0,-40.75638336520642,43.34643589723855,111.12919616699219,50.13100841939449,55.9188622623682,111.14251708984375,0.956907793879509,1.2421639055013656,2.5625758171081543
7,5,2.5e-05,bottom_boundary,20,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.013511449098587036,0.013511449098587036,0.2702289819717407,55.7391370087862,56.74504552185535,127.3936767578125,-0.9618468761444092,5.0706747174263,8.612015724182129
7,5,2.5e-05,left_boundary,36,129,0.004139948153958055,0.04866558363442487,0.1265609860420227,0.5128881828859448,0.541487651049263,1.0698573589324951,2.1922178609484386,2.424842301582874,9.436144828796387,-5.4561551075515355,5.551181026351776,24.326568603515625,0.34681166696918103,1.1594227626342182,3.8433189392089844
7,5,2.5e-05,right_boundary,35,121,-0.17151683209730045,0.17151683209730045,0.3059769570827484,0.5399042738335473,0.5399042738335473,1.0,-9.915007750357478,9.915007750357478,23.532209396362305,95.25123116989766,95.25123116989766,139.4550323486328,-0.4710698620346952,0.5943762783176643,4.105167388916016
7,5,2.5e-05,near_notch,166,315,-0.12407752734620169,0.12407752734620169,0.18435323238372803,0.4923952092607337,0.4923952092607337,0.8662987947463989,-38.25883652677257,41.77300910103534,124.10423278808594,179.7924904030526,180.37961200529503,2760.767822265625,3.6593741242847746,46.941178378604704,414.1358337402344
7,6,3e-05,whole_domain,2786,5411,-0.06700670364376937,0.08580113048092812,0.3072143793106079,0.4993601799235955,0.5014004182882894,1.0552573204040527,-16.776276695661487,17.5240274280784,230.00314331054688,64.67948895398933,65.69862047243745,4088.893798828125,0.5211530955402672,8.91560832213461,738.1964111328125
7,6,3e-05,top_boundary,20,20,0.008219848852604628,0.13075072346255184,0.3072143793106079,1.0,1.0,1.0,-39.285287983715534,42.078229136765,108.62818908691406,47.450978115200996,52.00493595302105,108.6287612915039,0.768565209209919,1.0283310011029243,1.9349180459976196
7,6,3e-05,bottom_boundary,20,20,0.0,0.0,0.0,0.0,0.0,0.0,-0.014714975655078889,0.014714975655078889,0.29429951310157776,52.641842156648636,53.55928626656532,126.3469467163086,-0.4738975137472153,3.9386994749307633,7.24478006362915
7,6,3e-05,left_boundary,36,129,0.0056869464234397225,0.04383930806781993,0.1098601371049881,0.5095924576744437,0.533349291421473,1.0552573204040527,2.041636028305389,2.3049517954418133,9.92373275756836,-4.289350753289091,4.427598925437345,19.12022590637207,0.28330463448236154,1.1386208409486815,3.4995079040527344
7,6,3e-05,right_boundary,35,121,-0.16876491531729698,0.16876491531729698,0.3072143793106079,0.5362492440002306,0.5362492440002306,1.0,-13.101010922804353,13.101010922804353,42.08152389526367,94.94751878218217,94.94751878218217,137.7914276123047,-0.34634407689748714,0.5721799085948093,3.198319911956787
7,6,3e-05,near_notch,166,315,-0.10482175284660006,0.10482175284660006,0.172146275639534,0.49658497207495106,0.49658497207495106,0.8932380676269531,-45.70109114119458,47.173968838297185,230.00314331054688,239.47428782817036,239.8882095465407,4088.893798828125,4.7401591263120135,50.81338050857423,738.1964111328125
7,7,3.5e-05,whole_domain,2786,5411,-0.06099100158282332,0.07810007978273556,0.2979421615600586,0.4980322829071374,0.49969421281737303,1.044723629951477,-16.894198633837394,17.675461088357384,288.2420654296875,68.2136229716852,69.05906461328206,5088.43408203125,0.4535823854216915,8.397010830947188,765.6182250976562
