seed,step,Delta,R_total_dPi_dDelta_N,R_current_mechanics_elastic_N,R_history_elastic_N,R_fracture_N,R_phase_history_aux_N,R_phase_history_total_N,R_frozen_branch_history_elastic_N,R_post_step_committed_history_elastic_N,I_current_active_fraction,II_current_active_fraction,history_source
7,0,1e-06,0.07881747296778485,0.07881747296778485,0.07881747296778485,0.0,0.0786552918725647,0.0786552918725647,0.07881747296778485,0.04116349737159908,1.0,1.0,zero_initial_history
7,1,5e-06,0.427455612225458,0.427455612225458,0.427455612225458,0.0,0.4271491779945791,0.4271491779945791,0.427455612225458,0.214680316275917,0.9990759491920471,0.9990759491920471,checkpoint_step_0000_post_history
7,2,1e-05,0.8481868426315486,0.8481868426315486,0.8481868426315486,0.0,0.847773568239063,0.847773568239063,0.8481868426315486,0.39859110256657004,0.9979671239852905,0.997782289981842,checkpoint_step_0001_post_history
7,3,1.5e-05,1.2412937358021736,1.2412957148626447,1.2412937358021736,0.0,1.2406876776367426,1.2406876776367426,1.2412937358021736,0.6084819906391203,0.9955645799636841,0.9957494139671326,checkpoint_step_0002_post_history
7,4,2e-05,1.5864964807406068,1.586527214385569,1.5864964807406068,0.0,1.5857219696044922,1.5857219696044922,1.5864964807406068,0.8319803746417165,0.9931620955467224,0.9918684363365173,checkpoint_step_0003_post_history
7,5,2.5e-05,1.7821155488491058,1.8142890185117722,1.7821155488491058,0.0,1.7814275342971087,1.7814275342971087,1.7821155488491058,0.8941564592532814,0.8722971677780151,0.8571428656578064,checkpoint_step_0004_post_history
7,6,3e-05,1.8339642556384206,1.9407698418945074,1.8339642556384206,0.0,1.8336904468014836,1.8336904468014836,1.8339642556384206,0.907769484911114,0.7030124068260193,0.7177971005439758,checkpoint_step_0005_post_history
7,7,3.5e-05,1.731373369693756,1.9654149655252695,1.731373369693756,0.0,1.7312593990936875,1.7312593990936875,1.731373369693756,0.8592535159550607,0.5241175293922424,0.5693956613540649,checkpoint_step_0006_post_history
7,8,4e-05,1.4293115818873048,1.8960180459544063,1.4293115818873048,0.0,1.4291858533397317,1.4291858533397317,1.4293115818873048,0.6878816056996584,0.416743665933609,0.45000922679901123,checkpoint_step_0007_post_history
7,9,4.5e-05,1.007041078992188,1.7477304209023714,1.007041078992188,0.0,1.006956910714507,1.006956910714507,1.0067992843687534,0.511847494635731,0.30105340480804443,0.3321012854576111,checkpoint_step_0008_post_history
7,10,4.7e-05,0.8521633571945131,1.6764310421422124,0.8521633571945131,0.0,0.852096127346158,0.852096127346158,0.8521633571945131,0.4210031474940479,0.24967658519744873,0.27739790081977844,checkpoint_step_0009_post_history
7,11,4.9e-05,0.6778757669962943,1.6020399052649736,0.6778757669962943,0.0,0.6778226234018803,0.6778226234018803,0.6778757669962943,0.3292779438197613,0.19719091057777405,0.22602106630802155,checkpoint_step_0010_post_history
7,12,5.1e-05,0.4787435755133629,1.5212635044008493,0.4787435755133629,0.0,0.47868938418105245,0.47868938418105245,0.4776420828420669,0.24963519535958767,0.15801145136356354,0.189059317111969,checkpoint_step_0011_post_history
7,13,5.3e-05,0.2679606550373137,1.4326958917081356,0.2679606550373137,0.0,0.2679071913007647,0.2679071913007647,0.2679606550373137,0.1495889446232468,0.11920162290334702,0.14359638094902039,checkpoint_step_0012_post_history
7,14,5.5e-05,0.15983432240318507,1.352899707853794,0.15983432240318507,0.0,0.1597754016984254,0.1597754016984254,0.15983432240318507,0.08132148650474846,0.08390316367149353,0.10404731333255768,checkpoint_step_0013_post_history
7,15,5.7e-05,0.11356447066646069,1.2962331529706717,0.11356447066646069,0.0,0.11352036381140351,0.11352036381140351,0.11350325075909495,0.06815847882535309,0.0685640349984169,0.08852338045835495,checkpoint_step_0014_post_history
7,16,5.9e-05,0.07449212716892362,1.2289575533941388,0.07449212716892362,0.0,0.07442509377142414,0.07442509377142414,0.07449212716892362,0.03891270898748189,0.06394381821155548,0.08371835201978683,checkpoint_step_0015_post_history
7,17,6.1e-05,0.03537354859872721,1.1704900534823537,0.03537354859872721,0.0,0.03532180926413275,0.03532180926413275,0.03526243381202221,0.015450872524525039,0.05193125084042549,0.06542228907346725,checkpoint_step_0016_post_history
7,18,6.3e-05,0.03455582555034198,1.125974697060883,0.03455582555034198,0.0,0.034500215406296775,0.034500215406296775,0.03455582555034198,0.021250612917356193,0.053964145481586456,0.06690075993537903,checkpoint_step_0017_post_history
7,19,6.5e-05,0.037712903576903045,1.0636417428031564,0.037712903576903045,0.0,0.03766841837204993,0.03766841837204993,0.037712903576903045,0.0212116810871521,0.04472371190786362,0.06006283313035965,checkpoint_step_0018_post_history
7,20,6.7e-05,0.02155911897716578,1.0187642183154821,0.02155911897716578,0.0,0.021505078620975837,0.021505078620975837,0.02155911897716578,0.011120679118903354,0.05100720748305321,0.057475510984659195,checkpoint_step_0019_post_history
7,21,6.9e-05,0.01816071744542569,0.9810372721403837,0.01816071744542569,0.0,0.018113985788659193,0.018113985788659193,0.01816071744542569,0.008191664164769463,0.04694141447544098,0.05618185177445412,checkpoint_step_0020_post_history
7,22,7.1e-05,0.012927604075230192,0.941432430408895,0.012927604075230192,0.0,0.012890802281617653,0.012890802281617653,0.012927604075230192,0.008555835847801063,0.04527813568711281,0.053964145481586456,checkpoint_step_0021_post_history
7,23,7.3e-05,0.012206155588501133,0.8906674338504672,0.012206155588501133,0.0,0.0121577122627059,0.0121577122627059,0.012206155588501133,0.00832948262541322,0.04620217904448509,0.05544261634349823,checkpoint_step_0022_post_history
7,24,7.5e-05,0.010817901966220234,0.853856501635164,0.010817901966220234,0.0,0.010783941434056032,0.010783941434056032,0.010817901966220234,0.005962727755104424,0.035668082535266876,0.04805026948451996,checkpoint_step_0023_post_history
