seed,step,Delta,strain,history_source,alpha0p8_through_crack,first_through_step_running,legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_element_count,internal_cut_below_element_count,whole_boundary_residual_magnitude_N,elastic_energy_kNmm,fracture_energy_kNmm,alpha_max,alpha_mean
13,15,5.7e-05,0.0057,checkpoint_step_0014_post_history,True,14.0,0.7718744116551054,-1.139103846991885,0.6114664726549944,0.6948945237341749,146,151,2.5485576966693344,3.9179056443572335e-08,2.3715365671250765e-08,1.0014610290527344,0.1115926131606102
13,16,5.9e-05,0.0059,checkpoint_step_0015_post_history,True,14.0,0.7737282783082333,-1.1221333687541215,0.5689027307900226,0.7145799820482707,146,150,2.7476531180315535,3.9010856767163204e-08,2.4058349978872684e-08,1.0016649961471558,0.11210477352142334
13,17,6.1e-05,0.0060999999999999995,checkpoint_step_0016_post_history,True,14.0,0.7732998434815043,-1.124757228677232,0.612048086904404,0.6991816371070849,146,149,2.9064123552429755,3.8931091239646776e-08,2.423008460539222e-08,1.0017396211624146,0.11234476417303085
13,18,6.3e-05,0.0063,checkpoint_step_0017_post_history,True,14.0,0.7755159958052136,-1.1067200738955718,0.5943588344086879,0.6587289024296885,146,149,3.238293182407659,3.8842330241095624e-08,2.439402635445731e-08,1.0019978284835815,0.1124863401055336
13,19,6.5e-05,0.0065,checkpoint_step_0018_post_history,True,14.0,0.7351442488088394,-1.1161384338128986,0.547231551189641,0.6434134331689648,146,148,3.6324603308462646,3.879020837871394e-08,2.4497181172478122e-08,1.001936435699463,0.11261778324842453
13,20,6.7e-05,0.0067,checkpoint_step_0019_post_history,True,14.0,0.7498049653893462,-1.0964455891664682,0.5067849775370662,0.6001057691750435,145,148,3.81426142870312,3.8758479092848575e-08,2.4566489287281e-08,1.001953125,0.11274641752243042
13,21,6.9e-05,0.0069,checkpoint_step_0020_post_history,True,14.0,0.7628717899383225,-1.0998390805264535,0.5246849571040423,0.6330942420563083,145,148,3.982259562754612,3.872839471341649e-08,2.4647599516924856e-08,1.00198495388031,0.11281504482030869
13,22,7.1e-05,0.0071,checkpoint_step_0021_post_history,True,14.0,0.7620909403578867,-1.070935108926646,0.517863007931011,0.6039996225821714,145,148,4.167575261131291,3.8713750427632476e-08,2.4678046273152177e-08,1.0019999742507935,0.11282646656036377
13,23,7.3e-05,0.0073,checkpoint_step_0022_post_history,True,14.0,0.7608456254672288,-1.0710869937415144,0.5047088317285239,0.5925165748803864,145,148,4.392318830033401,3.870069775757656e-08,2.4710367085845064e-08,1.0020514726638794,0.11280545592308044
13,24,7.5e-05,0.007499999999999999,checkpoint_step_0023_post_history,True,14.0,0.7994274244716129,-1.088133042960877,0.4337621891497443,0.5426834475764559,145,148,4.643286385079825,3.866983533384882e-08,2.4772562667862985e-08,1.002076268196106,0.11296334862709045
13,25,7.7e-05,0.0077,checkpoint_step_0024_post_history,True,14.0,0.8470217135211844,-1.0567869692230558,0.4759250758877464,0.5218517047829057,145,148,4.8311554468790945,3.8668552804210776e-08,2.4790100638938384e-08,1.0020018815994263,0.11298803240060806
13,26,8e-05,0.008,checkpoint_step_0025_post_history,True,14.0,0.8536242761557299,-1.0977836070503413,0.4766035932016343,0.5142557174362217,146,148,5.223993773780419,3.8660562751147154e-08,2.4812971233245662e-08,1.0018961429595947,0.11300219595432281
13,27,8.3e-05,0.0083,checkpoint_step_0026_post_history,True,14.0,0.8789804599636047,-1.0989397429561236,0.49268540754213946,0.5566380941053481,145,148,5.388618066848373,3.866750120096185e-08,2.4818849198027237e-08,1.0017844438552856,0.11303681880235672
13,28,8.6e-05,0.0086,checkpoint_step_0027_post_history,True,14.0,0.9197303845958731,-1.0895868904179495,0.44454742470017256,0.5186438884566266,145,148,5.721106178718906,3.866570708055406e-08,2.4848958446455072e-08,1.0018125772476196,0.11308839917182922
13,29,8.9e-05,0.0089,checkpoint_step_0028_post_history,True,14.0,0.8955894756888404,-1.088566958967517,0.44791011274937914,0.46312940971071853,146,148,6.11494373259412,3.867531717105521e-08,2.4851546598370078e-08,1.0017476081848145,0.11305532604455948
13,30,9.2e-05,0.0092,checkpoint_step_0029_post_history,True,14.0,0.9020757848117064,-1.0618223853136792,0.5016178056969013,0.3939620284778188,145,148,6.36483092306123,3.868710507504147e-08,2.4851676272419354e-08,1.0015400648117065,0.1129818856716156
13,31,9.5e-05,0.0095,checkpoint_step_0030_post_history,True,14.0,0.9244341924112514,-1.0537032207199872,0.5218950912201493,0.3115604537902803,145,148,6.569160422006279,3.8693080739449215e-08,2.4868608505812517e-08,1.0014920234680176,0.11297988891601562
13,32,9.8e-05,0.0098,checkpoint_step_0031_post_history,True,14.0,0.9226226256209128,-1.0407220963379509,0.5906787823876939,0.5447054675768224,146,148,6.754471486829359,3.870867715249915e-08,2.4877175874848945e-08,1.0013971328735352,0.11288949102163315
13,33,0.0001,0.01,checkpoint_step_0032_post_history,True,14.0,0.9588290965451763,-1.0400941465225855,0.3844944287335414,0.5839457548785683,145,148,6.998064592771989,3.871910791986011e-08,2.4870688619671455e-08,1.0013507604599,0.11286405473947525
42,0,1e-06,9.999999999999999e-05,zero_initial_history,False,,0.037233145379384866,-0.053053940393964195,0.04422149407815532,0.04820653543017742,145,155,0.03057026455488223,3.6017584748027076e-11,9.739915393446952e-16,7.890136475907639e-05,-2.6907911887974478e-05
42,1,5e-06,0.0005,checkpoint_step_0000_post_history,False,,0.1941498174006997,-0.2674740862677367,0.22972313009400389,0.25011283874451806,145,155,0.13445092834308364,1.0458451882300324e-09,2.752532576866251e-12,0.010266631841659546,0.0013880373444408178
42,2,1e-05,0.001,checkpoint_step_0001_post_history,False,,0.3753550101230382,-0.5231638425384131,0.44719491156727575,0.48965388620489686,145,155,0.29835716024825726,4.19969969911449e-09,4.421640484308931e-11,0.041989605873823166,0.005865725222975016
42,3,1.5e-05,0.0015,checkpoint_step_0002_post_history,False,,0.5313720197425076,-0.7532968960245012,0.6357196429007096,0.7002699032866252,145,155,0.45991790729808235,9.24630505494406e-09,2.3138028992786275e-10,0.1296914666891098,0.013371050357818604
42,4,2e-05,0.002,checkpoint_step_0003_post_history,False,,0.639697943837563,-0.9427269590073595,0.7816494968647951,0.866623989488531,145,155,0.5503489799947837,1.5778603312810446e-08,7.794437317798497e-10,0.35704711079597473,0.023922039195895195
42,5,2.5e-05,0.0025,checkpoint_step_0004_post_history,False,,0.6910149878027371,-1.058199312066119,0.8707868890891682,0.9768009565607073,145,152,0.5544616148909287,2.2624428552830977e-08,2.411297828075476e-09,0.8748921751976013,0.03873808681964874
42,6,3e-05,0.003,checkpoint_step_0005_post_history,False,,0.7109326318060334,-1.1199940975707103,0.8909720890403606,1.0363172289477784,146,158,0.46570367847269545,2.9112465327330028e-08,5.0306105947584e-09,0.9731448292732239,0.05426023527979851
42,7,3.5e-05,0.0034999999999999996,checkpoint_step_0006_post_history,False,,0.698468776169178,-1.138755653210268,0.898520303014517,1.0477849518353686,148,153,0.4666629633236033,3.4569911377957396e-08,8.545620211464211e-09,0.9958713054656982,0.06978283077478409
42,8,4e-05,0.004,checkpoint_step_0007_post_history,False,,0.6794006960103917,-1.1418011765141378,0.8164468770031029,0.9959565455460752,147,150,0.7708372725439122,3.8462236062741795e-08,1.2693760709225899e-08,1.000246524810791,0.08497236669063568
42,9,4.5e-05,0.0045000000000000005,checkpoint_step_0008_post_history,False,,0.7301718322810048,-1.1421033300948453,0.679107145721724,0.9126976247465926,149,150,1.1702191599570562,4.010088971995174e-08,1.7346598824019566e-08,1.0005735158920288,0.09862669557332993
42,10,4.7e-05,0.004699999999999999,checkpoint_step_0009_post_history,False,,0.7377942371382967,-1.1401678290044364,0.6648628646490983,0.874740648790676,149,150,1.4346708882767083,4.0330320416614995e-08,1.8909240395714733e-08,1.0005698204040527,0.10277274996042252
42,11,4.9e-05,0.0049,checkpoint_step_0010_post_history,False,,0.7338117166790525,-1.1426583438870723,0.6066383737034234,0.8368007983067428,149,150,1.6326199953569995,4.032946776533208e-08,2.0347521001440327e-08,1.0006382465362549,0.10616780817508698
42,12,5.1e-05,0.0050999999999999995,checkpoint_step_0011_post_history,False,,0.7273924979182372,-1.141060306582386,0.5990844716984788,0.8010084220064355,149,150,1.8354360176727704,4.011963383732109e-08,2.164414603100795e-08,1.000653624534607,0.10866975039243698
42,13,5.3e-05,0.0053,checkpoint_step_0012_post_history,False,,0.7479139236774265,-1.1455947137909144,0.5621383063765844,0.7851081785789963,149,149,2.117514267475035,3.9760791992193845e-08,2.272485666310331e-08,1.0007215738296509,0.11031947284936905
42,14,5.5e-05,0.0055,checkpoint_step_0013_post_history,True,14.0,0.7530319941204937,-1.1393158553836773,0.5617701335756473,0.7534376921527014,149,149,2.2395391233159665,3.9423792230763866e-08,2.3480973609935063e-08,1.0007190704345703,0.11133795976638794
42,15,5.7e-05,0.0057,checkpoint_step_0014_post_history,True,14.0,0.7465240173086805,-1.1281095645196453,0.5302040590812381,0.7550653706104538,148,150,2.4161548904206183,3.9193452039398835e-08,2.394646436698622e-08,1.0007696151733398,0.11177795380353928
42,16,5.9e-05,0.0059,checkpoint_step_0015_post_history,True,14.0,0.7416398902832312,-1.1339496592831027,0.5181874740250036,0.7262775226242117,149,149,2.635916965548023,3.907295820226864e-08,2.4180165425491396e-08,1.0007976293563843,0.11209069937467575
42,17,6.1e-05,0.0060999999999999995,checkpoint_step_0016_post_history,True,14.0,0.7641108271196903,-1.127531316348456,0.5309445776174255,0.677986622924314,149,149,2.7883471080257594,3.896414213500066e-08,2.437580803871242e-08,1.0008734464645386,0.11230964958667755
42,18,6.3e-05,0.0063,checkpoint_step_0017_post_history,True,14.0,0.7853152919946076,-1.1255567010801342,0.4181942938163913,0.6570663023362933,149,149,2.9276143094959637,3.889798705358771e-08,2.4499149375856177e-08,1.0009541511535645,0.11240128427743912
42,19,6.5e-05,0.0065,checkpoint_step_0018_post_history,True,14.0,0.7671061494698741,-1.1354015915399436,0.48152469119075453,0.6947667808019427,149,149,3.08486353827937,3.884651889052293e-08,2.4595212977374104e-08,1.0009528398513794,0.11252907663583755
42,20,6.7e-05,0.0067,checkpoint_step_0019_post_history,True,14.0,0.7590693588268155,-1.1201169097014614,0.4768780643503313,0.686561868503355,149,149,3.2253741992681757,3.881616450485126e-08,2.4652939245584093e-08,1.0009784698486328,0.11248917877674103
42,21,6.9e-05,0.0069,checkpoint_step_0020_post_history,True,14.0,0.7605187055292238,-1.1295656848267224,0.4911816322997996,0.6469277320675723,149,149,3.34039347299311,3.878929177858481e-08,2.4710638868441492e-08,1.0009509325027466,0.11250491440296173
42,22,7.1e-05,0.0071,checkpoint_step_0021_post_history,True,14.0,0.846388458824226,-1.1158243069503015,0.4516504602005583,0.6699240325162688,148,149,3.336854332076261,3.877694609855098e-08,2.4726070080305362e-08,1.0010625123977661,0.11264020949602127
42,23,7.3e-05,0.0073,checkpoint_step_0022_post_history,True,14.0,0.8276058226119603,-1.092216859423307,0.37003753243447673,0.6649253168153023,148,149,3.5434089465755223,3.877878995695028e-08,2.4743032511764795e-08,1.001029133796692,0.11259236931800842
42,24,7.5e-05,0.007499999999999999,checkpoint_step_0023_post_history,True,14.0,0.8639850947335509,-1.1211576185986438,0.4278527745390005,0.6854589957009121,148,149,3.6548831130846744,3.876479581776948e-08,2.4775346219030325e-08,1.001160979270935,0.11260644346475601
42,25,7.7e-05,0.0077,checkpoint_step_0024_post_history,True,14.0,0.8564791127942127,-1.1164765619095824,0.44953929257838765,0.6691443572869862,148,149,3.7907131535421326,3.875594956070927e-08,2.4812283783148814e-08,1.0011998414993286,0.11260319501161575
42,26,8e-05,0.008,checkpoint_step_0025_post_history,True,14.0,0.8340860840073184,-1.1146245773829795,0.46766391303379595,0.6454677330389499,148,149,4.0324131981049005,3.875079102044765e-08,2.4842252699386336e-08,1.001141905784607,0.1125849038362503
42,27,8.3e-05,0.0083,checkpoint_step_0026_post_history,True,14.0,0.8545664643868468,-1.0855645510695036,0.47566388037144564,0.6787414047481939,148,149,4.287859658832184,3.87563297010729e-08,2.484475736252989e-08,1.001301646232605,0.1126374900341034
42,28,8.6e-05,0.0086,checkpoint_step_0027_post_history,True,14.0,0.8552690744047743,-1.062807490087037,0.38643146557788877,0.6386723118436739,148,149,4.598335339265262,3.8747490549440045e-08,2.4884636573574426e-08,1.0013483762741089,0.11277712136507034
42,29,8.9e-05,0.0089,checkpoint_step_0028_post_history,True,14.0,0.8505739037143487,-1.0623994340408711,0.4563283594839636,0.6312284286268816,148,149,4.678483003450224,3.8766145848967426e-08,2.487292150021858e-08,1.0013086795806885,0.11273816972970963
42,30,9.2e-05,0.0092,checkpoint_step_0029_post_history,True,14.0,0.8339850671774063,-1.0565945240712824,0.421807816795307,0.603969371245428,148,149,4.965476245644282,3.876590071172359e-08,2.4899053485682998e-08,1.0011858940124512,0.11272067576646805
42,31,9.5e-05,0.0095,checkpoint_step_0030_post_history,True,14.0,0.8968523637660407,-1.0874550069596358,0.444605092690234,0.5573349350634977,148,149,5.23705918324672,3.8776342137225583e-08,2.4899946993173216e-08,1.0012049674987793,0.11275783181190491
42,32,9.8e-05,0.0098,checkpoint_step_0031_post_history,True,14.0,0.9163707668152237,-1.0610653465962887,0.4788740722078545,0.5650662493264554,148,149,5.375795261348974,3.8787476341894944e-08,2.4912656826359125e-08,1.001219630241394,0.11279435455799103
42,33,0.0001,0.01,checkpoint_step_0032_post_history,True,14.0,0.866391686779654,-1.0249873177533961,0.4718426595532392,0.5979361612521849,148,149,5.46365044522885,3.878562893078197e-08,2.492611628213126e-08,1.0012656450271606,0.11284458637237549
