seed,mode,prethrough_ratio_median,prethrough_ratio_min,prethrough_ratio_max,reaction_peak_abs_N,reaction_final_abs_N,reaction_post_peak_drop_percent,legacy_post_peak_drop_percent
7,affine_vertical_mode,2.1473147552231975,0.3546046064552642,2.6387270037057746,1.8303684191778302,0.006906462658662349,99.62267363300747,0.7483431461381043
7,global_delta_mode,2.1620307028813768,0.37447160948703556,2.6439108949213646,1.8339642556384206,0.00784211079007946,99.57239565787778,0.7483431461381043
7,no_horizontal_delta_mode,2.152838795773381,0.3741758003354261,2.6429896834838362,1.8333252519369125,0.007640373951289803,99.58325049288348,0.7483431461381043
7,pure_top_vertical_mode,2.1473147552231975,0.3546046064552642,2.6387270037057746,1.8303684191778302,0.006906462658662349,99.62267363300747,0.7483431461381043
13,affine_vertical_mode,2.1849445037588895,0.28211385629219393,2.678595747980889,1.8610515398904681,0.012719232472591102,99.31655667777262,0.0
13,global_delta_mode,2.1848443033851463,0.28869027639594813,2.6595086531138343,1.8477900885045528,0.009264996151614469,99.49859044004762,0.0
13,no_horizontal_delta_mode,2.1858689067095343,0.2884187728992913,2.6636221428121725,1.850648084655404,0.009293557013734244,99.49782148800782,0.0
13,pure_top_vertical_mode,2.1849445037588895,0.28211385629219393,2.678595747980889,1.8610515398904681,0.012719232472591102,99.31655667777262,0.0
42,affine_vertical_mode,2.172755417269741,0.3895046553987383,2.5889987004214126,1.8274143803864717,0.009711287020763848,99.46857772790919,5.45402383461753
42,global_delta_mode,2.1745282540287736,0.3898955788345941,2.586702116852088,1.8282063538208604,0.008283553142973687,99.5469027265078,5.45402383461753
42,no_horizontal_delta_mode,2.174776635786378,0.3895637258522152,2.5906522338525244,1.8283143872395158,0.008236454050347675,99.54950559335785,5.45402383461753
42,pure_top_vertical_mode,2.172755417269741,0.3895046553987383,2.5889987004214126,1.8274143803864717,0.009711287020763848,99.46857772790919,5.45402383461753
