branch,seed,prethrough_ratio_to_legacy_median,postthrough_collapse_percent,reaction_peak_abs_N,reaction_final_abs_N,matches_training_mechanics_objective,is_conjugate_to_postprocessed_sigma
current_trial_energy,7,2.3411095276263487,70.42390396940411,1.9654149655252695,0.581293017603457,False,True
current_trial_energy,13,2.306112468469162,73.54644909862381,1.9678506068885326,0.5205663619562984,False,True
current_trial_energy,42,2.298025131992662,72.12196651130625,1.9648780580610037,0.5477693630382419,False,True
frozen_active_branch_energy,7,2.1620307028813768,99.57239565787778,1.8339642556384206,0.00784211079007946,False,False
frozen_active_branch_energy,13,2.1848443033851463,99.49859044004762,1.8477900885045528,0.009264996151614469,False,False
frozen_active_branch_energy,42,2.1745282540287736,99.5469027265078,1.8282063538208604,0.008283553142973687,False,False
post_step_committed_history_energy,7,1.0732969520672009,99.68698123595857,0.907769484911114,0.002841488822014071,False,False
post_step_committed_history_energy,13,1.1055820470044075,99.33082901528918,0.9392988868057728,0.006285515610215953,False,False
post_step_committed_history_energy,42,1.0929359417788262,99.5741313028524,0.9171765414066613,0.0039059677874320187,False,False
pre_step_history_energy,7,2.1620307028813768,99.57239565787778,1.8339642556384206,0.00784211079007946,True,False
pre_step_history_energy,13,2.1848443033851463,99.49859044004762,1.8477900885045528,0.009264996151614469,True,False
pre_step_history_energy,42,2.1745282540287736,99.5469027265078,1.8282063538208604,0.008283553142973687,True,False
