seed,step,Delta,mode,R_exact_dPi_dmode_N,R_virtual_energy_autograd_sigma_N,R_virtual_current_trial_energy_sigma_N,R_virtual_postprocessed_sigma_N,energy_virtual_abs_error_N,energy_virtual_rel_error,postprocessed_virtual_rel_error,legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_element_count,internal_cut_below_element_count,alpha0p8_through_crack
7,0,1e-06,global_delta_mode,0.07881747296778485,0.07881746569182724,0.07881746569182724,0.05421896275947802,7.275957614183426e-09,9.231401794824526e-08,0.3120946318383109,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,145,155,False
7,0,1e-06,pure_top_vertical_mode,0.07875344454078004,0.07875344454078004,0.07875344454078004,0.04537963104667142,0.0,0.0,0.4237759210243435,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,145,155,False
7,0,1e-06,no_horizontal_delta_mode,0.07875190203776583,0.07875189476180822,0.07875189476180822,0.045732154831057414,7.275957614183426e-09,9.239088105699603e-08,0.41928825021741883,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,145,155,False
7,0,1e-06,affine_vertical_mode,0.07875344454078004,0.07875344454078004,0.07875344454078004,0.04537963104667142,0.0,0.0,0.4237759210243435,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,145,155,False
7,1,5e-06,global_delta_mode,0.427455612225458,0.42745558312162757,0.42745558312162757,0.2691335103008896,2.9103830456733704e-08,6.808620503357229e-08,0.3703825552793601,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,145,155,False
7,1,5e-06,pure_top_vertical_mode,0.4252258222550154,0.42522576404735446,0.4252256767358631,0.23506078287027776,5.820766091346741e-08,1.368864680060734e-07,0.4472095282837558,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,145,155,False
7,1,5e-06,no_horizontal_delta_mode,0.4252447106409818,0.4252447106409818,0.4252447106409818,0.23892511671874672,0.0,0.0,0.4381467641099897,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,145,155,False
7,1,5e-06,affine_vertical_mode,0.4252258222550154,0.42522576404735446,0.4252256767358631,0.23506078287027776,5.820766091346741e-08,1.368864680060734e-07,0.4472095282837558,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,145,155,False
7,2,1e-05,global_delta_mode,0.8481868426315486,0.8481867262162268,0.8481867844238877,0.5298277828842402,1.1641532182693481e-07,1.3725197795541083e-07,0.3753407194570257,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,145,155,False
7,2,1e-05,pure_top_vertical_mode,0.8452866459265351,0.8452865877188742,0.8452860056422651,0.4568352596834302,5.820766091346741e-08,6.886144622533917e-08,0.4595498912884348,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,145,155,False
7,2,1e-05,no_horizontal_delta_mode,0.8453141199424863,0.8453140035271645,0.8453138871118426,0.46537129674106836,1.1641532182693481e-07,1.3771841624372194e-07,0.4494693915999754,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,145,155,False
7,2,1e-05,affine_vertical_mode,0.8452866459265351,0.8452865877188742,0.8452860056422651,0.4568352596834302,5.820766091346741e-08,6.886144622533917e-08,0.4595498912884348,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,145,155,False
7,3,1.5e-05,global_delta_mode,1.2412937358021736,1.2412938522174954,1.2412957148626447,0.7674339576624334,1.1641532182693481e-07,9.378547435567504e-08,0.3817466925614614,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,145,155,False
7,3,1.5e-05,pure_top_vertical_mode,1.2399257393553853,1.2399258557707071,1.2399607803672552,0.6510688690468669,1.1641532182693481e-07,9.38889468392333e-08,0.4749130142379771,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,145,155,False
7,3,1.5e-05,no_horizontal_delta_mode,1.2390001211315393,1.2390001211315393,1.2390038464218378,0.6639483035542071,0.0,0.0,0.4641257153810088,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,145,155,False
7,3,1.5e-05,affine_vertical_mode,1.2399257393553853,1.2399258557707071,1.2399607803672552,0.6510688690468669,1.1641532182693481e-07,9.38889468392333e-08,0.4749130142379771,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,145,155,False
7,4,2e-05,global_delta_mode,1.5864964807406068,1.586496364325285,1.5865268651396036,0.9621469653211534,1.1641532182693481e-07,7.337887177196254e-08,0.39353980484595535,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,145,155,False
7,4,2e-05,pure_top_vertical_mode,1.5885207103565335,1.5885204775258899,1.5887065092101693,0.8007523720152676,2.3283064365386963e-07,1.4657073221387982e-07,0.49591316827368037,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,145,155,False
7,4,2e-05,no_horizontal_delta_mode,1.5881373547017574,1.5881371218711138,1.5882396837696433,0.8116658427752554,2.3283064365386963e-07,1.4660611247796877e-07,0.4889196199734995,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,145,155,False
7,4,2e-05,affine_vertical_mode,1.5885207103565335,1.5885204775258899,1.5887065092101693,0.8007523720152676,2.3283064365386963e-07,1.4657073221387982e-07,0.49591316827368037,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,145,155,False
7,5,2.5e-05,global_delta_mode,1.7821155488491058,1.7821155488491058,1.8142890185117722,0.9398891124874353,0.0,0.0,0.4725992301147825,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,145,152,False
7,5,2.5e-05,pure_top_vertical_mode,1.7775609157979488,1.7775610322132707,1.8427614122629166,0.8755304734222591,1.1641532182693481e-07,6.549160751246371e-08,0.5074540255464424,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,145,152,False
