seed,step,element_count,sigma_yy_energy_minus_post_mean,sigma_yy_energy_minus_post_abs_mean,sigma_yy_energy_to_post_median,I_active_fraction,II_active_fraction
7,0,5411,0.0034043125657626646,0.0034045762412635966,1.511651576640496,1.0,1.0
7,2,5411,0.039603776279387784,0.039608988155596984,1.6306027781851704,0.997967104047311,0.9977822953243393
7,6,5411,0.11003675975698443,0.1260112771087673,1.7866498286475008,0.7030123821844391,0.717797080022177
7,13,5411,0.11926363592785202,0.23213652664749293,0.0,0.11920162631676215,0.14359637774902975
7,14,5411,0.1234367236494611,0.24049433620554098,0.0,0.08390316022916282,0.10404731103308076
7,15,5411,0.13445627024403364,0.25184030372302785,0.0,0.0685640362225097,0.08852337830345593
7,20,5411,0.21705673503045977,0.32463658944085017,0.0,0.051007207540195894,0.057475512844206246
7,33,5411,0.4779526109126721,0.5709500494794811,0.0,0.042321197560524854,0.049343929033450376
13,0,5411,0.0033819741792733855,0.003382261530832766,1.5096722505850801,1.0,1.0
13,2,5411,0.03983690749470376,0.03984352732965166,1.6298198179207453,0.996673442986509,0.9964886342635373
13,6,5411,0.11094790931145171,0.1257708189664038,1.783879548137533,0.7135464793938274,0.7226021068194419
13,13,5411,0.10769020671128546,0.22637228044995367,0.0,0.10182960635742007,0.12197375716133801
13,14,5411,0.11547140426230292,0.2364491633973045,0.0,0.08020698576972833,0.09499168360746628
13,15,5411,0.12944195060522143,0.24793406158789774,0.0,0.0632045832563297,0.08131583810755867
13,20,5411,0.2133986271276809,0.31944618436673594,0.0,0.058584365182036593,0.06412862687118832
13,33,5411,0.47258916456176064,0.5696652729905394,0.0,0.04250600628349658,0.04805026797264831
42,0,5411,0.00340240619492022,0.0034026697904459176,1.5099433233474822,1.0,1.0
42,2,5411,0.03966845823942723,0.039671408939293606,1.6298297340064,0.9985215302162262,0.997967104047311
42,6,5411,0.10919253235678189,0.12502103225982686,1.785176782741701,0.6821289964886342,0.707817408981704
42,13,5411,0.12497787188308786,0.2377486278547776,0.0,0.10238403252633524,0.12548512289780078
42,14,5411,0.1289073313448893,0.2458072095160468,0.0,0.07336906301977453,0.08741452596562557
42,15,5411,0.14289097492799901,0.2599082780150183,0.0,0.06394381814821659,0.08242469044538903
42,20,5411,0.2264129632715697,0.3350323790616323,0.0,0.04361485862132693,0.06080206985769728
42,33,5411,0.4903443158600032,0.5888763173940351,0.0,0.045278137128072445,0.055997043060432454
