case,seed,synthetic_field,stress_treatment,top_reaction_proxy_N,whole_boundary_residual_x_N,whole_boundary_residual_y_N,elastic_energy,crack_band_traction_proxy,nonzero_reaction_forced_by_boundary_constraints
D0040_seed7_default_unitbox,7,piecewise_rigid_upper_lower,current_split,2.04818569537572e-15,-33.39578836651777,4.999491203559167,8.075154664232333e-05,6.875778879186987e-05,False
D0040_seed7_default_unitbox,7,piecewise_rigid_upper_lower,crack_band_void,2.04818569537572e-15,0.0,2.8143479156774107e-15,8.075154664232333e-05,0.0,False
D0040_seed7_default_unitbox,7,zero_displacement_reference,current_split,16.136198909831602,-7.027444268756427,-0.4418282444782129,1.8955704490508651e-06,1.5906111912045162e-06,True
D0040_seed7_default_unitbox,7,zero_displacement_reference,crack_band_void,16.136198909831602,-6.578822331805372,-0.4418282506168403,1.8955704490508651e-06,0.0,True
D0040_seed7_default_unitbox,7,saved_uv_reference,current_split,0.8268415186103811,-14.490217227379786,-0.8304674627858643,5.693781713489443e-05,5.385192343965173e-05,True
D0040_seed7_default_unitbox,7,saved_uv_reference,crack_band_void,0.8268415186103811,-1.1116825699799353,-0.27702781384752984,5.693781713489443e-05,0.0,True
D0040_seed13_default_unitbox,13,piecewise_rigid_upper_lower,current_split,2.140391378635701e-15,-17.595667833022624,0.8989072118771064,7.843837699251282e-05,6.64694637141438e-05,False
D0040_seed13_default_unitbox,13,piecewise_rigid_upper_lower,crack_band_void,2.140391378635701e-15,0.0,4.03378054982805e-15,7.843837699251282e-05,0.0,False
D0040_seed13_default_unitbox,13,zero_displacement_reference,current_split,16.20392915716252,-6.926665914902412,-0.36869409662947206,1.8955704490508651e-06,1.5512141544604674e-06,True
D0040_seed13_default_unitbox,13,zero_displacement_reference,crack_band_void,16.20392915716252,-6.479122281656351,-0.3686940968447274,1.8955704490508651e-06,0.0,True
D0040_seed13_default_unitbox,13,saved_uv_reference,current_split,0.7632701343401773,-15.06754939049454,0.6291464588758742,5.4725016525480896e-05,5.32316516910214e-05,True
D0040_seed13_default_unitbox,13,saved_uv_reference,crack_band_void,0.7632701343401773,-0.7345829371620559,-0.09518112036475013,5.4725016525480896e-05,0.0,True
D0040_seed42_default_unitbox,42,piecewise_rigid_upper_lower,current_split,2.0939043840967846e-15,-14.255321979297998,-0.3017704684964037,7.964298827383395e-05,6.66272108683925e-05,False
D0040_seed42_default_unitbox,42,piecewise_rigid_upper_lower,crack_band_void,2.0939043840967846e-15,0.0,3.1939601876567647e-15,7.964298827383395e-05,0.0,False
D0040_seed42_default_unitbox,42,zero_displacement_reference,current_split,16.141950370981967,-6.902304517198397,-0.45131924040411064,1.8955704490508651e-06,1.5914185951260151e-06,True
D0040_seed42_default_unitbox,42,zero_displacement_reference,crack_band_void,16.141950370981967,-6.672943410884622,-0.45131924061927364,1.8955704490508651e-06,0.0,True
D0040_seed42_default_unitbox,42,saved_uv_reference,current_split,0.7977702892232456,-12.694141201730337,-0.4543826333090847,5.6549932196503505e-05,5.409728328231722e-05,True
D0040_seed42_default_unitbox,42,saved_uv_reference,crack_band_void,0.7977702892232456,-1.340476522023781,-0.2143914849025249,5.6549932196503505e-05,0.0,True
