case,seed,variant,cut_type,cut_location,effective_normal_force_N,effective_shear_force_N,undegraded_normal_force_N,undegraded_shear_force_N,top_boundary_reaction_N,cut_force_explains_top_reaction_ratio,cut_length_mm,element_count
D0040_seed7_default_unitbox,7,continuous_baseline,vertical,0.006,-12.725291269142591,0.138852002842519,7.11278112127019,3.0810901171483644,0.8268415186103811,0.16793061271993034,0.009999999776482582,100
D0040_seed7_default_unitbox,7,continuous_baseline,vertical,0.007,-11.009290441170045,-0.018296527405653663,6.374839125168391,-0.4977349833469955,0.8268415186103811,-0.022128215617913637,0.009999999776482584,99
D0040_seed7_default_unitbox,7,continuous_baseline,vertical,0.008,-13.113328754821747,-0.3740301966829119,5.859852120789399,-2.8060245055335127,0.8268415186103811,-0.45236020236564817,0.009999999776482586,100
D0040_seed7_default_unitbox,7,continuous_baseline,vertical,0.009,-10.948321148928606,0.0006559632580015436,6.161174768105148,-0.7859982527993977,0.8268415186103811,0.0007933361390753315,0.009999999776482582,97
D0040_seed7_default_unitbox,7,continuous_baseline,horizontal_below,0.00409735108776526,0.4620950320744029,0.1145111697345747,1.025098971945553,0.12218691483201916,0.8268415186103811,0.5588677172997022,0.009999999776482582,154
D0040_seed7_default_unitbox,7,continuous_baseline,horizontal_above,0.00609735108776526,0.4993741459643618,-0.07909287921359716,1.0144950225698774,-0.08665047481972057,0.8268415186103811,0.6039538832104459,0.009999999776482579,149
D0040_seed7_default_unitbox,7,continuous_baseline,crack_band_interface,,-6.822757184330852,-0.14165257485727445,,,0.8268415186103811,-8.251589973127398,0.015085758343047928,102
D0040_seed7_default_unitbox,7,split_domain_current_split,vertical,0.006,-12.595462424831034,0.1379069125297725,7.308016750000816,3.1059844648143464,0.8593359066984712,0.16048079855013214,0.009999999776482582,100
D0040_seed7_default_unitbox,7,split_domain_current_split,vertical,0.007,-11.071982551899096,-0.08880518966209916,6.328467712292714,-0.5692562319225917,0.8593359066984712,-0.10334164902207403,0.009999999776482584,99
D0040_seed7_default_unitbox,7,split_domain_current_split,vertical,0.008,-13.16279222614225,-0.3214273001454232,5.905146306414107,-2.7854503364429677,0.8593359066984712,-0.37404151000780594,0.009999999776482586,100
D0040_seed7_default_unitbox,7,split_domain_current_split,vertical,0.009,-10.810018629195177,0.049731867224566656,6.330763503015045,-0.7492146757426855,0.8593359066984712,0.057872441773827644,0.009999999776482582,97
D0040_seed7_default_unitbox,7,split_domain_current_split,horizontal_below,0.00409735108776526,0.45958556571881337,0.06193647028566734,0.9646775611778149,0.062337557882082284,0.8593359066984712,0.5348148054053972,0.009999999776482582,154
D0040_seed7_default_unitbox,7,split_domain_current_split,horizontal_above,0.00609735108776526,0.4307729280753933,-0.12215379982012403,0.9535729721597443,-0.14414892121151568,0.8593359066984712,0.5012858472659463,0.009999999776482579,149
D0040_seed7_default_unitbox,7,split_domain_current_split,crack_band_interface,,-6.842415166752626,-0.10633179787836197,,,0.8593359066984712,-7.962445317851164,0.015085758343047928,102
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,vertical,0.006,-0.25635557988705243,0.008976562886880812,7.090483809483172,3.162694237167536,0.8861588172181193,0.010129745043964642,0.009999999776482582,100
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,vertical,0.007,-0.43844224620108585,-0.07225301608693387,6.273621137174697,-0.5790112578050053,0.8861588172181193,-0.0815350642379824,0.009999999776482584,99
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,vertical,0.008,-0.430707566368384,0.08791904697685517,5.89319213841017,-2.7090800761444713,0.8861588172181193,0.09921364575805462,0.009999999776482586,100
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,vertical,0.009,-0.3598146003170946,0.06401139044044082,6.432440921766321,-0.7968940136468653,0.8861588172181193,0.07223467080245172,0.009999999776482582,97
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,horizontal_below,0.00409735108776526,0.46165324529638657,0.07906278119349898,0.9639307161648253,0.08425651837857671,0.8861588172181193,0.5209599411825918,0.009999999776482582,154
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,horizontal_above,0.00609735108776526,0.4326704913437101,-0.11683935887221505,0.9371734155761979,-0.1371808430742234,0.8861588172181193,0.4882538918948797,0.009999999776482579,149
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,crack_band_interface,,-6.242205539994024,-0.03983721214807245,,,0.8861588172181193,-7.044116041851183,0.015085758343047928,102
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,vertical,0.006,-0.306736354522064,0.04681828685298275,7.477265668325179,2.743811628733483,0.8748153152888245,0.05351790947729975,0.009999999776482582,100
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,vertical,0.007,-0.3507311711362693,-0.05111779456163935,6.46620229823308,-0.5714836909563475,0.8748153152888245,-0.05843266992275114,0.009999999776482584,99
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,vertical,0.008,-0.24423866534184074,0.01904581421861883,6.196664441089526,-2.7525074616156675,0.8748153152888245,0.02177124003862548,0.009999999776482586,100
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,vertical,0.009,-0.20806488081292676,0.07937827205184451,6.699732215094599,-0.6820973880017855,0.8748153152888245,0.09073717693846889,0.009999999776482582,97
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,horizontal_below,0.00409735108776526,0.35099435219644887,-0.041753974818377095,0.7399183399268012,-0.06533866544771884,0.8748153152888245,0.40122108753956415,0.009999999776482582,154
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,horizontal_above,0.00609735108776526,0.4006147762621144,-0.005898971678186203,0.8895064995055559,0.010979680721583434,0.8748153152888245,0.45794211562225506,0.009999999776482579,149
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,crack_band_interface,,-6.203966702853065,0.019182899339214313,,,0.8748153152888245,-7.0917445024436905,0.015085758343047928,102
D0040_seed13_default_unitbox,13,continuous_baseline,vertical,0.006,-10.718603029125653,-0.04988649817073214,6.77729097769296,0.4246122899356417,0.7632701343401773,-0.06535890234177369,0.009999999776482582,100
D0040_seed13_default_unitbox,13,continuous_baseline,vertical,0.007,-10.51976083244284,0.1402341538426251,6.714643468861258,0.9288301167121522,0.7632701343401773,0.18372807677566613,0.009999999776482584,99
D0040_seed13_default_unitbox,13,continuous_baseline,vertical,0.008,-11.208603550214944,0.23516442517844793,6.396566595773538,1.4903825808100872,0.7632701343401773,0.30810117492903094,0.009999999776482586,100
D0040_seed13_default_unitbox,13,continuous_baseline,vertical,0.009,-11.7611129872069,-0.1300786265212096,6.809462339273463,-2.238490663602196,0.7632701343401773,-0.17042279092140614,0.009999999776482582,97
D0040_seed13_default_unitbox,13,continuous_baseline,horizontal_below,0.0039086821058558095,0.5774500443811243,0.18431427506977402,1.0899771317798155,0.23002419253852596,0.7632701343401773,0.7565474114617513,0.009999999776482579,148
D0040_seed13_default_unitbox,13,continuous_baseline,horizontal_above,0.0059086821058558095,0.5167413721774892,-0.048315710583646775,1.083044218838051,-0.04813615563830094,0.7632701343401773,0.6770098146499544,0.009999999776482579,146
D0040_seed13_default_unitbox,13,continuous_baseline,crack_band_interface,,-7.5789897089880105,0.040882813029381036,,,0.7632701343401773,-9.929629587223147,0.016232117712206673,111
D0040_seed13_default_unitbox,13,split_domain_current_split,vertical,0.006,-10.700752342380442,-0.026926712190462918,6.784207482113101,0.45299834516411286,0.8053867024099587,-0.033433271383659695,0.009999999776482582,100
D0040_seed13_default_unitbox,13,split_domain_current_split,vertical,0.007,-10.561241690888343,0.15691104610632514,6.645360899665894,0.9856045809740145,0.8053867024099587,0.19482696403702743,0.009999999776482584,99
D0040_seed13_default_unitbox,13,split_domain_current_split,vertical,0.008,-11.001571127121228,0.23372807942394927,6.566957941904982,1.4880912741970158,0.8053867024099587,0.2902060323625467,0.009999999776482586,100
D0040_seed13_default_unitbox,13,split_domain_current_split,vertical,0.009,-11.89124685394644,-0.0969196431482748,6.718917160544792,-2.218953184820154,0.8053867024099587,-0.12033926417988047,0.009999999776482582,97
D0040_seed13_default_unitbox,13,split_domain_current_split,horizontal_below,0.0039086821058558095,0.47851569199028265,0.18932970826984283,0.9354905577505586,0.22720474718225628,0.8053867024099587,0.5941440187160033,0.009999999776482579,148
D0040_seed13_default_unitbox,13,split_domain_current_split,horizontal_above,0.0059086821058558095,0.5378761386854267,0.01080704741653908,1.154556017562485,0.03632510018820883,0.8053867024099587,0.6678482983092965,0.009999999776482579,146
D0040_seed13_default_unitbox,13,split_domain_current_split,crack_band_interface,,-7.5032224238307235,0.06130431139747201,,,0.8053867024099587,-9.316297874522673,0.016232117712206673,111
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,vertical,0.006,-0.18451321112377175,-0.0681812663024218,6.808573719314709,0.4155857302289066,0.8850918238455893,-0.07703298625693386,0.009999999776482582,100
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,vertical,0.007,-0.2939940855998094,0.10925245723176738,6.634437713004627,0.9510471018127,0.8850918238455893,0.12343629699016095,0.009999999776482584,99
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,vertical,0.008,-0.1883633671212625,0.10955600060542903,6.571898170675156,1.4570432342680724,0.8850918238455893,0.12377924826988558,0.009999999776482586,100
