case,seed,variant,stress_version,boundary,subdomain,integrated_sigma_xx_nx_plus_sigma_xy_ny_N,integrated_sigma_xy_nx_plus_sigma_yy_ny_N,normal_force_N,tangential_force_N,boundary_length_mm,edge_count
D0040_seed7_default_unitbox,7,split_domain_current_split,total,right,whole,4.664163441126831,-3.824086141496024,4.664163441126831,-3.824086141496024,0.009999999776482582,34
D0040_seed7_default_unitbox,7,split_domain_current_split,total,bottom,whole,-0.011531605237384977,-1.4003663320512676,1.4003663320512676,-0.011531605237384977,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_current_split,total,left,whole,-0.049494143914922566,0.017779865150633924,0.049494143914922566,0.017779865150633924,0.00989999994635582,34
D0040_seed7_default_unitbox,7,split_domain_current_split,total,top,whole,0.0034838338610521952,1.3467925640232532,1.3467925640232532,0.0034838338610521952,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_current_split,total,physical_boundary_sum,whole,4.606621525835576,-3.8598800443734045,,,,106
D0040_seed7_default_unitbox,7,split_domain_current_split,total,left,upper,-0.03232324670123982,0.021070140245488492,0.03232324670123982,0.021070140245488492,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_current_split,total,right,upper,4.480241037134757,-3.7657194489224093,4.480241037134757,-3.7657194489224093,0.004799999762326479,16
D0040_seed7_default_unitbox,7,split_domain_current_split,total,top,upper,0.0034838338610521952,1.3467925640232532,1.3467925640232532,0.0034838338610521952,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_current_split,total,physical_boundary_sum,upper,4.4514016242945695,-2.3978567446536676,,,,52
D0040_seed7_default_unitbox,7,split_domain_current_split,total,right,lower,0.1839224039920755,-0.05836669257361474,0.1839224039920755,-0.05836669257361474,0.005200000014156103,18
D0040_seed7_default_unitbox,7,split_domain_current_split,total,bottom,lower,-0.011531605237384977,-1.4003663320512676,1.4003663320512676,-0.011531605237384977,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_current_split,total,left,lower,-0.017170897213682743,-0.00329027509485457,0.017170897213682743,-0.00329027509485457,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_current_split,total,physical_boundary_sum,lower,0.1552199015410078,-1.4620232997197369,,,,54
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,right,whole,-0.9260291485395118,-0.1701324501686602,-0.9260291485395118,-0.1701324501686602,0.009999999776482582,34
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,bottom,whole,0.006917696417718885,-0.9972548934054497,0.9972548934054497,0.006917696417718885,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,left,whole,-0.058765341307175055,0.0033563928381735142,0.058765341307175055,0.0033563928381735142,0.00989999994635582,34
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,top,whole,0.04694656231936818,0.8861588172181193,0.8861588172181193,0.04694656231936818,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,physical_boundary_sum,whole,-0.9309302311095997,-0.27787213351781703,,,,106
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,left,upper,-0.03557792120610645,0.013218057350572176,0.03557792120610645,0.013218057350572176,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,right,upper,-0.5653799385485856,-0.17174376146349418,-0.5653799385485856,-0.17174376146349418,0.004799999762326479,16
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,top,upper,0.04694656231936818,0.8861588172181193,0.8861588172181193,0.04694656231936818,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,physical_boundary_sum,upper,-0.5540112974353238,0.7276331131051973,,,,52
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,right,lower,-0.3606492099909263,0.0016113112948340363,-0.3606492099909263,0.0016113112948340363,0.005200000014156103,18
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,bottom,lower,0.006917696417718885,-0.9972548934054497,0.9972548934054497,0.006917696417718885,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,left,lower,-0.02318742010106861,-0.00986166451239866,0.02318742010106861,-0.00986166451239866,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,variant,physical_boundary_sum,lower,-0.37691893367427604,-1.0055052466230143,,,,54
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,right,whole,4.9791931654879065,-3.8879379663084794,4.9791931654879065,-3.8879379663084794,0.009999999776482582,34
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,bottom,whole,0.008699029904681577,-1.3801696136492356,1.3801696136492356,0.008699029904681577,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,left,whole,-0.058683777081583344,0.003358052460121855,0.058683777081583344,0.003358052460121855,0.00989999994635582,34
