seed,step,Delta,Delta_mm,nominal_strain,strain,reference_length_mm,reference_area_mm2,stress_strain_primary_metric,stress_strain_metric_status,nominal_stress_energy_exact_MPa,nominal_stress_energy_virtual_work_MPa,nominal_stress_legacy_top_sigma_MPa,nominal_stress_bottom_sigma_legacy_MPa,reaction_N_energy_exact,reaction_N_energy_virtual_work,reaction_N_legacy_top_sigma,reaction_N_bottom_sigma_legacy,reaction_N_internal_cut_above,reaction_N_internal_cut_below,alpha0p8_through_crack,legacy_curve_status,d0040_processed
42,15,5.7e-05,5.7e-05,0.0057,0.0057,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,7.9587880463805,7.958788773976259,74.65240173086805,-112.81095645196453,0.079587880463805,0.0795878877397626,0.7465240173086805,-1.1281095645196453,0.5302040590812381,0.7550653706104538,True,legacy_diagnostic_only,False
42,16,5.9e-05,5.9e-05,0.0059,0.0059,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,4.34826688433531,4.34826615673955,74.16398902832312,-113.39496592831028,0.0434826688433531,0.0434826615673955,0.7416398902832312,-1.1339496592831029,0.5181874740250036,0.7262775226242117,True,legacy_diagnostic_only,False
42,17,6.1e-05,6.1e-05,0.0060999999999999995,0.0060999999999999995,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,2.40038316405843,2.40038734773406,76.41108271196903,-112.75313163484559,0.0240038316405843,0.0240038734773406,0.7641108271196903,-1.127531316348456,0.5309445776174255,0.677986622924314,True,legacy_diagnostic_only,False
42,18,6.3e-05,6.3e-05,0.0063,0.0063,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.9211214748793197,1.9211211110814401,78.53152919946076,-112.55567010801342,0.0192112147487932,0.0192112111108144,0.7853152919946076,-1.1255567010801342,0.4181942938163913,0.6570663023362933,True,legacy_diagnostic_only,False
42,19,6.5e-05,6.5e-05,0.0065,0.0065,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,2.29664037760812,2.29664219659753,76.7106149469874,-113.54015915399435,0.0229664037760812,0.0229664219659753,0.7671061494698741,-1.1354015915399436,0.4815246911907545,0.6947667808019427,True,legacy_diagnostic_only,False
42,20,6.7e-05,6.7e-05,0.0067,0.0067,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.67453836183995,1.6745372704463,75.90693588268155,-112.01169097014613,0.0167453836183995,0.016745372704463,0.7590693588268155,-1.1201169097014614,0.4768780643503313,0.686561868503355,True,legacy_diagnostic_only,False
42,21,6.9e-05,6.9e-05,0.0069,0.0069,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.9191560820909199,0.9191556273435699,76.05187055292238,-112.95656848267224,0.0091915608209092,0.0091915562734357,0.7605187055292238,-1.1295656848267224,0.4911816322997996,0.6469277320675723,True,legacy_diagnostic_only,False
42,22,7.1e-05,7.1e-05,0.0071,0.0071,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.11537492557545,1.11537592601962,84.6388458824226,-111.58243069503015,0.0111537492557545,0.0111537592601962,0.846388458824226,-1.1158243069503015,0.4516504602005583,0.6699240325162688,True,legacy_diagnostic_only,False
42,23,7.3e-05,7.3e-05,0.0073,0.0073,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.45680178320617,1.45680314744822,82.76058226119602,-109.22168594233071,0.0145680178320617,0.0145680314744822,0.8276058226119603,-1.092216859423307,0.3700375324344767,0.6649253168153023,True,legacy_diagnostic_only,False
42,24,7.5e-05,7.5e-05,0.007499999999999999,0.007499999999999999,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.62862950471753,0.6286279131018,86.39850947335509,-112.11576185986438,0.0062862950471753,0.006286279131018,0.8639850947335509,-1.1211576185986438,0.4278527745390005,0.6854589957009121,True,legacy_diagnostic_only,False
42,25,7.7e-05,7.7e-05,0.0077,0.0077,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.86552463471889,0.86552599896094,85.64791127942127,-111.64765619095824,0.0086552463471889,0.0086552599896094,0.8564791127942127,-1.1164765619095824,0.4495392925783876,0.6691443572869862,True,legacy_diagnostic_only,False
42,26,8e-05,8e-05,0.008,0.008,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.56470280469511,0.56470394156349,83.40860840073184,-111.46245773829797,0.0056470280469511,0.0056470394156349,0.8340860840073184,-1.1146245773829797,0.4676639130337959,0.6454677330389499,True,legacy_diagnostic_only,False
42,27,8.3e-05,8.3e-05,0.0083,0.0083,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.47866096792859,0.47865992200968,85.45664643868467,-108.55645510695035,0.0047866096792859,0.0047865992200968,0.8545664643868468,-1.0855645510695036,0.4756638803714456,0.6787414047481939,True,legacy_diagnostic_only,False
42,28,8.6e-05,8.6e-05,0.0086,0.0086,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.57232723520428,0.5723264166590499,85.52690744047743,-106.2807490087037,0.0057232723520428,0.0057232641665905,0.8552690744047743,-1.062807490087037,0.3864314655778887,0.6386723118436739,True,legacy_diagnostic_only,False
42,29,8.9e-05,8.9e-05,0.0089,0.0089,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,1.03884522104635,1.0388438568043,85.05739037143486,-106.23994340408711,0.0103884522104635,0.010388438568043,0.8505739037143487,-1.0623994340408711,0.4563283594839636,0.6312284286268816,True,legacy_diagnostic_only,False
42,30,9.2e-05,9.2e-05,0.0092,0.0092,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.58864625316346,0.58864634411293,83.39850671774063,-105.65945240712824,0.0058864625316346,0.0058864634411293,0.8339850671774063,-1.0565945240712824,0.421807816795307,0.603969371245428,True,legacy_diagnostic_only,False
42,31,9.5e-05,9.5e-05,0.0095,0.0095,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.6363127795339,0.63631359807914,89.68523637660407,-108.74550069596359,0.006363127795339,0.0063631359807914,0.8968523637660407,-1.0874550069596358,0.444605092690234,0.5573349350634977,True,legacy_diagnostic_only,False
42,32,9.8e-05,9.8e-05,0.0098,0.0098,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.50426497182343,0.5042642897024,91.63707668152236,-106.10653465962886,0.0050426497182343,0.005042642897024,0.9163707668152236,-1.0610653465962887,0.4788740722078545,0.5650662493264554,True,legacy_diagnostic_only,False
42,33,0.0001,0.0001,0.01,0.01,0.01,0.01,nominal_stress_energy_exact_MPa,energy_conjugate_primary,0.8283553142973601,0.82835522334789,86.63916867796539,-102.49873177533959,0.0082835531429736,0.0082835522334789,0.866391686779654,-1.024987317753396,0.4718426595532392,0.5979361612521849,True,legacy_diagnostic_only,False
