case_id,loss_kind,epoch,curriculum_w,loss,disp_mse,strain_mse,energy_log10,elastic_energy
free_random_init_energy,energy,1,1.0,-10.149564743041992,1.2543389402708272e-06,0.06591201573610306,-10.15042781829834,7.072492591575497e-11
free_random_init_energy,energy,100,1.0,-10.20124340057373,1.2543209777504671e-06,0.065911665558815,-10.201276779174805,6.291053789020395e-11
free_random_init_energy,energy,200,1.0,-10.2099609375,1.2543273442133795e-06,0.06591188907623291,-10.210143089294434,6.163911048240323e-11
free_random_init_energy,energy,300,1.0,-10.220568656921387,1.254336552847235e-06,0.06591197103261948,-10.221470832824707,6.005224095773087e-11
free_disp_global_prefit_then_energy,disp_global,1,1.0,1.2543223419925198e-06,1.2542259355541319e-06,0.06591065227985382,-10.144615173339844,7.167785115447245e-11
free_disp_global_prefit_then_energy,disp_global,100,1.0,2.853930993751419e-07,2.8402271823324554e-07,0.03490714728832245,-3.4037418365478516,0.00039469191688112915
free_disp_global_prefit_then_energy,disp_global,200,1.0,9.077334994778141e-10,8.840245757646414e-10,0.01108753215521574,-3.36453914642334,0.00043197727063670754
free_disp_global_prefit_then_energy,disp_global,300,1.0,2.7142210701214253e-10,2.718603675511133e-10,0.0060018873773515224,-3.379129409790039,0.00041770603274926543
free_disp_global_prefit_then_energy,disp_global,400,1.0,1.4817549964796228e-10,1.4870160658375653e-10,0.003348365193232894,-3.3858909606933594,0.00041125304414890707
free_disp_global_prefit_then_energy,disp_global,500,1.0,8.741653928501236e-11,8.853072441805665e-11,0.003073150757700205,-3.390909433364868,0.0004065280663780868
free_disp_global_prefit_then_energy,disp_global,600,1.0,7.456588124732377e-11,7.462252343826137e-11,0.002859535627067089,-3.3921148777008057,0.00040540139889344573
free_disp_global_prefit_then_energy,disp_global,700,1.0,7.184035311080805e-11,7.145615349424261e-11,0.0028094181325286627,-3.3913798332214355,0.00040608819108456373
free_disp_global_prefit_then_energy,disp_global,800,1.0,6.410981467919186e-11,6.39994376938624e-11,0.002681940793991089,-3.39241886138916,0.00040511786937713623
free_disp_global_prefit_then_energy,disp_global,900,1.0,5.893963789249668e-11,5.846093747985392e-11,0.00256870174780488,-3.3929972648620605,0.00040457857539877295
