run_group,comparison,metric,max_abs_diff,final_step_diff
3step,prescribed_linear_y_minus_no_thermal,bottom_right_mechanics_drive_max,8.481292752549052e-07,-8.481292752549052e-07
8step,solved_minus_prescribed_linear_y,loss_total,2.4158453015843406e-13,-2.4158453015843406e-13
8step,solved_minus_prescribed_linear_y,elastic_energy,2.2737367544323206e-13,-2.2737367544323206e-13
8step,solved_minus_prescribed_linear_y,fracture_energy,1.4210854715202004e-14,-1.4210854715202004e-14
8step,solved_minus_prescribed_linear_y,alpha_max,0.0,0.0
8step,solved_minus_prescribed_linear_y,alpha_mean,0.0,0.0
8step,solved_minus_prescribed_linear_y,alpha_step_change_max,0.0,0.0
8step,solved_minus_prescribed_linear_y,HI_max,2.7997884899377823e-08,2.7997884899377823e-08
8step,solved_minus_prescribed_linear_y,HII_max,1.7578713595867157e-08,1.7578713595867157e-08
8step,solved_minus_prescribed_linear_y,He_max,4.563480615615845e-08,4.563480615615845e-08
8step,solved_minus_prescribed_linear_y,He_mean,1.7113052308559418e-08,-1.7113052308559418e-08
8step,solved_minus_prescribed_linear_y,mechanics_drive_max,4.563480615615845e-08,4.563480615615845e-08
8step,solved_minus_prescribed_linear_y,mechanics_drive_mean,1.7113052308559418e-08,-1.7113052308559418e-08
8step,solved_minus_prescribed_linear_y,notch_tip_delta_T_mean,2.86102294921875e-06,2.86102294921875e-06
8step,solved_minus_prescribed_linear_y,notch_tip_delta_T_max,2.288818359375e-05,2.288818359375e-05
8step,solved_minus_prescribed_linear_y,notch_tip_He_current_max,5.168840289115906e-08,-5.168840289115906e-08
8step,solved_minus_prescribed_linear_y,notch_tip_mechanics_drive_max,5.168840289115906e-08,-5.168840289115906e-08
8step,solved_minus_prescribed_linear_y,bottom_right_delta_T_mean,1.665949821472168e-05,1.665949821472168e-05
8step,solved_minus_prescribed_linear_y,bottom_right_delta_T_max,0.0,0.0
8step,solved_minus_prescribed_linear_y,bottom_right_He_current_max,1.46450474858284e-07,1.46450474858284e-07
8step,solved_minus_prescribed_linear_y,bottom_right_mechanics_drive_max,1.46450474858284e-07,1.46450474858284e-07
8step,solved_minus_no_thermal,loss_total,2.460588177655154e-09,-2.460588177655154e-09
8step,solved_minus_no_thermal,elastic_energy,2.459024983636482e-09,-2.459024983636482e-09
8step,solved_minus_no_thermal,fracture_energy,1.5631940186722204e-12,-1.5631940186722204e-12
8step,solved_minus_no_thermal,alpha_max,1.3709068298339844e-06,-1.3709068298339844e-06
8step,solved_minus_no_thermal,alpha_mean,1.7285346984863281e-06,-1.7285346984863281e-06
8step,solved_minus_no_thermal,alpha_step_change_max,6.854534149169922e-07,6.854534149169922e-07
8step,solved_minus_no_thermal,HI_max,8.227869955135247e-06,-1.946929842233658e-06
8step,solved_minus_no_thermal,HII_max,5.259583701899828e-06,-1.229753252118826e-06
8step,solved_minus_no_thermal,He_max,1.3523854590857809e-05,-3.1846575438976288e-06
8step,solved_minus_no_thermal,He_mean,0.00010085105895996094,-0.00010085105895996094
8step,solved_minus_no_thermal,mechanics_drive_max,1.3523854590857809e-05,-3.1846575438976288e-06
8step,solved_minus_no_thermal,mechanics_drive_mean,0.00010085105895996094,-0.00010085105895996094
8step,solved_minus_no_thermal,notch_tip_delta_T_mean,9.999632835388184,9.999632835388184
8step,solved_minus_no_thermal,notch_tip_delta_T_max,10.5921630859375,10.5921630859375
8step,solved_minus_no_thermal,notch_tip_He_current_max,0.00011371658183634281,-0.00011371658183634281
8step,solved_minus_no_thermal,notch_tip_mechanics_drive_max,0.00011371658183634281,-0.00011371658183634281
8step,solved_minus_no_thermal,bottom_right_delta_T_mean,0.4020843505859375,0.4020843505859375
8step,solved_minus_no_thermal,bottom_right_delta_T_max,0.5771484375,0.5771484375
8step,solved_minus_no_thermal,bottom_right_He_current_max,3.0195806175470352e-06,-3.0195806175470352e-06
8step,solved_minus_no_thermal,bottom_right_mechanics_drive_max,3.0195806175470352e-06,-3.0195806175470352e-06
8step,prescribed_linear_y_minus_no_thermal,loss_total,2.4603465931249957e-09,-2.4603465931249957e-09
8step,prescribed_linear_y_minus_no_thermal,elastic_energy,2.4587976099610387e-09,-2.4587976099610387e-09
8step,prescribed_linear_y_minus_no_thermal,fracture_energy,1.5489831639570184e-12,-1.5489831639570184e-12
8step,prescribed_linear_y_minus_no_thermal,alpha_max,1.3709068298339844e-06,-1.3709068298339844e-06
8step,prescribed_linear_y_minus_no_thermal,alpha_mean,1.7285346984863281e-06,-1.7285346984863281e-06
8step,prescribed_linear_y_minus_no_thermal,alpha_step_change_max,6.854534149169922e-07,6.854534149169922e-07
8step,prescribed_linear_y_minus_no_thermal,HI_max,8.227266960147972e-06,-1.9749277271330357e-06
8step,prescribed_linear_y_minus_no_thermal,HII_max,5.259202623619785e-06,-1.247331965714693e-06
8step,prescribed_linear_y_minus_no_thermal,He_max,1.3522868698601087e-05,-3.2302923500537872e-06
8step,prescribed_linear_y_minus_no_thermal,He_mean,0.00010083394590765238,-0.00010083394590765238
8step,prescribed_linear_y_minus_no_thermal,mechanics_drive_max,1.3522868698601087e-05,-3.2302923500537872e-06
8step,prescribed_linear_y_minus_no_thermal,mechanics_drive_mean,0.00010083394590765238,-0.00010083394590765238
8step,prescribed_linear_y_minus_no_thermal,notch_tip_delta_T_mean,9.999629974365234,9.999629974365234
8step,prescribed_linear_y_minus_no_thermal,notch_tip_delta_T_max,10.592140197753906,10.592140197753906
8step,prescribed_linear_y_minus_no_thermal,notch_tip_He_current_max,0.00011366489343345165,-0.00011366489343345165
8step,prescribed_linear_y_minus_no_thermal,notch_tip_mechanics_drive_max,0.00011366489343345165,-0.00011366489343345165
8step,prescribed_linear_y_minus_no_thermal,bottom_right_delta_T_mean,0.4020676910877228,0.4020676910877228
8step,prescribed_linear_y_minus_no_thermal,bottom_right_delta_T_max,0.5771484375,0.5771484375
8step,prescribed_linear_y_minus_no_thermal,bottom_right_He_current_max,3.1660310924053192e-06,-3.1660310924053192e-06
8step,prescribed_linear_y_minus_no_thermal,bottom_right_mechanics_drive_max,3.1660310924053192e-06,-3.1660310924053192e-06
