seed,step,Delta,reaction_N_energy_exact,R_exact_dPi_dmode_N,exact_reaction_reproduction_abs_error_N,reaction_N_energy_virtual_work,R_virtual_energy_autograd_sigma_N,virtual_reaction_reproduction_abs_error_N,reaction_N_legacy_top_sigma,legacy_top_sigma_integral_N,legacy_top_reproduction_abs_error_N,exact_reaction_reproduced
7,0,1e-06,0.07881747296778485,0.0788174729677848,5.551115123125783e-17,0.07881746569182724,0.0788174656918272,4.163336342344337e-17,0.03724021436782092,0.0372402143678209,2.0816681711721685e-17,True
7,1,5e-06,0.427455612225458,0.427455612225458,0.0,0.42745558312162757,0.4274555831216275,5.551115123125783e-17,0.19506778017232757,0.1950677801723275,5.551115123125783e-17,True
7,2,1e-05,0.8481868426315486,0.8481868426315486,0.0,0.8481867262162268,0.8481867262162268,0.0,0.3810433901310059,0.3810433901310059,0.0,True
7,3,1.5e-05,1.2412937358021736,1.2412937358021736,0.0,1.2412938522174954,1.2412938522174954,0.0,0.5324380757206686,0.5324380757206686,0.0,True
7,4,2e-05,1.5864964807406068,1.5864964807406068,0.0,1.586496364325285,1.586496364325285,0.0,0.6410805090381484,0.6410805090381484,0.0,True
7,5,2.5e-05,1.7821155488491058,1.7821155488491058,0.0,1.7821155488491058,1.7821155488491058,0.0,0.6861086093039972,0.6861086093039972,0.0,True
7,6,3e-05,1.8339642556384206,1.8339642556384208,2.220446049250313e-16,1.8339641392230988,1.8339641392230988,0.0,0.6936558486752507,0.6936558486752507,0.0,True
7,7,3.5e-05,1.731373369693756,1.731373369693756,0.0,1.731373369693756,1.731373369693756,0.0,0.6877228886408776,0.6877228886408776,0.0,True
7,8,4e-05,1.4293115818873048,1.4293115818873048,0.0,1.4293116983026266,1.4293116983026266,0.0,0.6701752462756956,0.6701752462756956,0.0,True
7,9,4.5e-05,1.007041078992188,1.007041078992188,0.0,1.007041078992188,1.007041078992188,0.0,0.6897184049308401,0.6897184049308401,0.0,True
7,10,4.7e-05,0.8521633571945131,0.8521633571945131,0.0,0.852163415402174,0.852163415402174,0.0,0.713109034451995,0.713109034451995,0.0,True
7,11,4.9e-05,0.6778757669962943,0.6778757669962943,0.0,0.6778757087886333,0.6778757087886333,0.0,0.7150352924186576,0.7150352924186576,0.0,True
7,12,5.1e-05,0.4787435755133629,0.4787435755133629,0.0,0.47874351730570197,0.4787435173057019,5.551115123125783e-17,0.7128576245015877,0.7128576245015877,0.0,True
7,13,5.3e-05,0.2679606550373137,0.2679606550373137,0.0,0.2679605386219919,0.2679605386219919,0.0,0.7155700145182586,0.7155700145182586,0.0,True
7,14,5.5e-05,0.15983432240318507,0.159834322403185,8.326672684688674e-17,0.15983422053977847,0.1598342205397784,8.326672684688674e-17,0.7072643097513112,0.7072643097513112,0.0,True
7,15,5.7e-05,0.11356447066646069,0.1135644706664606,9.71445146547012e-17,0.11356449249433354,0.1135644924943335,4.163336342344337e-17,0.7041526593297722,0.7041526593297722,0.0,True
7,16,5.9e-05,0.07449212716892362,0.0744921271689236,1.3877787807814457e-17,0.07449212716892362,0.0744921271689236,1.3877787807814457e-17,0.688694490752876,0.688694490752876,0.0,True
7,17,6.1e-05,0.03537354859872721,0.0353735485987272,1.3877787807814457e-17,0.035373544960748404,0.0353735449607484,6.938893903907228e-18,0.6926931438529224,0.6926931438529224,0.0,True
7,18,6.3e-05,0.03455582555034198,0.0345558255503419,7.632783294297951e-17,0.03455580736044794,0.0345558073604479,4.163336342344337e-17,0.6808268873507809,0.6808268873507809,0.0,True
7,19,6.5e-05,0.037712903576903045,0.037712903576903,4.85722573273506e-17,0.037712918128818274,0.0377129181288182,7.632783294297951e-17,0.7012078391452883,0.7012078391452883,0.0,True
7,20,6.7e-05,0.02155911897716578,0.0215591189771657,7.979727989493313e-17,0.021559129891102202,0.0215591298911022,3.469446951953614e-18,0.7002755366573624,0.7002755366573624,0.0,True
7,21,6.9e-05,0.01816071744542569,0.0181607174454256,9.020562075079397e-17,0.01816073381633032,0.0181607338163303,2.0816681711721685e-17,0.7261492766258516,0.7261492766258516,0.0,True
7,22,7.1e-05,0.012927604075230192,0.0129276040752301,9.194034422677078e-17,0.012927615898661315,0.0129276158986613,1.5612511283791264e-17,0.7216845756628077,0.7216845756628077,0.0,True
7,23,7.3e-05,0.012206155588501133,0.0122061555885011,3.2959746043559335e-17,0.012206146493554115,0.0122061464935541,1.5612511283791264e-17,0.7347222573893782,0.7347222573893782,0.0,True
7,24,7.5e-05,0.010817901966220234,0.0108179019662202,3.2959746043559335e-17,0.010817899237736128,0.0108178992377361,2.7755575615628914e-17,0.7544227505774859,0.7544227505774859,0.0,True
7,25,7.7e-05,0.0076982360042165965,0.0076982360042165,9.627715291671279e-17,0.007698232366237789,0.0076982323662377,8.933825901280557e-17,0.7680484909366865,0.7680484909366865,0.0,True
7,26,8e-05,0.010056619430542924,0.0100566194305429,2.42861286636753e-17,0.01005661215458531,0.0100566121545853,8.673617379884035e-18,0.7712275739621465,0.7712275739621465,0.0,True
7,27,8.3e-05,0.014326344171422534,0.0143263441714225,3.2959746043559335e-17,0.014326327800517902,0.0143263278005179,1.734723475976807e-18,0.7906880250428405,0.7906880250428405,0.0,True
7,28,8.6e-05,0.009630443855712656,0.0096304438557126,5.551115123125783e-17,0.009630443855712656,0.0096304438557126,5.551115123125783e-17,0.7836383307179295,0.7836383307179295,0.0,True
7,29,8.9e-05,0.010214579560852144,0.0102145795608521,4.336808689942018e-17,0.010214570465905126,0.0102145704659051,2.6020852139652106e-17,0.7920138333648773,0.7920138333648773,0.0,True
7,30,9.2e-05,0.005637236881739227,0.0056372368817392,2.688821387764051e-17,0.005637240974465385,0.0056372409744653,8.500145032286355e-17,0.7919954962911475,0.7919954962911475,0.0,True
7,31,9.5e-05,0.0075711191129812505,0.0075711191129812,5.0306980803327406e-17,0.007571107744297478,0.0075711077442974,7.806255641895632e-17,0.7958750178318326,0.7958750178318326,0.0,True
7,32,9.8e-05,0.005487802354764426,0.0054878023547644,2.6020852139652106e-17,0.005487805992743233,0.0054878059927432,3.2959746043559335e-17,0.7773006457540883,0.7773006457540883,0.0,True
7,33,0.0001,0.00784211079007946,0.0078421107900794,5.898059818321144e-17,0.007842094419174828,0.0078420944191748,2.7755575615628914e-17,0.7899191416840626,0.7899191416840626,0.0,True
13,0,1e-06,0.07881042984081432,0.0788104298408143,2.7755575615628914e-17,0.07881042984081432,0.0788104298408143,2.7755575615628914e-17,0.037442241874484535,0.0374422418744845,3.469446951953614e-17,True
13,1,5e-06,0.4279795102775097,0.4279795102775097,0.0,0.4279794229660183,0.4279794229660183,0.0,0.19163616324297192,0.1916361632429719,2.7755575615628914e-17,True
13,2,1e-05,0.8477876544930041,0.8477876544930041,0.0,0.847787712700665,0.847787712700665,0.0,0.3747238116052988,0.3747238116052988,0.0,True
13,3,1.5e-05,1.2407952453941107,1.240795245394111,2.220446049250313e-16,1.2407953618094325,1.2407953618094325,0.0,0.5270649606710509,0.5270649606710509,0.0,True
13,4,2e-05,1.583916717208922,1.583916717208922,0.0,1.5839164843782783,1.5839164843782785,2.220446049250313e-16,0.637584225153772,0.637584225153772,0.0,True
13,5,2.5e-05,1.7816273029893637,1.7816273029893637,0.0,1.7816271865740418,1.7816271865740418,0.0,0.6888967609873091,0.6888967609873091,0.0,True
13,6,3e-05,1.8477900885045528,1.8477900885045528,0.0,1.8477902049198747,1.847790204919875,2.220446049250313e-16,0.6947862667568702,0.6947862667568702,0.0,True
13,7,3.5e-05,1.738204387947917,1.738204387947917,0.0,1.7382045043632388,1.7382045043632388,0.0,0.6859504755244915,0.6859504755244915,0.0,True
13,8,4e-05,1.4651683159172535,1.4651683159172535,0.0,1.4651684323325753,1.465168432332575,2.220446049250313e-16,0.6858128828986199,0.6858128828986199,0.0,True
13,9,4.5e-05,0.9582097991369665,0.9582097991369664,1.1102230246251565e-16,0.9582098573446274,0.9582098573446274,0.0,0.7361550020105776,0.7361550020105776,0.0,True
13,10,4.7e-05,0.7826319779269397,0.7826319779269397,0.0,0.7826319779269397,0.7826319779269397,0.0,0.7570219453425842,0.7570219453425842,0.0,True
13,11,4.9e-05,0.593646545894444,0.593646545894444,0.0,0.5936464876867831,0.5936464876867831,0.0,0.7596221226932346,0.7596221226932346,0.0,True
13,12,5.1e-05,0.40310126496478915,0.4031012649647891,5.551115123125783e-17,0.40310132317245007,0.40310132317245,5.551115123125783e-17,0.7773957107567939,0.7773957107567939,0.0,True
13,13,5.3e-05,0.2251024270663038,0.2251024270663038,0.0,0.22510233975481242,0.2251023397548124,2.7755575615628914e-17,0.7797367818428649,0.7797367818428649,0.0,True
13,14,5.5e-05,0.13405503705143929,0.1340550370514392,8.326672684688674e-17,0.1340549351880327,0.1340549351880327,0.0,0.7813672506594183,0.7813672506594183,0.0,True
13,15,5.7e-05,0.07404191273963079,0.0740419127396307,8.326672684688674e-17,0.07404194184346125,0.0740419418434612,4.163336342344337e-17,0.7718744116551054,0.7718744116551054,0.0,True
