seed,reaction_primary_metric,reaction_metric_status,first_alpha0p8_through_crack_step,peak_reaction_by_primary_metric_N,peak_reaction_abs_N,peak_reaction_step,final_reaction_by_primary_metric_N,final_reaction_abs_N,post_peak_drop_percent,final_to_peak_ratio,reaction_at_first_through_crack_abs_N,drop_after_first_through_crack_percent,post_through_collapse_detected,primary_drop_ge_10pct,primary_drop_ge_30pct,primary_drop_ge_50pct,primary_drop_ge_90pct,legacy_top_sigma_peak_abs_N,legacy_top_sigma_final_abs_N,legacy_top_sigma_post_peak_drop_percent,legacy_top_sigma_final_to_peak_ratio,legacy_top_sigma_drop_after_first_through_percent,legacy_top_sigma_collapse_by_same_thresholds,legacy_drop_ge_10pct,legacy_drop_ge_30pct,legacy_drop_ge_50pct,legacy_drop_ge_90pct,legacy_and_primary_metrics_disagree,softening_classification
7,reaction_N_energy_exact,energy_exact_primary,14,1.8339642556384206,1.8339642556384206,6,0.00784211079007946,0.00784211079007946,99.57239565787778,0.0042760434212222665,0.15983432240318507,95.09360025295594,True,True,True,True,True,0.7958750178318326,0.7899191416840626,0.7483431461381043,0.9925165685386189,-11.686554912097096,False,False,False,False,False,True,corrected_softening_gate_passed
13,reaction_N_energy_exact,energy_exact_primary,14,1.8477900885045528,1.8477900885045528,6,0.009264996151614469,0.009264996151614469,99.49859044004762,0.005014095599523853,0.13405503705143929,93.08866242149534,True,True,True,True,True,0.9588290965451763,0.9588290965451763,0.0,1.0,-22.711707681118313,False,False,False,False,False,True,corrected_softening_gate_passed
42,reaction_N_energy_exact,energy_exact_primary,14,1.8282063538208604,1.8282063538208604,6,0.008283553142973687,0.008283553142973687,99.5469027265078,0.004530972734922113,0.1125844064517878,92.64236193622341,True,True,True,True,True,0.9163707668152237,0.866391686779654,5.45402383461753,0.9454597616538247,-15.053768438027534,False,False,False,False,False,True,corrected_softening_gate_passed
