case_id,method,top_u_mode,loss_form,epochs,hidden_layers,neurons,seed,Delta,alpha_mode,l0,tm_source,tm_eps_r,phase_field_notch,history_fields,elastic_energy,fracture_energy,initial_loss,final_loss,mixed_mode_ratio,He_current_mean,He_current_std,He_current_max,max_He_current_x,max_He_current_y,mechanics_drive_max,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_He_current_max,bulk_He_current_p95,bottom_right_He_current_max,bulk_to_notch_He_current,bottom_to_notch_He_current,notch_tip_mechanics_drive_max,bulk_mechanics_drive_p95,bottom_right_mechanics_drive_max,bulk_to_notch_mechanics_drive,bottom_to_notch_mechanics_drive,notch_tip_eps_norm_max,bulk_eps_norm_p95,bottom_right_eps_norm_max,bulk_to_notch_eps_norm,bottom_to_notch_eps_norm,notch_lip_pairs,notch_lip_u_jump_abs_max,notch_lip_v_jump_abs_max,notch_lip_u_jump_std,notch_lip_v_jump_std,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,classification
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",7.086188580363029e-11,0.0,-10.149587631225586,-10.149587631225586,1.006441354751587,7.122683882698766e-07,1.9864263012259187e-10,7.127793537620164e-07,0.0035927272401750088,0.003835594281554222,7.127793537620164e-07,0.0035927272401750088,0.003835594281554222,7.127430308173643e-07,7.126155878722784e-07,7.123500154193607e-07,0.9998211936987447,0.9994485875259237,7.127430308173643e-07,7.126155878722784e-07,7.123500154193607e-07,0.9998211936987447,0.9994485875259237,0.00010002979979617521,0.0001000224583549425,0.00010001247574109584,0.9999266074585007,0.9998268110591577,27,2.278356323048847e-12,1.0002850103774108e-08,6.377084469302261e-13,7.421216663401466e-13,4.3711389352942345e-14,0.0,0.0,0.0,broad/background
pinn_fixed_log10_energy_e100,PINN,fixed,log10_energy,100,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.347404546414026e-11,0.0,-10.149587631225586,-10.19738483428955,1.006441354751587,6.471838105426286e-07,2.8481329295004798e-08,1.161104705715843e-06,0.00988017488270998,0.0002885742287617177,1.161104705715843e-06,0.00988017488270998,0.0002885742287617177,6.749099838998518e-07,6.782298100915796e-07,1.161104705715843e-06,1.004918916997708,1.720384545219791,6.749099838998518e-07,6.782298100915796e-07,1.161104705715843e-06,1.004918916997708,1.720384545219791,0.00010440096957609057,0.00010572525934549049,0.00013308165944181383,1.0126846501021691,1.2747167002584194,27,6.891340831316484e-10,1.0534449756960385e-08,3.6631733183292996e-10,7.663895442313707e-11,4.3711389352942345e-14,0.0,0.0,0.0,boundary/background dominated
pinn_fixed_log10_energy_e300,PINN,fixed,log10_energy,300,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.335616753450068e-11,0.0,-10.149587631225586,-10.19820499420166,1.006441354751587,6.432238706111093e-07,2.8386976325123214e-08,1.1407172451072256e-06,0.00988017488270998,0.0002885742287617177,1.1407172451072256e-06,0.00988017488270998,0.0002885742287617177,6.75391788718116e-07,6.855488550172595e-07,1.1407172451072256e-06,1.0150387767053275,1.6889711485422272,6.75391788718116e-07,6.855488550172595e-07,1.1407172451072256e-06,1.0150387767053275,1.6889711485422272,0.00010413736163172871,0.00010664536239346489,0.00013199001841712743,1.0240835827069008,1.26746074942725,27,4.2169645553258306e-10,1.0556789220572682e-08,2.3232582775529566e-10,7.856087690590077e-11,4.3711389352942345e-14,0.0,0.0,0.0,boundary/background dominated
fedof_fixed_log10_energy_e300,FE_DOF,fixed,log10_energy,300,nan,nan,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",0.00040830476791597903,0.0,-8.74145221710205,-3.3880045413970947,1.006441354751587,3.0242533683776855,2.983905792236328,50.075035095214844,0.00011280964827165008,0.0002940627164207399,50.075035095214844,0.00011280964827165008,0.0002940627164207399,31.276840209960938,8.136212348937988,1.0564937591552734,0.26013536835306006,0.03377878814045944,31.276840209960938,8.136212348937988,1.0564937591552734,0.26013536835306006,0.03377878814045944,0.9767996668815613,0.41740694642066956,0.11754923313856125,0.4273209344483539,0.1203411888067467,27,0.001874734298326075,0.00041150907054543495,0.0005065350399073631,0.00019440816759661736,0.0,0.0,0.0,0.0,notch-amplified with boundary max
pinn_fixed_raw_energy_e0,PINN,fixed,raw_energy,0,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",7.086188580363029e-11,0.0,7.086188580363029e-11,7.086188580363029e-11,1.006441354751587,7.122683882698766e-07,1.9864263012259187e-10,7.127793537620164e-07,0.0035927272401750088,0.003835594281554222,7.127793537620164e-07,0.0035927272401750088,0.003835594281554222,7.127430308173643e-07,7.126155878722784e-07,7.123500154193607e-07,0.9998211936987447,0.9994485875259237,7.127430308173643e-07,7.126155878722784e-07,7.123500154193607e-07,0.9998211936987447,0.9994485875259237,0.00010002979979617521,0.0001000224583549425,0.00010001247574109584,0.9999266074585007,0.9998268110591577,27,2.278356323048847e-12,1.0002850103774108e-08,6.377084469302261e-13,7.421216663401466e-13,4.3711389352942345e-14,0.0,0.0,0.0,broad/background
pinn_fixed_raw_energy_e100,PINN,fixed,raw_energy,100,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.341101255191717e-11,0.0,7.086188580363029e-11,6.342497360645183e-11,1.006441354751587,6.459672476921696e-07,2.9543274493448735e-08,1.1835511486424366e-06,0.00988017488270998,0.0002885742287617177,1.1835511486424366e-06,0.00988017488270998,0.0002885742287617177,6.971961283852579e-07,6.848737825748685e-07,1.1835511486424366e-06,0.982325854506782,1.6975870927218168,6.971961283852579e-07,6.848737825748685e-07,1.1835511486424366e-06,0.982325854506782,1.6975870927218168,0.00010553860192885622,0.0001055109896697104,0.00013411474355962127,0.9997383681549578,1.2707648301995538,27,5.631335397993098e-10,1.055309439834673e-08,2.7908410876157056e-10,1.3093446355702873e-10,4.3711389352942345e-14,0.0,0.0,0.0,boundary/background dominated
pinn_fixed_raw_energy_e300,PINN,fixed,raw_energy,300,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.34112554132038e-11,0.0,7.086188580363029e-11,6.332073754222733e-11,1.006441354751587,6.420179943233961e-07,4.058846414523032e-08,1.1805908570750034e-06,0.00988017488270998,0.0002885742287617177,1.1805908570750034e-06,0.00988017488270998,0.0002885742287617177,7.03699583937123e-07,6.902216682647122e-07,1.1805908570750034e-06,0.9808470603364532,1.6776915661506087,7.03699583937123e-07,6.902216682647122e-07,1.1805908570750034e-06,0.9808470603364532,1.6776915661506087,0.0001061626389855519,0.00010834860586328432,0.00013411535474006087,1.0205907360500894,1.2633008751629957,27,5.118678814142186e-10,1.1155862011946738e-08,1.8957861887223285e-10,3.4745609902559246e-10,4.3711389352942345e-14,0.0,0.0,0.0,boundary/background dominated
fedof_fixed_raw_energy_e300,FE_DOF,fixed,raw_energy,300,nan,nan,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",0.00040830476791597903,0.0,1.8136283586045465e-09,0.0004092565504834056,1.006441354751587,3.0242533683776855,2.983905792236328,50.075035095214844,0.00011280964827165008,0.0002940627164207399,50.075035095214844,0.00011280964827165008,0.0002940627164207399,31.276840209960938,8.136212348937988,1.0564937591552734,0.26013536835306006,0.03377878814045944,31.276840209960938,8.136212348937988,1.0564937591552734,0.26013536835306006,0.03377878814045944,0.9767996668815613,0.41740694642066956,0.11754923313856125,0.4273209344483539,0.1203411888067467,27,0.001874734298326075,0.00041150907054543495,0.0005065350399073631,0.00019440816759661736,0.0,0.0,0.0,0.0,notch-amplified with boundary max
pinn_free_log10_energy_e0,PINN,free,log10_energy,0,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",7.086567443970182e-11,0.0,-10.149564743041992,-10.149564743041992,1.006441354751587,7.123167620193271e-07,3.620779509549976e-10,7.131487791411928e-07,0.004911262542009354,0.005277351941913366,7.131487791411928e-07,0.004911262542009354,0.005277351941913366,7.131487791411928e-07,7.128787160581851e-07,7.123543355191941e-07,0.9996213089177087,0.9988860057743416,7.131487791411928e-07,7.128787160581851e-07,7.123543355191941e-07,0.9996213089177087,0.9988860057743416,0.00010002980707213283,0.00010002247290685773,0.00010001247574109584,0.9999266802017341,0.9998267383338599,27,7.600982343536344e-12,1.0002850103774108e-08,1.882219923282659e-12,7.421216663401466e-13,3.543365045821645e-10,0.0,0.0,0.0,broad/background
pinn_free_log10_energy_e100,PINN,free,log10_energy,100,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.292059928636462e-11,0.0,-10.149564743041992,-10.201178550720215,1.006441354751587,6.384286734828493e-07,2.221953643299912e-08,1.2732622280964279e-06,0.00988017488270998,0.0002885742287617177,1.2732622280964279e-06,0.00988017488270998,0.0002885742287617177,6.720136980220559e-07,6.599436233045708e-07,1.2732622280964279e-06,0.9820389454069001,1.8946968370496498,6.720136980220559e-07,6.599436233045708e-07,1.2732622280964279e-06,0.9820389454069001,1.8946968370496498,0.0001049048951244913,0.00011479988461360335,0.00013890446280129254,1.0943234295918185,1.3240989625551194,27,1.31025501559634e-09,1.0320775345462607e-08,4.177275349244891e-10,8.636975214126187e-11,2.3375963564831181e-07,0.0,0.0,0.0,boundary/background dominated
pinn_free_log10_energy_e300,PINN,free,log10_energy,300,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.2762503527658e-11,0.0,-10.149564743041992,-10.201952934265137,1.006441354751587,6.370711957970343e-07,6.044071909627746e-08,1.251552248504595e-06,0.0008588387863710523,0.004844984970986843,1.251552248504595e-06,0.0008588387863710523,0.004844984970986843,8.579536370234564e-07,6.753961088179494e-07,1.2171615253464552e-06,0.7872174901678097,1.41867983632451,8.579536370234564e-07,6.753961088179494e-07,1.2171615253464552e-06,0.7872174901678097,1.41867983632451,0.00011633314716164023,0.00012555123248603195,0.00013595791824627668,1.079238682605084,1.1686945772847408,27,2.6509354711379274e-09,1.3261967524158536e-08,1.0184495259116637e-09,4.395809811839184e-10,2.3237940638409782e-07,0.0,0.0,0.0,broad/background
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",0.0003972291888203472,0.0,-8.74145221710205,-3.399899959564209,1.006441354751587,2.973038911819458,2.9875667095184326,48.69594192504883,0.00011280964827165008,0.0002940627164207399,48.69594192504883,0.00011280964827165008,0.0002940627164207399,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,1.0628222227096558,0.41338154673576355,0.11388428509235382,0.3889470298069709,0.10715271346322328,27,0.0018539580050855875,0.000429907173383981,0.0004950746634990216,0.00018534766812087016,0.0006234158645384014,0.0,0.0,0.0,notch-amplified with boundary max
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",7.086567443970182e-11,0.0,7.086567443970182e-11,7.086567443970182e-11,1.006441354751587,7.123167620193271e-07,3.620779509549976e-10,7.131487791411928e-07,0.004911262542009354,0.005277351941913366,7.131487791411928e-07,0.004911262542009354,0.005277351941913366,7.131487791411928e-07,7.128787160581851e-07,7.123543355191941e-07,0.9996213089177087,0.9988860057743416,7.131487791411928e-07,7.128787160581851e-07,7.123543355191941e-07,0.9996213089177087,0.9988860057743416,0.00010002980707213283,0.00010002247290685773,0.00010001247574109584,0.9999266802017341,0.9998267383338599,27,7.600982343536344e-12,1.0002850103774108e-08,1.882219923282659e-12,7.421216663401466e-13,3.543365045821645e-10,0.0,0.0,0.0,broad/background
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.294262333561562e-11,0.0,7.086567443970182e-11,6.294203352963379e-11,1.006441354751587,6.351768888634979e-07,2.2215578709960937e-08,1.1412907952035312e-06,0.00988017488270998,0.0002885742287617177,1.1412907952035312e-06,0.00988017488270998,0.0002885742287617177,6.442292033170816e-07,6.54855114134989e-07,1.1412907952035312e-06,1.0164939912118165,1.7715601672931336,6.442292033170816e-07,6.54855114134989e-07,1.1412907952035312e-06,1.0164939912118165,1.7715601672931336,0.00010310590005246922,0.00011133459338452667,0.0001320365845458582,1.079808171286706,1.2805919397305736,27,2.2036630298316595e-09,1.0113012649526354e-08,6.107834249631912e-10,4.516165050552133e-11,2.2409426492231432e-07,0.0,0.0,0.0,boundary/background dominated
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",6.290115650564587e-11,0.0,7.086567443970182e-11,6.289897769296005e-11,1.006441354751587,6.378828061315289e-07,2.1994061683017208e-08,1.2420418897818308e-06,0.00988017488270998,0.0002885742287617177,1.2420418897818308e-06,0.00988017488270998,0.0002885742287617177,6.653276614088099e-07,6.632052418353851e-07,1.2420418897818308e-06,0.9968099634262452,1.8668123419847704,6.653276614088099e-07,6.632052418353851e-07,1.2420418897818308e-06,0.9968099634262452,1.8668123419847704,0.00010413329437142238,0.00012793159112334251,0.0001373286359012127,1.228536866096221,1.3187774066898263,27,2.357907646910462e-09,1.0283258689014474e-08,7.223230545673242e-10,8.028402635777718e-11,2.332009927386025e-07,0.0,0.0,0.0,boundary/background dominated
fedof_free_raw_energy_e300,FE_DOF,free,raw_energy,300,nan,nan,2,1e-06,zero_fixed,0.00015,split,1e-05,unchanged_not_active_in_alpha_zero_mechanics_only,"HI=0,HII=0",0.0003972291888203472,0.0,1.8136283586045465e-09,0.0003981988411396742,1.006441354751587,2.973038911819458,2.9875667095184326,48.69594192504883,0.00011280964827165008,0.0002940627164207399,48.69594192504883,0.00011280964827165008,0.0002940627164207399,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,34.6502799987793,8.122098922729492,0.9916369915008545,0.23440211516373397,0.028618440934266305,1.0628222227096558,0.41338154673576355,0.11388428509235382,0.3889470298069709,0.10715271346322328,27,0.0018539580050855875,0.000429907173383981,0.0004950746634990216,0.00018534766812087016,0.0006234158645384014,0.0,0.0,0.0,notch-amplified with boundary max
