top_u_mode,pinn_case,fedof_case,pinn_notch_He_current_max,fedof_notch_He_current_max,fedof_to_pinn_notch_He_ratio,pinn_bulk_to_notch_He_current,fedof_bulk_to_notch_He_current,pinn_bottom_to_notch_He_current,fedof_bottom_to_notch_He_current,pinn_notch_lip_v_jump_abs_max,fedof_notch_lip_v_jump_abs_max,fedof_to_pinn_v_jump_ratio,pinn_classification,fedof_classification
fixed,pinn_fixed_log10_energy_e300,fedof_fixed_log10_energy_e300,6.75391788718116e-07,31.276840209960938,46309180.43780772,1.0150387767053275,0.26013536835306,1.6889711485422272,0.0337787881404594,1.0556789220572682e-08,0.0004115090705454,38980.514050945174,boundary/background dominated,notch-amplified with boundary max
free,pinn_free_log10_energy_e300,fedof_free_log10_energy_e300,8.579536370234564e-07,34.6502799987793,40387124.08632398,0.7872174901678097,0.2344021151637339,1.41867983632451,0.0286184409342663,1.3261967524158536e-08,0.0004299071733839,32416.545478697917,broad/background,notch-amplified with boundary max
