case_id,method,top_u_mode,loss_form,epochs,hidden_layers,neurons,seed,x,upper_node,lower_node,gap_y,u_jump_upper_minus_lower,v_jump_upper_minus_lower,upper_u,lower_u,upper_v,lower_v
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0024008075706660748,789,2354,9.999983012676239e-05,-1.085281170487562e-12,1.0000690053857397e-08,-4.4571988461195033e-11,-4.348670729070747e-11,5.050528670835774e-07,4.9505217702972e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.002600874751806259,863,2310,9.999983012676239e-05,-1.2271052229895218e-12,1.0000690053857397e-08,-4.326208488669714e-11,-4.2034979663707617e-11,5.050543450124678e-07,4.950536549586104e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.002800942165777087,930,2269,9.999983012676239e-05,-9.635764408599812e-13,1.0000462680181954e-08,-4.2096260505219973e-11,-4.113268406435999e-11,5.050563913755468e-07,4.950559286953649e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0030010093469172716,998,2223,9.999983012676239e-05,-1.1154133172652791e-12,1.0000519523600815e-08,-4.128561728600211e-11,-4.017020396873683e-11,5.050583808952069e-07,4.950578613716061e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0032010767608880997,1062,2176,9.999983012676239e-05,-1.837661967041271e-12,1.0000633210438536e-08,-3.920719998662392e-11,-3.736953801958265e-11,5.050603704148671e-07,4.950597372044285e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.003401143942028284,1122,2125,9.999983012676239e-05,-1.5890205817825631e-12,1.0001201644627145e-08,-3.6091674787686046e-11,-3.450265420590348e-11,5.050615072832443e-07,4.950603056386171e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.003601211355999112,1180,2070,9.999983012676239e-05,-1.477658273518756e-12,1.0001201644627145e-08,-3.352765981512462e-11,-3.2050001541605866e-11,5.050615641266631e-07,4.95060362482036e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0038012785371392965,1233,2010,9.999983012676239e-05,-1.5657475316288583e-12,1.0001485861721449e-08,-3.098153331104747e-11,-2.941578577941861e-11,5.050613935964066e-07,4.950599077346851e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.004001345951110125,1287,1954,9.999983012676239e-05,-1.4038822188089384e-12,1.000154270514031e-08,-2.851964671368723e-11,-2.7115764494878292e-11,5.050607683187991e-07,4.950592256136588e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.004201413132250309,1339,1895,9.999983012676239e-05,-1.3712416618849588e-12,1.000154270514031e-08,-2.6564929075933996e-11,-2.5193687414049037e-11,5.05059972510935e-07,4.950584298057947e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.00440147565677762,1388,1841,9.999983012676239e-05,-2.131668105920248e-12,1.0002224826166639e-08,-2.3887555128387916e-11,-2.1755887022467668e-11,5.050586082688824e-07,4.950563834427157e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.0045905509032309055,1436,1789,9.999983012676239e-05,-2.278356323048847e-12,1.0002395356423222e-08,-2.032829807263603e-11,-1.8049941749587184e-11,5.050562776887091e-07,4.950538823322859e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.004754123743623495,1487,1736,9.999983012676239e-05,-1.8373757376677347e-12,1.0002850103774108e-08,-1.7057737167203157e-11,-1.5220361429535423e-11,5.050538334216981e-07,4.95050983317924e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.004889295436441898,1537,1684,9.999983012676239e-05,-1.44564134968439e-12,1.0002736416936386e-08,-1.49567302987208e-11,-1.351108894903641e-11,5.050512754678493e-07,4.95048539050913e-07
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,8,400,2,0.004999999888241291,1585,1636,9.999983012676239e-05,-1.1664948521006302e-12,1.0002622730098665e-08,-1.3645870024225903e-11,-1.2479375172125273e-11,5.050492859481892e-07,4.950466632180905e-07
pinn_fixed_log10_energy_e100,PINN,fixed,log10_energy,100,8,400,2,0.0,158,2697,9.999983012676239e-05,6.891340831316484e-10,1.0095220659422921e-08,8.584329691530002e-08,8.515416283216837e-08,5.100707767269341e-07,4.999755560675112e-07
pinn_fixed_log10_energy_e100,PINN,fixed,log10_energy,100,8,400,2,0.00020006729755550623,190,2670,9.999983012676239e-05,5.895515187148703e-10,1.0534449756960385e-08,8.087229019793085e-08,8.028273867921598e-08,5.09693904859887e-07,4.991594551029266e-07
