case,seed,schedule,run_status,required_seed,step,Delta,strain,reaction_N_tm_eff,reaction_degraded_N,reaction_undegraded_N,reaction_old_sigma_N,alpha_min,alpha_mean,alpha_std,alpha_max,He_current_max,He_history_max,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_He_current_max,bulk_He_current_p95,bottom_right_He_current_max,bulk_notch_He_ratio,bottom_notch_He_ratio,alpha_ge_0p2_area_fraction,alpha_ge_0p5_area_fraction,alpha_ge_0p8_area_fraction,alpha_ge_0p95_area_fraction,connected_threshold,connected_high_alpha_area_fraction,connected_crack_length_x,connected_crack_length_y,connected_min_x,connected_max_x,notch_connected_element_count,ligament_crossing_proxy,extends_beyond_tiny_notch_blob
D0040_seed7_default_unitbox,7,D0040,completed,yes,0,1e-06,9.999999999999999e-05,0.03724019689017173,0.03724019689017173,0.037240423975142024,0.04027653486192617,-0.00017775638843886554,-3.467340478307517e-05,3.246631965122718e-05,0.00014446179557126015,4.346950663602911e-05,4.346950663602911e-05,4.346950663602911e-05,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,4.346950663602911e-05,8.540193732642361e-07,1.4618997283832869e-06,0.019646401336342607,0.0336304651585719,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,0,False,False
D0040_seed7_default_unitbox,7,D0040,completed,yes,1,5e-06,0.0005,0.1950677274790781,0.1950677274790781,0.19641812684386928,0.23504243234534847,-0.00020386968390084803,0.0006527929949925616,0.0010534756952903241,0.0040043992921710014,0.001271507004275918,0.001271507004275918,0.001271507004275918,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.001271507004275918,2.508827519704937e-05,3.6426150472834706e-05,0.019731134089455,0.028648014010412958,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,0,False,False
D0040_seed7_default_unitbox,7,D0040,completed,yes,2,1e-05,0.001,0.3810431370806624,0.3810431370806624,0.39535045403992225,0.47323711526444573,-0.00045315513852983713,0.005827201071254251,0.006306089535580869,0.040650349110364914,0.005507545545697212,0.005507545545697212,0.005507545545697212,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005507545545697212,0.00010413430718472224,0.00014542770804837346,0.01890757077189811,0.02640517574330172,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,0,False,False
D0040_seed7_default_unitbox,7,D0040,completed,yes,3,1.5e-05,0.0015,0.5324371788664785,0.5324371788664785,0.5808180506575724,0.6733363203027051,-0.0006462835008278489,0.013314234398409772,0.015337170689576197,0.12968692183494568,0.014332219026982784,0.014332219026982784,0.014332219026982784,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.014332219026982784,0.00023759938703733487,0.0003318558447062969,0.016577990232357915,0.023154533438368693,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,0,False,False
D0040_seed7_default_unitbox,7,D0040,completed,yes,4,2e-05,0.002,0.6410798690604063,0.6410798690604063,0.7541521579296614,0.8385733396991786,-0.0008742508362047374,0.02398732662098603,0.03144411398008138,0.33915194869041443,0.042940184473991394,0.042940184473991394,0.042940184473991394,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.042940184473991394,0.0004371800081571562,0.0006045633344911039,0.010181139497012489,0.014079197420711693,0.0013013995936066631,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,0,False,False
D0040_seed7_default_unitbox,7,D0040,completed,yes,5,2.5e-05,0.0025,0.6861076338200537,0.6861076338200537,0.886441884411323,0.9404309291879301,-0.000834027654491365,0.038921430654913686,0.06687988106442894,0.8747787475585938,0.3645032048225403,0.3645032048225403,0.3645032048225403,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.3645032048225403,0.000715139324893243,0.0009257846977561712,0.0019619562062325657,0.0025398533826524045,0.00548868261740709,0.0011934854981289088,0.00015999318578761333,0.0,0.5,0.0011934854981289088,0.0004305657930672169,0.0002575833350419998,0.004947827197611332,0.005378392990678549,32,False,False
D0040_seed7_default_unitbox,7,D0040,completed,yes,6,3e-05,0.003,0.6936550439547586,0.6936550439547586,0.9944163309472311,1.0134819989971122,-0.0008671106188558042,0.054407317330406574,0.09245857361071415,1.000199794769287,1.1544747352600098,1.1544747352600098,1.1544747352600098,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,1.1544747352600098,0.0010726155538577583,0.0013018359895795584,0.0009290940036173116,0.001127643550628555,0.011504880193489298,0.0033187957946607632,0.0009443886944088467,0.00012822514832705524,0.5,0.0033187957946607632,0.0008859694935381413,0.000382761936634779,0.004939038772135973,0.005825008265674114,58,False,True
D0040_seed7_default_unitbox,7,D0040,completed,yes,7,3.5e-05,0.0034999999999999996,0.6877238004177538,0.6877238004177538,1.0973243264851924,1.097722270062265,-0.0011003160616382957,0.06987662558423981,0.11512743464953774,1.0004754066467285,2.52828049659729,2.52828049659729,2.52828049659729,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,2.52828049659729,0.0014285316108725954,0.0016819728771224618,0.0005650210143989949,0.0006652635573411101,0.01993811322341396,0.006538489224086712,0.0022596568691077078,0.000374430301794584,0.5,0.006538489224086712,0.0016435226425528526,0.0004431786946952343,0.004939038772135973,0.006582561414688826,92,True,True
D0040_seed7_default_unitbox,7,D0040,completed,yes,8,4e-05,0.004,0.6701765399544242,0.6701765399544242,1.1558471962217247,1.1407904090797323,-0.0012596524320542812,0.08503486322635415,0.13720019344569206,1.0007818937301636,4.842612266540527,4.842612266540527,4.842612266540527,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,4.842612266540527,0.0019642039085738324,0.0020181122235953808,0.00040560833708394817,0.0004167404104473313,0.03121021303200873,0.010733777172869817,0.004343944924379396,0.0012810437926297105,0.5,0.010733777172869817,0.002559980843216181,0.0004687034524977207,0.004939038772135973,0.007499019615352154,135,True,True
D0040_seed7_default_unitbox,7,D0040,completed,yes,9,4.5e-05,0.0045000000000000005,0.6897196215662094,0.6897196215662094,1.207963744084739,1.222330633149291,-0.0015043127350509167,0.09809196024057384,0.1581347798668727,1.000997543334961,7.250380516052246,7.250380516052246,7.250380516052246,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,7.250380516052246,0.002520969742909072,0.0021146340295672417,0.0003477017154241324,0.00029165835157002725,0.045408897875164306,0.01575162315107485,0.007121767294568443,0.0021220503690994813,0.5,0.01575162315107485,0.003653730731457472,0.0005105934105813503,0.004939038772135973,0.008592769503593445,187,True,True
