step,Delta_s,alpha_min,alpha_mean,alpha_max,max_alpha_x,max_alpha_y,HI_max,HII_max,HII_over_HI_peak_ratio,HII_active,He_current_max,max_He_current_x,max_He_current_y,mechanics_drive_max,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_He_current_max,notch_tip_mechanics_drive_max,bottom_right_alpha_max,bottom_right_He_current_max,bottom_right_mechanics_drive_max,global_drive_location_note
0,1e-06,-0.0043451758101582,-0.0012476015836,0.0128672523424029,0.0053467857651412,0.0045567117631435,2.142343475952657e-07,1.3275203514240277e-07,0.6196580363163784,True,3.478414782875916e-07,0.0001264608144992,0.0007889049593359,3.478414782875916e-07,0.0001264608144992,0.0007889049593359,0.0070323944091796,4.059002378653531e-08,4.059002378653531e-08,-0.002750554587692,1.7568436305737126e-07,1.7568436305737126e-07,"global max near lower boundary/corner, not notch tip"
1,5e-06,-0.0035902992822229,-0.0012207236140966,-3.11578914988786e-05,0.0051547614857554,0.0053363195620477,6.65786819809e-06,4.20095830122591e-06,0.6309764892058204,True,1.0885885785683058e-05,0.0001264608144992,0.0007889049593359,1.0885885785683058e-05,0.0001264608144992,0.0007889049593359,-3.171714342897758e-05,3.835746611002833e-06,3.835746611002833e-06,-0.002385826781392,6.38620895188069e-06,6.38620895188069e-06,"global max near lower boundary/corner, not notch tip"
2,1e-05,-0.0029694424010813,-0.0011539785191416,-0.0002499745169188,0.0049352771602571,0.005471390672028,3.209635178791359e-05,2.026694164669607e-05,0.6314406628085351,True,5.249384048511274e-05,0.0001128096482716,0.0002940627164207,5.249384048511274e-05,0.0001128096482716,0.0002940627164207,-0.0002605269837658,1.0046759598481003e-05,1.0046759598481003e-05,-0.0016078276094049,2.8932689019711688e-05,2.8932689019711688e-05,"global max near lower boundary/corner, not notch tip"
3,1.5e-05,-0.0025714826770126,-0.0009056119597516,-8.303690992761403e-05,0.0049352771602571,0.005471390672028,7.895262388046831e-05,4.986029307474382e-05,0.6315216724175079,True,0.0001291340886382,0.0001128096482716,0.0002940627164207,0.0001291340886382,0.0001128096482716,0.0002940627164207,-9.149329707724974e-05,2.3048640287015587e-05,2.3048640287015587e-05,-0.0012749155284836,7.354062108788639e-05,7.354062108788639e-05,"global max near lower boundary/corner, not notch tip"
4,2e-05,-0.0022531193681061,-0.0005496498779393,0.0142097678035497,0.0049352771602571,0.005471390672028,0.0001494407915743,9.437906555831432e-05,0.631548217618951,True,0.0002444277924951,0.0001128096482716,0.0002940627164207,0.0002444277924951,0.0001128096482716,0.0002940627164207,0.0125062074512243,4.05880382459145e-05,4.05880382459145e-05,-0.001020434196107,0.0001415308943251,0.0001415308943251,"global max near lower boundary/corner, not notch tip"
