step,load_case,Delta,strain,checkpoint,history_source,reaction_N_energy,reaction_N_virtual_work,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,reaction_metric_status,is_energy_conjugate,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,Delta_s,engineering_shear_strain,seed
0,shear,1e-06,9.999999999999999e-05,outputs\checkpoints\seed23_S0020_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,zero_initial_history,0.018341443137614988,,1.2268410246041306e-11,8.582185309635726e-12,3.686225370086449e-12,energy_conjugate,True,False,0,,,,0.0,1e-06,9.999999999999999e-05,23
1,shear,5e-06,0.0005,outputs\checkpoints\seed23_S0020_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,checkpoint_step_0000_post_history,0.07625955186085775,,1.875244265425735e-10,1.849706360301795e-10,2.553785091383154e-12,energy_conjugate,True,False,0,,,,0.0,5e-06,0.0005,23
2,shear,1e-05,0.001,outputs\checkpoints\seed23_S0020_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,checkpoint_step_0001_post_history,0.14669883239548653,,7.222963893660506e-10,7.204644103531166e-10,1.831975543487019e-12,energy_conjugate,True,False,0,,,,0.0,1e-05,0.001,23
3,shear,1.5e-05,0.0015,outputs\checkpoints\seed23_S0020_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,checkpoint_step_0002_post_history,0.2197792346123606,,1.629480772535885e-09,1.6282473147555265e-09,1.2335011484454483e-12,energy_conjugate,True,False,0,,,,0.0,1.5e-05,0.0015,23
4,shear,2e-05,0.002,outputs\checkpoints\seed23_S0020_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,checkpoint_step_0003_post_history,0.29297047876752913,,2.9039679549924813e-09,2.9024951331280135e-09,1.472836826457713e-12,energy_conjugate,True,False,0,,,,0.0,2e-05,0.002,23
