case,seed,mode,solve_scheme,mixed_mechanics_mode,top_u_mode,alpha_init,coord_normalization,hidden_layers,neurons,activation,l0,steps,final_step,final_Delta,final_alpha_min,final_alpha_mean,final_alpha_std,final_alpha_max,final_alpha_gt_0p5_area_fraction,final_max_He_current_x,final_max_He_current_y,final_max_mechanics_drive_x,final_max_mechanics_drive_y,final_bulk_He_over_notch,final_bottom_He_over_notch,final_bulk_drive_over_notch,final_bottom_drive_over_notch,final_bulk_alpha_mean_over_notch_alpha,final_bottom_alpha_max_over_notch_alpha,final_reaction_N_tm_eff,final_elastic_energy,final_fracture_energy,final_loss_log10,classification
default_none,2,medium/near-production,coupled,history,free,default,none,8,400,TrainableReLU,0.00015,12,11,4.9e-05,0.18281683325767517,0.1862220222089454,0.0006317162148737792,0.18720340728759766,0.0,4.310390795581043e-05,0.003874539164826274,4.310390795581043e-05,0.003874539164826274,1.0031199911467112,0.9756832310374752,1.0031199911467112,0.9756832310374752,0.9986529581562161,0.9802779659500499,2.1160924434661865,1.2057262210873887e-07,2.7529575064022538e-08,-6.829438498447543,boundary/corner dominated
default_unitbox,2,medium/near-production,coupled,history,free,default,unit_box,8,400,TrainableReLU,0.00015,12,11,4.9e-05,-0.0003438764833845198,0.10590754305207879,0.16921268439882078,1.0003069639205933,0.04084272777675106,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.00022089237329961508,0.00014836345213290977,0.00022795744486999982,0.00014836345213290977,0.10148248043075428,0.19511525101339217,0.7359966039657593,4.113580587272736e-08,1.9984431887110077e-08,-7.2138149650085355,localized/notch-amplified
intact_none,2,medium/near-production,coupled,history,free,alpha-init-intact,none,8,400,TrainableReLU,0.00015,12,11,4.9e-05,0.09486833214759827,0.20455976271586374,0.06396470635641321,0.507638692855835,0.0005544261689151728,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.045655732918922866,0.03556848350714233,0.05319847250746222,0.03475457432995184,0.4410516155661862,0.47262210514790554,1.728469967842102,1.1079048078954656e-07,2.666415355179197e-08,-6.8618406131508785,localized/notch-amplified
intact_unitbox,2,medium/near-production,coupled,history,free,alpha-init-intact,unit_box,8,400,TrainableReLU,0.00015,12,11,4.9e-05,-7.259464473463595e-05,0.10605955268744101,0.17095768947833184,1.0002297163009644,0.04250600628349658,0.005115753971040249,0.0050573875196278095,0.005115753971040249,0.0050573875196278095,0.00018946118509804652,0.00013273933545836832,0.00019177185582191546,0.00013273933545836832,0.10156399880529252,0.18907083442696074,0.7263418436050415,4.052166602264151e-08,2.0266131883772687e-08,-7.216183589045484,localized/notch-amplified
