step,Delta,mechanics_epochs,phase_epochs,mechanics_substep_loss,phase_substep_loss,elastic_energy,fracture_energy,alpha_mean,alpha_max,alpha_min,alpha_gt_0p5_area_fraction,max_He_current,max_He_current_x,max_He_current_y,max_He_history,max_He_history_x,max_He_history_y,max_mechanics_drive,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,bottom_right_alpha_max,bottom_right_to_notch_alpha_ratio,notch_tip_He_current_max,bottom_right_He_current_max,bottom_right_to_notch_He_current_ratio,reaction_N_tm_eff
20,6.7e-05,50,50,-3.3724048137664795,-5.249514102935791,0.00042498757829889655,7.959889671838027e-07,0.9999973177909851,1.0000113248825073,0.9998711943626404,1.0,70198.65625,0.008692063391208649,0.006690600421279669,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000056028366089,0.9999890327453613,0.9999834300015914,12500.130859375,176.1136932373047,0.014088947965310364,-2527.51416015625
21,6.9e-05,50,50,-3.451263189315796,-5.243282794952393,0.0003499016456771642,7.959911840771383e-07,0.9999973177909851,1.0000109672546387,0.9999510645866394,1.0,49802.0078125,0.004750919993966818,0.005188946146517992,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000028610229492,0.9999889135360718,0.9999860525530265,49802.0078125,51.40449523925781,0.0010321771650811957,-1582.4984130859375
22,7.1e-05,50,50,-3.339876890182495,-5.236947059631348,0.00045381952077150345,7.959915819810703e-07,0.9999973773956299,1.0000073909759521,0.9998714327812195,1.0,29064.03515625,0.0038386485539376736,0.0058328574523329735,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000032186508179,0.9999906420707703,0.9999874234604319,15597.994140625,49.69532012939453,0.0031860071033084306,-1511.216064453125
23,7.3e-05,50,50,-3.3528618812561035,-5.230984687805176,0.00044147868175059557,7.959916388244892e-07,0.9999975562095642,1.000011682510376,0.9999270439147949,1.0,42122.86328125,0.008546000346541405,0.004896174184978008,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000052452087402,0.9999898672103882,0.9999846220823083,2486.915283203125,153.90533447265625,0.06188603830301269,-1664.147705078125
24,7.5e-05,50,50,-3.293625593185425,-5.222862243652344,0.0005080599803477526,7.959919230415835e-07,0.9999976754188538,1.0000075101852417,0.999945878982544,1.0,73567.640625,0.00502744410187006,0.005289619788527489,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.000003695487976,0.9999904632568359,0.9999867678177592,73567.640625,110.23678588867188,0.0014984412297600698,-2228.67333984375
25,7.7e-05,50,50,-3.329047679901123,-5.214989185333252,0.0004670974158216268,7.959923777889344e-07,0.9999975562095642,1.0000075101852417,0.9998747110366821,1.0,69606.453125,0.004993265029042959,0.0060688406229019165,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000027418136597,0.9999911785125732,0.9999884367306179,5465.1328125,104.64070129394531,0.0191469640142337,-2472.3505859375
26,8e-05,50,50,-3.2748236656188965,-5.2100830078125,0.0005281554185785353,7.959918661981646e-07,0.9999976754188538,1.0000083446502686,0.9999076128005981,1.0,38004.109375,0.009660117328166962,0.006548200733959675,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000050067901611,0.9999879598617554,0.9999829531569442,1840.69091796875,102.133544921875,0.055486526241234464,-2663.10693359375
27,8.3e-05,50,50,-3.32893443107605,-5.202006816864014,0.00047180510591715574,7.95992548319191e-07,0.9999976754188538,1.0000070333480835,0.9998683929443359,1.0,44363.4765625,0.002965189516544342,0.004538212902843952,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.000002145767212,0.9999911189079285,0.9999889731643776,13545.486328125,9.974292755126953,0.000736355455500845,-2710.277587890625
28,8.6e-05,50,50,-3.2290945053100586,-5.1968913078308105,0.000587636954151094,7.959924346323533e-07,0.9999978542327881,1.0000081062316895,0.9999245405197144,1.0,39067.73046875,0.007156156934797764,0.005152969621121883,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000035762786865,0.9999899864196777,0.9999864101895921,9894.9765625,185.24609375,0.018721226127209434,-1657.1942138671875
29,8.9e-05,50,50,-3.3052990436553955,-5.190878391265869,0.0004911695141345263,7.959932304402173e-07,0.9999980330467224,1.0000066757202148,0.9999507665634155,1.0,42091.453125,0.006332705728709698,0.005809728056192398,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000027418136597,0.999994158744812,0.9999914169546854,7411.205078125,5.368789196014404,0.000724415144287531,-1833.9801025390625
30,9.2e-05,50,50,-3.3725597858428955,-5.185600280761719,0.00042207317892462015,7.959935146573116e-07,0.9999980330467224,1.0000070333480835,0.9999650716781616,1.0,44790.12890625,0.006332705728709698,0.005809728056192398,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.000003457069397,0.9999863505363464,0.9999828935260877,9674.6484375,75.26715087890625,0.007779833175866371,-1905.1474609375
31,9.5e-05,50,50,-3.4645836353302,-5.1771931648254395,0.00034381021396256983,7.959931167533796e-07,0.9999978542327881,1.000006079673767,0.9999198913574219,1.0,109337.15625,0.005147519521415234,0.0052757891826331615,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000030994415283,0.9999892115592957,0.9999861121608119,109337.15625,269.271484375,0.002462762830224972,-1202.5137939453125
32,9.8e-05,50,50,-3.428004741668701,-5.1729936599731445,0.0003672245074994862,7.959937988744059e-07,0.9999983906745911,1.000006079673767,0.9999591708183289,1.0,37199.46875,0.008924026042222977,0.003829446155577898,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000026226043701,0.9999903440475464,0.999987721475378,5607.421875,59.04376983642578,0.010529575115377917,-1232.89501953125
33,0.0001,50,50,-3.4050791263580322,-5.168674468994141,0.000392366258893162,7.959934578138927e-07,0.9999980330467224,1.0000059604644775,0.9999327659606934,1.0,42093.890625,0.004025079309940338,0.0041574714705348015,109465.265625,0.006588026415556669,0.006837380584329367,109465.265625,0.006588026415556669,0.006837380584329367,1.0000022649765015,0.99998539686203,0.9999831319237343,5393.4267578125,214.24171447753906,0.0397227447591098,-1500.3702392578125
