case_id,step,alpha_min,alpha_p01,alpha_p05,alpha_p25,alpha_median,alpha_mean,alpha_p75,alpha_p95,alpha_p99,alpha_max,alpha_std,comment
B,1,-0.00022216558863874525,-0.0002032231888733804,-0.00017272004333790392,-7.335127156693488e-05,-4.520687070908025e-05,-5.587054527502278e-05,-2.644586766109569e-05,-7.965327313286252e-06,0.00012327403528615823,0.0005483329296112061,5.755029928712686e-05,Raw element alpha distribution from existing field file.
B,2,-0.0002122118603438139,-0.00018578579474706202,-0.00014472486509475857,-7.59457798267249e-05,-4.3233241740381345e-05,-4.794027619330695e-05,-2.6380062990938313e-05,-9.657662303652614e-06,0.0003301033750176325,0.0014091035118326545,0.00010005537612565412,Raw element alpha distribution from existing field file.
B,3,-0.00022225994325708598,-0.00018542143370723352,-0.000148752260429319,-7.520811413996853e-05,-3.981257032137364e-05,1.3278850913969487e-06,-2.5033792553585954e-05,0.00041636789683252573,0.0012382299406453955,0.0023020904045552015,0.00026216595654376165,Raw element alpha distribution from existing field file.
B,4,-0.0002979111741296947,-0.0002357275370741263,-0.00015855007950449362,-7.766493945382535e-05,-1.880900344986003e-05,0.0009118097721903909,0.0020234386902302504,0.0033879480324685574,0.00606051017530261,0.012969563715159893,0.001531034279827723,Raw element alpha distribution from existing field file.
B,5,-0.00045084088924340904,-0.0002800133777782321,-0.00017839720385381952,-6.14322088949848e-05,0.003625154495239258,0.0030953725052760965,0.0051982207223773,0.008183395490050316,0.018635614402592142,0.03159081190824509,0.0038197692121074095,Raw element alpha distribution from existing field file.
B,6,-0.0005693418206647038,-0.0003675544838188216,-0.0002359205245738849,-7.064923192956485e-05,0.007525335066020489,0.005864659795693541,0.009259487502276897,0.013960257638245821,0.03287198655307276,0.06150214001536369,0.006709712189409268,Raw element alpha distribution from existing field file.
B,7,-0.0006906410562805831,-0.0004535678279353306,-0.00026363089273218066,-7.381618706858717e-05,0.012043188326060772,0.009295513109126277,0.014539713971316814,0.02161313220858574,0.0525844138115644,0.10118275135755539,0.010697641950904044,Raw element alpha distribution from existing field file.
B,8,-0.0008594667888246477,-0.0006045150279533118,-0.0003367966419318691,-9.198984480462968e-05,0.017386943101882935,0.013433226788508073,0.0208494970574975,0.03125108405947685,0.08010052144527424,0.1582225263118744,0.016033070212249607,Final A/B reference distribution; peak is notch-tip dominated.
C,0,-0.0013536207843571901,-0.001311756658833474,-0.001161551452241838,-0.000559312553377822,-0.0002308890107087791,-0.0003666102705345728,-9.709930964163505e-05,-2.5306227144028526e-05,0.00017873561882879408,0.003702958580106497,0.00036875598626682235,Raw element alpha distribution from existing field file.
C,1,-0.0009433330851607025,-0.0008600103436037898,-0.0007137863722164184,-0.00028256468067411333,-0.00012766107101924717,-0.00020686504730341355,-6.76242561894469e-05,-1.25091878544481e-05,3.9957050466907024e-05,0.0028232019394636154,0.00022273617296223824,Raw element alpha distribution from existing field file.
C,2,-0.0007845980580896139,-0.0007210499141365289,-0.0005924915021751076,-0.00021307724091457203,-0.00011352443834766746,-0.00016905984502315973,-5.539926314668264e-05,-1.4512857887893915e-05,2.2552013797394366e-05,0.002120351418852806,0.0001832620564567654,Raw element alpha distribution from existing field file.
C,3,-0.0005955938249826431,-0.000552305206656456,-0.0004475728783290833,-0.00016347694327123463,-8.597279520472512e-05,-0.00012580935092926376,-4.197089219815098e-05,-1.0353565812692977e-05,6.45621566945858e-06,0.0030540204606950283,0.0001475127153587395,Raw element alpha distribution from existing field file.
C,4,-0.0003526069631334394,-0.00033637284650467336,-0.00026356651505921036,-0.0001049482889357023,-5.648899241350591e-05,-7.60360830343559e-05,-2.8406940145941917e-05,-4.857461135543417e-06,0.00014178226410876515,0.003025814425200224,0.00010763646667822595,Raw element alpha distribution from existing field file.
C,5,-0.00031582865631207824,-0.0002657580887898803,-0.00021377421217039227,-9.399716509506106e-05,-5.5282594985328615e-05,-2.649393047380948e-05,-2.4627925995446276e-05,0.00018799438839778304,0.0012588620185852038,0.003143970388919115,0.00023567076306444534,Raw element alpha distribution from existing field file.
C,6,-0.0008648628136143088,-0.0005227322224527597,-0.000354046918801032,-0.00020057345682289451,-4.674959563999437e-05,0.0011804439015010387,0.00262417399790138,0.004873891826719046,0.010646001808345292,0.016155164688825607,0.0022770872627110444,Raw element alpha distribution from existing field file.
C,7,-0.0009150944533757865,-0.00047819894680287687,-0.0003141685592709109,-0.00017876586935017258,0.0024398905225098133,0.0038101941843285587,0.00714574265293777,0.010318756569176912,0.01820198297500609,0.021993279457092285,0.004466267467033993,Raw element alpha distribution from existing field file.
C,8,-0.0008675327408127487,-0.00045500537962652745,-0.0003394456143723801,-0.00018172241107095033,0.008547703735530376,0.007065309239981253,0.011848509777337313,0.018330952152609825,0.031663579121232015,0.036508958786726,0.007286393808883737,Case C final raw alpha has a lower peak than A/B; broad low-level values require scale-aware interpretation.
