case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_everywhere,0.006,16,0.9450211524963379,0.0067362915724515915,0.008475796269097972,0.0358939552814137,0.0016330885415410537,0.012840752557268242,1.3214912001176564e-09,0.9997801438931787,99.97801438931788
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_everywhere,0.007,15,0.9282617568969727,0.010006118565797806,0.00829085377090594,0.028693918279047548,0.0027612479076912218,0.011042849613077221,1.3417358233883445e-09,0.9997499148824006,99.97499148824006
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_everywhere,0.008,15,0.9417313933372498,0.007533840835094452,0.009541560664640406,0.042840446499328166,0.0016805756716175748,0.007275494259691373,1.398590915876192e-09,0.9997349484991671,99.9734948499167
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,full_degradation_everywhere,0.009,17,0.9347349405288696,0.008576799184083939,0.011183423752713799,0.04954748533363329,0.0018535250111402623,0.009380566750822994,1.7086592027277769e-09,0.9996368746652076,99.96368746652075
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.006,16,0.9450211524963379,0.0067362915724515915,0.008475796269097972,0.0358939552814137,0.0016330885415410537,0.012840752557268242,1.3214912001176564e-09,0.9997801438931787,99.97801438931788
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.007,15,0.9282617568969727,0.010006118565797806,0.00829085377090594,0.028693918279047548,0.0027612479076912218,0.011042849613077221,1.3417358233883445e-09,0.9997499148824006,99.97499148824006
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.008,15,0.9417313933372498,0.007533840835094452,0.009541560664640406,0.042840446499328166,0.0016805756716175748,0.007275494259691373,1.398590915876192e-09,0.9997349484991671,99.9734948499167
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.009,17,0.9347349405288696,0.008576799184083939,0.011183423752713799,0.04954748533363329,0.0018535250111402623,0.009380566750822994,1.7086592027277769e-09,0.9996368746652076,99.96368746652075
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,0.006,16,0.9450211524963379,0.0067362915724515915,0.015890475570094462,0.0608222569081871,0.0011881235428082464,0.007920498870241377,2.38835376914685e-09,0.999602650277694,99.9602650277694
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,0.007,15,0.9282617568969727,0.010006118565797806,0.016847384584648892,0.04892245371831194,0.0019941171074467187,0.00693372960383265,2.4501777018265414e-09,0.9995433132454099,99.95433132454099
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,0.008,15,0.9417313933372498,0.007533840835094452,0.01686995136856478,0.06920669892914333,0.0013100104070761153,0.005499998077694301,2.407760793933378e-09,0.9995436974423083,99.95436974423083
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,minus_removed_in_crack_band,0.009,17,0.9347349405288696,0.008576799184083939,0.019702834306757688,0.07954846143687178,0.0015014685534088543,0.007337296791124159,2.9478513066237115e-09,0.9993735207752797,99.93735207752798
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,void_crack_band,0.006,16,0.9450211524963379,0.0067362915724515915,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,void_crack_band,0.007,15,0.9282617568969727,0.010006118565797806,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,void_crack_band,0.008,15,0.9417313933372498,0.007533840835094452,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,void_crack_band,0.009,17,0.9347349405288696,0.008576799184083939,0.0,0.0,0.0,0.0,0.0,1.0,100.0
