case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_everywhere,0.006,16,0.932589590549469,0.009548932313919067,0.010520925625368778,0.038966856627364876,0.0019121055705414044,0.009737480293818157,1.6557612611437173e-09,0.9997157343364456,99.97157343364455
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_everywhere,0.007,17,0.9400461912155151,0.009159034118056297,0.008327079184922098,0.03881816401078586,0.0013886180909191829,0.008177693417708853,1.5915212275056065e-09,0.9997312495808803,99.97312495808804
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_everywhere,0.008,16,0.9323093891143799,0.010228876955807209,0.012461659237463289,0.07689172318294002,0.0014607301065871184,0.006517534838908823,1.941588750093224e-09,0.9996081794245749,99.9608179424575
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_everywhere,0.009,15,0.9342998266220093,0.008393784053623676,0.009993256319053212,0.02649312630752032,0.0014618202094059025,0.007891179921034552,1.2892294615375838e-09,0.9997131799623953,99.97131799623953
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.006,16,0.932589590549469,0.009548932313919067,0.010520925625368778,0.038966856627364876,0.0019121055705414044,0.009737480293818157,1.6557612611437173e-09,0.9997157343364456,99.97157343364455
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.007,17,0.9400461912155151,0.009159034118056297,0.008327079184922098,0.03881816401078586,0.0013886180909191829,0.008177693417708853,1.5915212275056065e-09,0.9997312495808803,99.97312495808804
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.008,16,0.9323093891143799,0.010228876955807209,0.012461659237463289,0.07689172318294002,0.0014607301065871184,0.006517534838908823,1.941588750093224e-09,0.9996081794245749,99.9608179424575
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.009,15,0.9342998266220093,0.008393784053623676,0.009993256319053212,0.02649312630752032,0.0014618202094059025,0.007891179921034552,1.2892294615375838e-09,0.9997131799623953,99.97131799623953
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,0.006,16,0.932589590549469,0.009548932313919067,0.019156862282271814,0.06492702498388958,0.0014787370565435562,0.007875018771497988,2.9417750071762763e-09,0.9994949479468646,99.94949479468646
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,0.007,17,0.9400461912155151,0.009159034118056297,0.014487903092195817,0.06485848431750973,0.0012034113118339234,0.006910947390927069,2.731160947540586e-09,0.999538805617764,99.9538805617764
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,0.008,16,0.9323093891143799,0.010228876955807209,0.020689306558974295,0.12385829579094576,0.0013885118642513366,0.006146182187717342,3.2012057374409133e-09,0.9993539835487624,99.93539835487624
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,0.009,15,0.9342998266220093,0.008393784053623676,0.01716782456102425,0.04507664098089137,0.0012578710142199356,0.006258495010473153,2.1845028943730767e-09,0.9995140048990466,99.95140048990466
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,void_crack_band,0.006,16,0.932589590549469,0.009548932313919067,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,void_crack_band,0.007,17,0.9400461912155151,0.009159034118056297,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,void_crack_band,0.008,16,0.9323093891143799,0.010228876955807209,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,void_crack_band,0.009,15,0.9342998266220093,0.008393784053623676,0.0,0.0,0.0,0.0,0.0,1.0,100.0
