case,seed,state,variant,cut_x,v_jump_proxy,u_jump_proxy
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_degraded_in_crack_band,0.008,2.3065408640832175e-05,-9.804995803780655e-07
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_degraded_in_crack_band,0.009,1.88780889630489e-05,-1.4488940889923715e-06
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_removed_in_crack_band,0.006,3.465186301118063e-05,-6.753398681197894e-08
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_removed_in_crack_band,0.007,2.8161316009557515e-05,-3.7924267066009754e-07
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_removed_in_crack_band,0.008,2.3065408640832175e-05,-9.804995803780655e-07
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_removed_in_crack_band,0.009,1.88780889630489e-05,-1.4488940889923715e-06
D0040_seed13_default_unitbox,13,final_D0040,baseline_current_split,0.006,0.00018578831209293477,-4.28174187542633e-06
D0040_seed13_default_unitbox,13,final_D0040,baseline_current_split,0.007,0.00017952906118470882,-5.583032448073398e-06
D0040_seed13_default_unitbox,13,final_D0040,baseline_current_split,0.008,0.00017644357633579257,-6.657665957046166e-06
D0040_seed13_default_unitbox,13,final_D0040,baseline_current_split,0.009,0.00017299974243565559,-6.9642537482650365e-06
D0040_seed13_default_unitbox,13,final_D0040,full_degradation_all_energy,0.006,0.00018578831209293477,-4.28174187542633e-06
D0040_seed13_default_unitbox,13,final_D0040,full_degradation_all_energy,0.007,0.00017952906118470882,-5.583032448073398e-06
D0040_seed13_default_unitbox,13,final_D0040,full_degradation_all_energy,0.008,0.00017644357633579257,-6.657665957046166e-06
D0040_seed13_default_unitbox,13,final_D0040,full_degradation_all_energy,0.009,0.00017299974243565559,-6.9642537482650365e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_degraded_in_crack_band,0.006,0.00018578831209293477,-4.28174187542633e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_degraded_in_crack_band,0.007,0.00017952906118470882,-5.583032448073398e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_degraded_in_crack_band,0.008,0.00017644357633579257,-6.657665957046166e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_degraded_in_crack_band,0.009,0.00017299974243565559,-6.9642537482650365e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_removed_in_crack_band,0.006,0.00018578831209293477,-4.28174187542633e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_removed_in_crack_band,0.007,0.00017952906118470882,-5.583032448073398e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_removed_in_crack_band,0.008,0.00017644357633579257,-6.657665957046166e-06
D0040_seed13_default_unitbox,13,final_D0040,minus_removed_in_crack_band,0.009,0.00017299974243565559,-6.9642537482650365e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,baseline_current_split,0.006,3.526545294843965e-05,2.1531132613085478e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,baseline_current_split,0.007,2.8375637433994415e-05,8.427954593638857e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,baseline_current_split,0.008,2.3142616033986355e-05,-4.93691146324616e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,baseline_current_split,0.009,1.8797836074244826e-05,-1.5055948521906409e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,full_degradation_all_energy,0.006,3.526545294843965e-05,2.1531132613085478e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,full_degradation_all_energy,0.007,2.8375637433994415e-05,8.427954593638857e-07
