seed,step,Delta,strain,checkpoint,history_source,R_energy_exact_N,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,mechanics_current_energy_kNmm,history_elastic_energy_kNmm,phase_history_total_energy_kNmm,legacy_top_sigma_integral_N,saved_field_legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_element_count,internal_cut_below_element_count,whole_boundary_residual_magnitude_N,alpha_mean,alpha_max,saved_field_alpha_max,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span
7,10,4.7e-05,0.004699999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0010.pt,checkpoint_step_0009_post_history,0.8521633571945131,5.9191947343606444e-08,4.0480955476596137e-08,1.8710993643367146e-08,3.928777303485731e-08,4.0480955476596137e-08,5.9189485313027035e-08,0.713109034451995,0.7131088285804633,-1.1435436726918995,0.6550865805540644,0.8758528695044606,147,150,1.52350213296552,0.10219351947307587,1.00108802318573,1.00108802318573,False,98,0.005021084565669298,0.008169160224497318,0.005054089620861472,0.00314807565882802
7,11,4.9e-05,0.0049,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0011.pt,checkpoint_step_0010_post_history,0.6778757669962943,6.068513158652422e-08,4.056213143144305e-08,2.012300193143801e-08,3.9142207697295817e-08,4.056213143144305e-08,6.068306390716316e-08,0.7150352924186576,0.7150322508260157,-1.1426244606118396,0.6148575608660783,0.8338161278639373,148,151,1.646876969462463,0.10571971535682678,1.0010566711425781,1.0010566711425781,False,112,0.005021084565669298,0.008592769503593445,0.005063980747114069,0.0035716849379241467
7,12,5.1e-05,0.0050999999999999995,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0012.pt,checkpoint_step_0011_post_history,0.4787435755133629,6.18320683543061e-08,4.038785306192949e-08,2.1444213516019772e-08,3.868529674377896e-08,4.038785306192949e-08,6.182990830438939e-08,0.7128576245015877,0.7128582664111426,-1.1384218580423728,0.5595802526562701,0.823826166394214,148,151,1.9415466301867506,0.10836422443389893,1.0011094808578491,1.0011094808578491,False,123,0.005021084565669298,0.008982125669717789,0.00506967011596856,0.0039610411040484905
7,13,5.3e-05,0.0053,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0013.pt,checkpoint_step_0012_post_history,0.26796056772582233,6.26195841846311e-08,4.003392461982003e-08,2.2585659564811067e-08,3.7861010326878386e-08,4.003392461982003e-08,6.261753071612475e-08,0.7155700145182586,0.7155696064505835,-1.138536508082814,0.5621028220983304,0.777763399013622,149,150,2.1835628971192382,0.11018272489309311,1.001179575920105,1.001179575920105,False,133,0.005021084565669298,0.009401872754096985,0.0050799189786657805,0.004380788188427687
7,14,5.5e-05,0.0055,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0014.pt,checkpoint_step_0013_post_history,0.15983432240318507,6.307046618303502e-08,3.968812833932134e-08,2.3382336067356846e-08,3.7100203797990616e-08,3.968812833932134e-08,6.306823507884474e-08,0.7072643097513112,0.7072629693601249,-1.1384542984101476,0.5254806035046921,0.7555324579148656,149,151,2.4018087489416846,0.11129926890134811,1.001191258430481,1.001191258430481,True,151,0.005021084565669298,0.009910178370773792,0.005091150146323126,0.004889093805104494
7,15,5.7e-05,0.0057,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0015.pt,checkpoint_step_0014_post_history,0.11356449977029115,6.329246104996855e-08,3.94800778735771e-08,2.381238495274829e-08,3.683830840373048e-08,3.94800778735771e-08,6.329059942800086e-08,0.7041526593297722,0.704153397087716,-1.1385741505852125,0.5167802519474988,0.7395441376390316,149,152,2.694386850936695,0.1117127537727356,1.0011950731277466,1.0011951923370361,True,154,0.005021084565669298,0.009951230138540268,0.005093268829385762,0.00493014557287097
7,16,5.9e-05,0.0059,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0016.pt,checkpoint_step_0015_post_history,0.07449211261700839,6.345304370825033e-08,3.932247949478551e-08,2.4130565989821662e-08,3.615069132933968e-08,3.932247949478551e-08,6.345054259782046e-08,0.688694490752876,0.6886949317820551,-1.138462204576597,0.46451134154459867,0.7377947511751924,149,153,2.8934774001284795,0.11222781240940094,1.001208782196045,1.001208782196045,True,153,0.005021084565669298,0.009951230138540268,0.005094416655624419,0.00493014557287097
7,17,6.1e-05,0.0060999999999999995,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0017.pt,checkpoint_step_0016_post_history,0.03537354859872721,6.355419657211314e-08,3.920910174315395e-08,2.4345091276245512e-08,3.5596986691643906e-08,3.920910174315395e-08,6.355210757647001e-08,0.6926931438529224,0.692692500707405,-1.1422028621878149,0.4760615156541447,0.7168713220325532,149,152,3.0690757356642187,0.11238057911396027,1.0012792348861694,1.0012792348861694,True,155,0.005021084565669298,0.009951230138540268,0.005093097254153221,0.00493014557287097
7,18,6.3e-05,0.0063,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0018.pt,checkpoint_step_0017_post_history,0.034555829188320786,6.362840565543593e-08,3.91402998900503e-08,2.4488102212671947e-08,3.536649018087701e-08,3.91402998900503e-08,6.362617455124564e-08,0.6808268873507809,0.6808298386039698,-1.142288097458381,0.4506149878683711,0.6644983939636251,149,154,3.267164855429521,0.11252077668905258,1.0013314485549927,1.0013314485549927,True,159,0.005021084565669298,0.009951230138540268,0.005095891147828514,0.00493014557287097
7,19,6.5e-05,0.0065,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0019.pt,checkpoint_step_0018_post_history,0.03771288902498782,6.367402249907173e-08,3.908876067271194e-08,2.4585261826359783e-08,3.4467017684391976e-08,3.908876067271194e-08,6.367217508795875e-08,0.7012078391452883,0.7012043757700963,-1.1359143628219817,0.4615015362268302,0.6279197043908142,149,154,3.448428192238085,0.11256856471300125,1.0013574361801147,1.0013574361801147,True,161,0.005021084565669298,0.009958948008716106,0.005096363777190632,0.004937863443046808
