case,schedule_name,step_count,final_Delta_s,training_settings,continued_from_S0050,final_engineering_shear_strain,peak_nominal_shear_stress_MPa,peak_step,final_nominal_shear_stress_MPa,post_peak_drop_MPa,post_peak_drop_percent,final_alpha_max,alpha_max_location,first_alpha_ge_0p3_notch_connected_step,first_alpha_ge_0p5_notch_connected_step,first_alpha_ge_0p8_notch_connected_step,first_alpha_ge_0p95_notch_connected_step,first_alpha_ge_0p3_right_boundary_step,first_alpha_ge_0p5_right_boundary_step,first_alpha_ge_0p8_right_boundary_step,first_alpha_ge_0p95_right_boundary_step,final_alpha_ge_0p3_x_span,final_alpha_ge_0p5_x_span,final_alpha_ge_0p8_x_span,final_alpha_ge_0p95_x_span,final_HII_over_HI_peak_ratio,final_mechanics_drive_max_location,drive_location_classification,final_top_v_absmax_over_Delta_s,classification
S0050,load_schedules/load_schedule_S0050_shear.csv,33,8e-05,"RPROP=300, LBFGS=1",baseline,0.008,29.964742134325206,24,28.4379260847345,1.5268160495907068,5.0953752338209135,1.000342845916748,"(0.005083784, 0.0049602254)",20,22,25,28,,,,,0.0009496193379163742,0.0007236707024276257,0.0003841365687549114,0.00018272222951054573,0.5973975735795766,"(0.0050444971, 0.0049571055)",notch-dominated,1.083361257769866,shear extension successful with crack growth
S0070,load_schedules/load_schedule_S0070_shear.csv,43,0.0001,"RPROP=300, LBFGS=1",False,0.01,29.964742134325206,24,23.070974566508085,6.893767567817122,23.006263617800915,1.0009106397628784,"(0.005083784, 0.0049602254)",20,22,25,28,,,,,0.0014376137405633926,0.0011669909581542015,0.0008958587422966957,0.0004638279788196087,0.627436529888953,"(0.005083784, 0.0049602254)",notch-dominated,1.135311540565,shear extension shows propagating crack
