step,Delta,Delta_s,loss_total,loss_log10,elastic_energy,fracture_energy,mechanics_current_energy,phase_history_elastic_energy,phase_history_energy,alpha_step_change_mean,alpha_step_change_max
0,1e-06,1e-06,2.4029147329337488e-12,-11.619261639796754,2.3955347254467348e-12,7.380007487013587e-15,2.3955347254467348e-12,1.6241801740340957e-12,1.6315603382222046e-12,8.416584751103073e-05,0.0003178826300427
1,3e-06,3e-06,2.3645998792568164e-11,-10.626242336927062,2.3637187693270608e-11,8.811099297552881e-15,2.3637026363987342e-11,2.045660515981318e-11,2.0465417555071138e-11,4.491512299864553e-05,0.0002792763116303
2,5e-06,5e-06,6.835083652293275e-11,-10.165256165879326,6.833583698906409e-11,1.499953386865406e-14,6.833356103186361e-11,6.146598507950074e-11,6.148098002922707e-11,5.193361357669346e-05,0.0028654811903834
3,7e-06,7e-06,1.3688243911963308e-10,-9.863652264668303,1.368377355870365e-10,4.4703532596588463e-14,1.3683149058252295e-10,1.2493665824120368e-10,1.2498135859573267e-10,5.194653567741625e-05,0.0025269037578254
4,1e-05,1e-05,2.840573020535366e-10,-9.546594042152268,2.838754509237873e-10,1.818511297492845e-13,2.8386368255972627e-10,2.6193042179656345e-10,2.6211227632799705e-10,0.0001289443025598,0.0032888352870941
5,1.2e-05,1.2e-05,4.117319578268892e-10,-9.38538542260848,4.11314482473557e-10,4.174753533321696e-13,4.112901685893177e-10,3.811266857667306e-10,3.8154412962398965e-10,0.0001463493535993,0.0035224752500653
6,1.5e-05,1.5e-05,6.475333635177354e-10,-9.188737850075496,6.463128920941584e-10,1.220471423576952e-12,6.46262376946538e-10,6.013096687240703e-10,6.025300813838895e-10,0.0003865750040858,0.0055195493623614
7,1.7e-05,1.7e-05,8.33970191516098e-10,-9.078849472013852,8.318621347314091e-10,2.108056784688728e-12,8.317686539527357e-10,7.75467079439096e-10,7.77575115407103e-10,0.0002866502909455,0.005459020845592
8,2e-05,2e-05,1.1569414766487982e-09,-8.936688609078775,1.1524435850063242e-09,4.497891642474272e-12,1.1522955922771414e-09,1.0767887692608722e-09,1.0812866158005363e-09,0.0005386731936596,0.01088397949934
9,2.2e-05,2.2e-05,1.4018319417601064e-09,-8.853304048524175,1.3949389421341607e-09,6.892999625945917e-12,1.3946933608011134e-09,1.3051276726017136e-09,1.3120207142947036e-09,0.0008163579041138,0.0061451401561498
10,2.5e-05,2.5e-05,1.8109578099265167e-09,-8.742091667372048,1.7984929101544367e-09,1.2464899772079983e-11,1.7982331179666742e-09,1.6849744932656563e-09,1.6974393002300303e-09,0.0008965642191469,0.016840361058712
11,2.7e-05,2.7e-05,2.113270280990065e-09,-8.675044954421491,2.096052442723817e-09,1.721783826624801e-11,2.095577933403092e-09,1.965609008891533e-09,1.9828267916466302e-09,0.0007970863953232,0.012809794396162
12,3e-05,3e-05,2.6067834679038837e-09,-8.583895041942544,2.579304547722927e-09,2.7478920180956656e-11,2.578715241341456e-09,2.4217303717932732e-09,2.449209279831166e-09,0.0009903403697535,0.0283719003200531
13,3.2e-05,3.2e-05,2.963263644878422e-09,-8.52822970713549,2.926777487033405e-09,3.648615784501708e-11,2.9260409650788692e-09,2.749651173417078e-09,2.786137542898359e-09,0.000834786624182,0.0116904377937316
14,3.5e-05,3.5e-05,3.539682512376796e-09,-8.451035689755646,3.484788457797094e-09,5.4894054579701645e-11,3.483729749120812e-09,3.276987792233399e-09,3.33188188150757e-09,0.0011665298370644,0.0300184488296508
15,3.7e-05,3.7e-05,3.951157817594364e-09,-8.403275623332586,3.882584920233967e-09,6.857289736039718e-11,3.881248211712318e-09,3.654037072919891e-09,3.722609998035864e-09,0.0008869510493241,0.0164237916469573
16,4e-05,4e-05,4.606043768617951e-09,-8.336671939498373,4.508484252596645e-09,9.755951602130608e-11,4.507104023332431e-09,4.2461651972303124e-09,4.343724047117803e-09,0.001278682029806,0.0375585258007049
17,4.2e-05,4.2e-05,5.069117514633348e-09,-8.295067640643785,4.947868781357556e-09,1.2124873327579166e-10,4.946234533065308e-09,4.663006869520814e-09,4.784255214218547e-09,0.0009997679153457,0.0293486565351486
18,4.5e-05,4.5e-05,5.8011547787728546e-09,-8.236485547104333,5.635177657836721e-09,1.6597712093613382e-10,5.6326219244340345e-09,5.315799356253592e-09,5.4817763661674235e-09,0.0014839553041383,0.0464557856321334
19,4.7e-05,4.7e-05,6.313788186718128e-09,-8.19970999179485,6.1104037385462115e-09,2.0338444817191714e-10,6.107227612517363e-09,5.768391986293864e-09,5.971776406710205e-09,0.001118661952205,0.0383224040269851
20,5e-05,5e-05,7.113058836383246e-09,-8.147943598976703,6.8353243065644165e-09,2.7773452981882935e-10,6.831775145599295e-09,6.4571601399165965e-09,6.734895308113664e-09,0.0016832068795338,0.0670268535614013
21,5.2e-05,5.2e-05,7.669156587564174e-09,-8.115252394787312,7.332764173639816e-09,3.3639241392435787e-10,7.328407658491187e-09,6.932771690060235e-09,7.2691639374511405e-09,0.0012520495802164,0.0451315343379974
22,5.5e-05,5.5e-05,8.529992101546924e-09,-8.069051370972709,8.065617507213574e-09,4.643745943333499e-10,8.060276002197497e-09,7.632951160019275e-09,8.097326364975288e-09,0.0019474776927381,0.1029304563999176
23,5.7e-05,5.7e-05,9.121049082683186e-09,-8.03995520721789,8.549070784624746e-09,5.719782980584397e-10,8.542226481722537e-09,8.098759884944684e-09,8.670737905447368e-09,0.0014302514027804,0.0732007026672363
24,6e-05,6e-05,1.0016860119144157e-08,-7.999268390906808,9.206592821442428e-09,8.102672977017277e-10,9.197024475326998e-09,8.729172940036278e-09,9.539439460581889e-09,0.0024147466756403,0.1461905241012573
25,6.2e-05,6.2e-05,1.0624169766160207e-08,-7.973704998224784,9.63915702811846e-09,9.850127380417462e-10,9.625380492650493e-09,9.151948532348795e-09,1.0136960604256728e-08,0.0017661717720329,0.0893092155456543
26,6.5e-05,6.5e-05,1.1512235054134123e-08,-7.9388403516573405,1.022246820525652e-08,1.2897668488776046e-09,1.0199736166782714e-08,9.716162097106462e-09,1.1005928612917161e-08,0.0023699298035353,0.1303865313529968
27,6.7e-05,6.7e-05,1.2116193270905741e-08,-7.916633807655258,1.0642955849959891e-08,1.4732374209458499e-09,1.0612911438556694e-08,1.0129400429548241e-08,1.1602637961516392e-08,0.0017637388082221,0.0648478269577026
28,7e-05,7e-05,1.299540952626188e-08,-7.886210029961098,1.1214833506301149e-08,1.7805760199607332e-09,1.1170833147389205e-08,1.0685532458865056e-08,1.24661090339373e-08,0.0023020498920232,0.1179924011230468
29,7.2e-05,7.2e-05,1.359361778696666e-08,-7.866664945340997,1.1621191120525511e-08,1.972426666441152e-09,1.1563758839372442e-08,1.1088491014277224e-08,1.3060917680718376e-08,0.0016940231435,0.0695106983184814
30,7.5e-05,7.5e-05,1.4471057241394192e-08,-7.839499738588603,1.217238398965037e-08,2.298673251743821e-09,1.2100414892302071e-08,1.1629085250319804e-08,1.3927758502063624e-08,0.0022574223112314,0.1138488054275512
31,7.7e-05,7.7e-05,1.5066276670694382e-08,-7.821994061631124,1.25372574544258e-08,2.5290192162685803e-09,1.2435680929456794e-08,1.1997247639783382e-08,1.4526267300141173e-08,0.0016682575223967,0.0782110095024108
