step,Delta_s,engineering_shear_strain,alpha_ge_0p3_notch_connected_component_count,alpha_ge_0p3_notch_connected_x_span,alpha_ge_0p3_notch_connected_y_span,alpha_ge_0p3_notch_connected_area_fraction,alpha_ge_0p3_component_min_x,alpha_ge_0p3_component_max_x,alpha_ge_0p3_component_min_y,alpha_ge_0p3_component_max_y,alpha_ge_0p3_component_centroid_x,alpha_ge_0p3_component_centroid_y,alpha_ge_0p3_component_mean_y,alpha_ge_0p3_reaches_right_boundary,alpha_ge_0p3_reaches_top_boundary,alpha_ge_0p3_reaches_bottom_boundary,alpha_ge_0p3_crack_angle_deg,alpha_ge_0p3_principal_direction_angle_deg,alpha_ge_0p5_notch_connected_component_count,alpha_ge_0p5_notch_connected_x_span,alpha_ge_0p5_notch_connected_y_span,alpha_ge_0p5_notch_connected_area_fraction,alpha_ge_0p5_component_min_x,alpha_ge_0p5_component_max_x,alpha_ge_0p5_component_min_y,alpha_ge_0p5_component_max_y,alpha_ge_0p5_component_centroid_x,alpha_ge_0p5_component_centroid_y,alpha_ge_0p5_component_mean_y,alpha_ge_0p5_reaches_right_boundary,alpha_ge_0p5_reaches_top_boundary,alpha_ge_0p5_reaches_bottom_boundary,alpha_ge_0p5_crack_angle_deg,alpha_ge_0p5_principal_direction_angle_deg,alpha_ge_0p8_notch_connected_component_count,alpha_ge_0p8_notch_connected_x_span,alpha_ge_0p8_notch_connected_y_span,alpha_ge_0p8_notch_connected_area_fraction,alpha_ge_0p8_component_min_x,alpha_ge_0p8_component_max_x,alpha_ge_0p8_component_min_y,alpha_ge_0p8_component_max_y,alpha_ge_0p8_component_centroid_x,alpha_ge_0p8_component_centroid_y,alpha_ge_0p8_component_mean_y,alpha_ge_0p8_reaches_right_boundary,alpha_ge_0p8_reaches_top_boundary,alpha_ge_0p8_reaches_bottom_boundary,alpha_ge_0p8_crack_angle_deg,alpha_ge_0p8_principal_direction_angle_deg,alpha_ge_0p95_notch_connected_component_count,alpha_ge_0p95_notch_connected_x_span,alpha_ge_0p95_notch_connected_y_span,alpha_ge_0p95_notch_connected_area_fraction,alpha_ge_0p95_component_min_x,alpha_ge_0p95_component_max_x,alpha_ge_0p95_component_min_y,alpha_ge_0p95_component_max_y,alpha_ge_0p95_component_centroid_x,alpha_ge_0p95_component_centroid_y,alpha_ge_0p95_component_mean_y,alpha_ge_0p95_reaches_right_boundary,alpha_ge_0p95_reaches_top_boundary,alpha_ge_0p95_reaches_bottom_boundary,alpha_ge_0p95_crack_angle_deg,alpha_ge_0p95_principal_direction_angle_deg
10,2.5e-05,0.0025,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
11,2.7e-05,0.0026999999999999,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
12,3e-05,0.003,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
13,3.2e-05,0.0031999999999999,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
14,3.5e-05,0.0034999999999999,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
15,3.7e-05,0.0036999999999999,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
16,4e-05,0.004,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
17,4.2e-05,0.0042,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
18,4.5e-05,0.0045,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
19,4.7e-05,0.0046999999999999,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
20,5e-05,0.005,7,0.00015190336853265762,0.00010145921260118484,0.0001844493915920278,0.004947827197611332,0.0050997305661439896,0.004897184669971466,0.004998643882572651,0.005031458102166653,0.004949060468269246,0.004949060468269246,False,False,False,-58.30227482359112,30.870226486982432,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
21,5.2e-05,0.0052,14,0.00022599706426262856,0.00017940159887075424,0.0003854571952351179,0.0049160742200911045,0.005142071284353733,0.004860675893723965,0.005040077492594719,0.005040148173325828,0.004947022800999028,0.004947022800999028,False,False,False,-52.84374139328234,35.32889100141634,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
22,5.5e-05,0.0055,24,0.0003256211057305336,0.0003077881410717964,0.0007927928104922422,0.00487818568944931,0.005203806795179844,0.004783461801707745,0.005091249942779541,0.0050504901058351,0.004933095769956708,0.004933095769956708,False,False,False,-52.95951821495066,48.69979148543024,1,0.0,0.0,2.4035344665276506e-05,0.005044497083872557,0.005044497083872557,0.004957105498760939,0.004957105498760939,0.005044497083872557,0.004957105498760939,0.004957105498760939,False,False,False,-43.94943053592187,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
23,5.7e-05,0.0057,28,0.00033863354474306107,0.0003185980021953583,0.0009835487195369891,0.00487818568944931,0.005216819234192371,0.004783461801707745,0.005102059803903103,0.005067632417194545,0.004935637399155114,0.004935637399155114,False,False,False,-43.58094365393615,50.799714006861045,6,0.0001359567977488041,0.00010145921260118484,0.00016816424154716497,0.004947827197611332,0.005083783995360136,0.004897184669971466,0.004998643882572651,0.00502007935817043,0.0049420232729365425,0.0049420232729365425,False,False,False,-70.89725000542116,29.980285396107774,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
24,6e-05,0.006,42,0.0004527084529399872,0.00040670065209269524,0.0015829486258882276,0.004827979952096939,0.005280688405036926,0.004721555858850479,0.005128256510943174,0.005067221565349471,0.004935361788652483,0.004935361788652483,False,False,False,-43.87762324786646,51.527675759947236,14,0.00020400667563080788,0.00017940159887075424,0.0003872038871503981,0.004947827197611332,0.00515183387324214,0.004860675893723965,0.005040077492594719,0.005056988148550902,0.004950107208320073,0.004950107208320073,False,False,False,-41.20195732778109,34.14752859743166,0,0.0,0.0,0.0,,,,,,,,False,False,False,,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
25,6.2e-05,0.0062,50,0.0005211560055613518,0.0004350971430540085,0.0020246494122766355,0.004827979952096939,0.005349135957658291,0.004693159367889166,0.005128256510943174,0.005094190128147602,0.004922565389424562,0.004922565389424562,False,False,False,-39.42395271652282,43.988752611618224,18,0.00025597959756851196,0.00022924738004803658,0.0005679388698924516,0.004947827197611332,0.005203806795179844,0.004828140139579773,0.0050573875196278095,0.005075948183528251,0.00495171254604227,0.00495171254604227,False,False,False,-32.44798520297002,38.683328460889754,1,0.0,0.0,2.4035344665276506e-05,0.005044497083872557,0.005044497083872557,0.004957105498760939,0.004957105498760939,0.005044497083872557,0.004957105498760939,0.004957105498760939,False,False,False,-43.94943053592187,,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
26,6.5e-05,0.0065,57,0.0005772411823272705,0.00048448471352458,0.0024650240247789256,0.004827979952096939,0.00540522113442421,0.004693159367889166,0.005177644081413746,0.005107412588570202,0.004920584092472206,0.004920584092472206,False,False,False,-36.4775105787694,25.095167117206216,26,0.0003392668440937996,0.0003077881410717964,0.0009405718769957039,0.0049160742200911045,0.005255341064184904,0.004783461801707745,0.005091249942779541,0.005093612224580004,0.004945388618999949,0.004945388618999949,False,False,False,-30.258377938095876,26.29869137602057,6,9.073643013834953e-05,9.17990691959858e-05,0.0001492487148089376,0.005021084565669298,0.005111820995807648,0.004906844813376665,0.004998643882572651,0.005065316800028086,0.004955752364670237,0.004955752364670237,False,False,False,-34.11493640228699,-33.59042466913681,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
27,6.7e-05,0.0067,62,0.0005772411823272705,0.000553665217012167,0.0027477925989734704,0.004827979952096939,0.00540522113442421,0.004624305758625269,0.005177970975637436,0.005116174425629358,0.004915343792808633,0.004915343792808633,False,False,False,-36.08079229458305,50.716819207987776,28,0.00036461418494582176,0.0003185980021953583,0.0010271373357508599,0.0049160742200911045,0.005280688405036926,0.004783461801707745,0.005102059803903103,0.005100889347626695,0.004946858339410808,0.004946858339410808,False,False,False,-27.777217257541295,7.411209545360322,8,0.00013074930757284164,9.17990691959858e-05,0.00020407068096519264,0.005021084565669298,0.00515183387324214,0.004906844813376665,0.004998643882572651,0.005085725744720548,0.004957436060067266,0.004957436060067266,False,False,False,-26.40499241913133,0.05621185269208695,0,0.0,0.0,0.0,,,,,,,,False,False,False,,
28,7e-05,0.0069999999999999,71,0.0007053734734654427,0.0005825948901474476,0.00357606892719353,0.004827979952096939,0.005533353425562382,0.004595376085489988,0.005177970975637436,0.005155021370664029,0.004903930213144967,0.004903930213144967,False,False,False,-31.78730787454015,-13.933760145916466,36,0.0004473598673939705,0.0003842078149318695,0.001518668365356574,0.0049160742200911045,0.005363434087485075,0.004717851988971233,0.005102059803903103,0.00512652229776399,0.004913931699573166,0.004913931699573166,False,False,False,-34.2259624805049,-28.805897874668915,11,0.00018272222951054573,0.0001472574658691883,0.0003290884995130269,0.005021084565669298,0.005203806795179844,0.004882340785115957,0.005029598250985146,0.005095911085266958,0.004953552630137314,0.004953552630137314,False,False,False,-25.839760661827626,-18.956713501019777,2,3.9286911487579346e-05,3.119930624961853e-06,4.211040679166254e-05,0.005044497083872557,0.005083783995360136,0.004957105498760939,0.0049602254293859005,0.005064140539616346,0.00495866546407342,0.00495866546407342,False,False,False,-32.79922926647009,4.540557660789432
29,7.2e-05,0.0072,74,0.0007053734734654427,0.0006212592124938965,0.003811426389373732,0.004827979952096939,0.005533353425562382,0.004556711763143539,0.005177970975637436,0.005159407803738439,0.004891057001628183,0.004891057001628183,False,False,False,-34.34960898081541,-28.32299154331716,39,0.0004891469143331051,0.0003842078149318695,0.0016652434645344956,0.0049160742200911045,0.00540522113442421,0.004717851988971233,0.005102059803903103,0.005139164662418457,0.00491993548348546,0.00491993548348546,False,False,False,-29.912772613821048,-23.976607366576815,13,0.0001957346685230732,0.00018751667812466621,0.0004229931772369201,0.005021084565669298,0.005216819234192371,0.004852560814470053,0.005040077492594719,0.005101368225251253,0.0049524397875827094,0.0049524397875827094,False,False,False,-25.135154868677432,-38.77230380689278,3,6.732391193509102e-05,3.9814505726099014e-05,6.697976505363389e-05,0.005044497083872557,0.005111820995807648,0.0049204109236598015,0.0049602254293859005,0.005080034025013447,0.004945913950602214,0.004945913950602214,False,False,False,-34.05036334194966,-30.247484185040037
30,7.5e-05,0.0074999999999999,81,0.0008418443612754345,0.0006472645327448845,0.004374639739030723,0.004827979952096939,0.005669824313372374,0.004556711763143539,0.005203976295888424,0.005185971467721241,0.00488259693906631,0.00488259693906631,False,False,False,-32.26405768284532,-23.039464824500897,44,0.0005688383243978024,0.0004708012565970421,0.0021050135533295907,0.0049160742200911045,0.005484912544488907,0.004631258547306061,0.005102059803903103,0.005169021283191713,0.004901902623135935,0.004901902623135935,False,False,False,-30.130226294841908,-31.644624992782354,15,0.0002596038393676281,0.00021020788699388504,0.0005371715428400623,0.005021084565669298,0.005280688405036926,0.004829869605600834,0.005040077492594719,0.005123587759832541,0.004944838148852189,0.004944838148852189,False,False,False,-24.052998184097707,-30.335144460618608,4,6.732391193509102e-05,7.08727166056633e-05,8.326491509849673e-05,0.005044497083872557,0.005111820995807648,0.0049204109236598015,0.004991283640265465,0.0050849581602960825,0.004957256373018026,0.004957256373018026,False,False,False,-26.707601628781553,-43.40416341141474
31,7.7e-05,0.0077,87,0.0008726827800273895,0.0006871824152767658,0.004969293012724181,0.004827979952096939,0.005700662732124329,0.00449078856036067,0.005177970975637436,0.00521755075596016,0.0048627627092873915,0.0048627627092873915,False,False,False,-32.24491097335245,-23.736295894040495,48,0.0006172792054712772,0.0004708012565970421,0.002456048130572792,0.0049160742200911045,0.005533353425562382,0.004631258547306061,0.005102059803903103,0.005184704806500425,0.004888164772031208,0.004888164772031208,False,False,False,-31.194103478164873,-30.21610338481716,17,0.0003280513919889927,0.00023188535124063492,0.0006763963212261269,0.005021084565669298,0.005349135957658291,0.004808192141354084,0.005040077492594719,0.005139245569486828,0.004932643051314003,0.004932643051314003,False,False,False,-25.814343460170086,-29.078460128688334,5,0.00010733678936958313,7.08727166056633e-05,0.00011656707494741746,0.005044497083872557,0.00515183387324214,0.0049204109236598015,0.004991283640265465,0.005098333302885294,0.004953566752374172,0.004953566752374172,False,False,False,-25.27680597032345,-20.60864931462143
