seed,step,load_case,Delta_s,engineering_shear_strain,reference_length_mm,reference_area_mm2,stress_strain_primary_metric,reaction_metric_status,is_energy_conjugate,nominal_shear_stress_energy_MPa,nominal_shear_stress_virtual_work_MPa,reaction_N_energy,reaction_N_virtual_work,alpha0p8_through_crack,Delta,strain,checkpoint,history_source,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span
23,12,shear,3e-05,0.003,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,17.30065996525809,,0.1730065996525809,,False,3e-05,0.003,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0012.pt,checkpoint_step_0011_post_history,2.606784343939239e-09,2.5793054359013468e-09,2.747880221976029e-11,0,,,,0.0
23,13,shear,3.2e-05,0.0031999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,18.36774026742205,,0.1836774026742205,,False,3.2e-05,0.0031999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0013.pt,checkpoint_step_0012_post_history,2.9632660769607355e-09,2.9267799295240593e-09,3.6486241111743916e-11,0,,,,0.0
23,14,shear,3.5e-05,0.0034999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,19.993710156995803,,0.199937101569958,,False,3.5e-05,0.0034999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0014.pt,checkpoint_step_0013_post_history,3.539684323428105e-09,3.484790234153934e-09,5.4893995599103456e-11,0,,,,0.0
23,15,shear,3.7e-05,0.0036999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,21.03413571603596,,0.2103413571603596,,False,3.7e-05,0.0036999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0015.pt,checkpoint_step_0014_post_history,3.951159399662174e-09,3.882586252501596e-09,6.857300144380574e-11,0,,,,0.0
23,16,shear,4e-05,0.004,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,22.6069416385144,,0.226069416385144,,False,4e-05,0.004,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0016.pt,checkpoint_step_0015_post_history,4.606044878840976e-09,4.508485140775065e-09,9.755952296019997e-11,0,,,,0.0
23,17,shear,4.2e-05,0.0042,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,23.575953673571348,,0.2357595367357134,,False,4.2e-05,0.0042,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0017.pt,checkpoint_step_0016_post_history,5.069117570144499e-09,4.947868781357556e-09,1.2124865000906482e-10,0,,,,0.0
23,18,shear,4.5e-05,0.0045,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,25.06029268261045,,0.2506029268261045,,False,4.5e-05,0.0045,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0018.pt,checkpoint_step_0017_post_history,5.801158220464231e-09,5.635181654639609e-09,1.6597664909134835e-10,0,,,,0.0
23,19,shear,4.7e-05,0.0046999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,25.9389344137162,,0.2593893441371619,,False,4.7e-05,0.0046999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0019.pt,checkpoint_step_0018_post_history,6.3137903794086014e-09,6.110406403081471e-09,2.0338405959385847e-10,0,,,,0.0
23,20,shear,5e-05,0.005,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,27.285603573545814,,0.2728560357354581,,False,5e-05,0.005,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0020.pt,checkpoint_step_0019_post_history,7.113056810226226e-09,6.835322086118367e-09,2.77734918396888e-10,0,,,,0.0
23,21,shear,5.2e-05,0.0052,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,28.06767588481307,,0.2806767588481307,,False,5.2e-05,0.0052,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0021.pt,checkpoint_step_0020_post_history,7.669165746904127e-09,7.332773499513223e-09,3.3639263596896285e-10,0,,,,0.0
