case_id,loss_kind,epoch,checkpoint,loss,disp_rel,strain_rel,energy_log10,elastic_energy,energy_mode,lambda_u,lambda_eps,lambda_trust_u,lambda_trust_eps
disp_global_prefit,disp_global,1,prefit,0.9993240237236023,0.9992472529411316,0.9999929666519165,-10.144615173339844,7.167785115447245e-11,,,,,
disp_global_prefit,disp_global,100,prefit,0.18957185745239258,0.18652668595314026,0.7443172335624695,-3.343390703201294,0.00045353343011811376,,,,,
disp_global_prefit,disp_global,200,prefit,0.00030477377003990114,0.00028212362667545676,0.0902540534734726,-3.3795909881591797,0.0004172623448539525,,,,,
disp_global_prefit,disp_global,300,prefit,7.212357013486326e-05,6.988673703745008e-05,0.050141699612140656,-3.3911960124969482,0.0004062601365149021,,,,,
disp_global_prefit,disp_global,400,prefit,4.9165337259182706e-05,4.9006575864041224e-05,0.03882662579417229,-3.3934078216552734,0.0004041962674818933,,,,,
disp_global_prefit,disp_global,500,prefit,4.007563620689325e-05,3.917909270967357e-05,0.035533756017684937,-3.3941919803619385,0.0004034670128021389,,,,,
disp_global_prefit,disp_global,600,prefit,3.689314326038584e-05,3.665765325422399e-05,0.03413698822259903,-3.3945698738098145,0.000403116166125983,,,,,
disp_global_prefit,disp_global,700,prefit,3.489173832349479e-05,3.470522278803401e-05,0.03319288790225983,-3.3948752880096436,0.0004028327821288258,,,,,
disp_global_prefit,disp_global,800,prefit,3.399897104827687e-05,3.385341915418394e-05,0.032587457448244095,-3.39499831199646,0.0004027186951134354,,,,,
disp_global_prefit,disp_global,900,prefit,3.250038207625039e-05,3.239398938603699e-05,0.031829774379730225,-3.3952319622039795,0.0004025022790301591,,,,,
disp_global_prefit,disp_global,1000,prefit,3.168996045133099e-05,3.177264443365857e-05,0.03158605471253395,-3.39532470703125,0.00040241616079583764,,,,,
disp_strain_global_prefit,disp_strain_global,1,prefit,0.9993340373039246,0.9992472529411316,0.9999929666519165,-10.144615173339844,7.167785115447245e-11,,,,,
disp_strain_global_prefit,disp_strain_global,100,prefit,0.1798812299966812,0.17934681475162506,0.8118569254875183,-3.3320648670196533,0.00046551661216653883,,,,,
disp_strain_global_prefit,disp_strain_global,200,prefit,0.0009134659776464105,0.0007943850359879434,0.13758441805839539,-3.368048906326294,0.0004285003524273634,,,,,
disp_strain_global_prefit,disp_strain_global,300,prefit,0.00013117959315422922,0.0001298427232541144,0.05825294554233551,-3.3847815990448,0.0004123050021007657,,,,,
disp_strain_global_prefit,disp_strain_global,400,prefit,6.751454202458262e-05,6.676973862340674e-05,0.04621214047074318,-3.391507387161255,0.0004059688653796911,,,,,
disp_strain_global_prefit,disp_strain_global,500,prefit,5.206502100918442e-05,5.2718234655912966e-05,0.04054180160164833,-3.393059492111206,0.00040452054236084223,,,,,
disp_strain_global_prefit,disp_strain_global,600,prefit,4.522184099187143e-05,5.1236205763416365e-05,0.03817114606499672,-3.392853260040283,0.0004047128022648394,,,,,
disp_strain_global_prefit,disp_strain_global,700,prefit,4.1757990402402356e-05,4.3604246457107365e-05,0.034972406923770905,-3.394378185272217,0.00040329410694539547,,,,,
disp_strain_global_prefit,disp_strain_global,800,prefit,3.764219582080841e-05,4.136925781494938e-05,0.032944053411483765,-3.394761800765991,0.0004029381088912487,,,,,
disp_strain_global_prefit,disp_strain_global,900,prefit,3.5739532904699445e-05,3.538868622854352e-05,0.03214078024029732,-3.3949971199035645,0.0004027196846436709,,,,,
disp_strain_global_prefit,disp_strain_global,1000,prefit,3.645278047770262e-05,3.714424019563012e-05,0.03073590248823166,-3.39453387260437,0.00040314957732334733,,,,,
pure_energy_baseline_log10,continuation,1,continuation,-3.39453387260437,4.318140506744385,582.1016235351562,-0.847511887550354,0.14206533133983612,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,30,continuation,-8.419994354248047,0.9997902512550354,1.0003936290740967,-8.61845588684082,2.407382737601438e-09,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,60,continuation,-10.196925163269043,0.9993312954902649,1.0000008344650269,-10.197465896606445,6.346501796317128e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,90,continuation,-10.203112602233887,0.9993273019790649,1.0000064373016357,-10.203304290771484,6.261746676727853e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,120,continuation,-10.282389640808105,0.9993682503700256,1.0000278949737549,-10.29099178314209,5.1169131431993975e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,150,continuation,-10.341136932373047,0.9994029402732849,1.000035047531128,-10.341257095336914,4.5576677848435665e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,180,continuation,-10.35859203338623,0.9993979334831238,1.0000351667404175,-10.357748985290527,4.3878428668264746e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,210,continuation,-10.36546516418457,0.9994144439697266,1.0000360012054443,-10.360640525817871,4.3587265741162895e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,240,continuation,-10.372095108032227,0.9993951320648193,1.0000256299972534,-10.37158489227295,4.25025431516346e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,270,continuation,-10.376273155212402,0.9994107484817505,1.0000312328338623,-10.378580093383789,4.182347523862262e-11,log10,0.0,0.0,0.0,0.0
pure_energy_baseline_log10,continuation,300,continuation,-10.384156227111816,0.9994076490402222,1.0000320672988892,-10.366655349731445,4.29877314300775e-11,log10,0.0,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,1,continuation,1.0,4.318140506744385,582.1016235351562,-0.847511887550354,0.14206533133983612,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,30,continuation,1.0119019862031564e-05,0.9998902082443237,0.9998950958251953,-8.613870620727539,2.432928303264248e-09,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,60,continuation,1.1568009767870535e-06,0.9993224143981934,0.9999882578849792,-10.197681427001953,6.34334390570146e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,90,continuation,1.1553734111657832e-06,0.9993224143981934,1.0000032186508179,-10.201334953308105,6.290214876747413e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,120,continuation,1.154342726294999e-06,0.9993133544921875,0.9999969601631165,-10.204362869262695,6.246513722940605e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,150,continuation,1.1407762485760031e-06,0.9993245005607605,0.9999962449073792,-10.246047973632812,5.6748158255848224e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,180,continuation,1.1216247912670951e-06,0.9993412494659424,1.0000003576278687,-10.311980247497559,4.875507636503684e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,210,continuation,1.1040264098483021e-06,0.9993686676025391,1.0000169277191162,-10.374153137207031,4.225201438723403e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,240,continuation,1.0982843150486588e-06,0.9993662238121033,1.0000042915344238,-10.400850296020508,3.9732824669291844e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,270,continuation,1.0956226788039203e-06,0.9993862509727478,1.000014305114746,-10.40953540802002,3.894614145072417e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-06,continuation,300,continuation,1.0954895515169483e-06,0.9993754625320435,1.0000056028366089,-10.415125846862793,3.8448098871324277e-11,normalized,1e-06,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,1,continuation,1.0,4.318140506744385,582.1016235351562,-0.847511887550354,0.14206533133983612,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,30,continuation,1.5354229617514648e-05,0.9995899796485901,1.000075101852417,-8.8217191696167,1.5075820591903266e-09,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,60,continuation,1.0151226888410747e-05,0.9993083477020264,0.9999958276748657,-10.196182250976562,6.365280524889272e-11,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,90,continuation,1.0149244189960882e-05,0.9992949366569519,0.9999891519546509,-10.200638771057129,6.300304722373085e-11,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,120,continuation,1.014888948702719e-05,0.9993013739585876,0.9999961853027344,-10.201786041259766,6.28367496924298e-11,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,150,continuation,1.0145372471015435e-05,0.9992974400520325,0.9999996423721313,-10.212618827819824,6.128883511813399e-11,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,180,continuation,1.0134097465197556e-05,0.9993248581886292,1.0000081062316895,-10.247751235961914,5.6526082425900626e-11,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,210,continuation,1.0127836503670551e-05,0.999352753162384,1.0000131130218506,-10.266067504882812,5.4191783005475e-11,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,240,continuation,1.0125222615897655e-05,0.9993525743484497,1.0000091791152954,-10.27586555480957,5.298272237608259e-11,normalized,1e-05,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-05,continuation,270,continuation,1.012351185636362e-05,0.9993634223937988,1.0000132322311401,-10.281046867370605,5.235440553308379e-11,normalized,1e-05,0.0,0.0,0.0
