case,seed,step,Delta,threshold,through_crack,crack_x_span,crack_y_span,connected_high_alpha_area,connected_element_count,connected_min_x,connected_max_x,connected_mean_y,reaction_N_tm_eff,first_through_step_alpha_ge_0p5,reaction_at_first_through_alpha_ge_0p5,reaction_drop_after_first_through_alpha_ge_0p5_percent,first_through_step_alpha_ge_0p8,reaction_at_first_through_alpha_ge_0p8,reaction_drop_after_first_through_alpha_ge_0p8_percent,first_through_step_alpha_ge_0p95,reaction_at_first_through_alpha_ge_0p95,reaction_drop_after_first_through_alpha_ge_0p95_percent
D0040_seed7_default_unitbox,7,0,1e-06,0.5,False,0.0,0.0,0.0,0,,,,0.03724019689017173,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,0,1e-06,0.8,False,0.0,0.0,0.0,0,,,,0.03724019689017173,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,0,1e-06,0.95,False,0.0,0.0,0.0,0,,,,0.03724019689017173,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,1,5e-06,0.5,False,0.0,0.0,0.0,0,,,,0.1950677274790781,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,1,5e-06,0.8,False,0.0,0.0,0.0,0,,,,0.1950677274790781,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,1,5e-06,0.95,False,0.0,0.0,0.0,0,,,,0.1950677274790781,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,2,1e-05,0.5,False,0.0,0.0,0.0,0,,,,0.3810431370806624,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,2,1e-05,0.8,False,0.0,0.0,0.0,0,,,,0.3810431370806624,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,2,1e-05,0.95,False,0.0,0.0,0.0,0,,,,0.3810431370806624,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,3,1.5e-05,0.5,False,0.0,0.0,0.0,0,,,,0.5324371788664785,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
