"case","npz","max_abs_diff","relative_max_diff","max_He_current","max_He_current_x","max_He_current_y","notch_tip_He_current_max","bottom_right_He_current_max"
"alpha_intact_topufixed","D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical_history_alpha_init_intact_D0020_seed2\fields_mixed_tm_step_0000.npz","1.6918017373241073e-13","2.179283565811448e-07","7.763109906109813e-07","0.00029596671811304986","0.009886584244668484","6.402886149942984e-07","7.684094648833519e-07"
"alpha_intact_topufree","D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_gradient_numerical_history_alpha_init_intact_topufree_D0020_seed2\fields_mixed_tm_step_0000.npz","1.9712960353180975e-13","1.9058460024765225e-07","1.0343417433294227e-06","0.00988017488270998","0.0002885742287617177","6.344892784343244e-07","1.0343417433294227e-06"
"old_history","D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical_full_seed2_history_D0020\fields_mixed_tm_step_0000.npz","2.1310650455668573e-12","4.350909824447991e-08","4.89797545532103e-05","0.005021084565669298","0.004998643882572651","4.89797545532103e-05","1.4674648967148192e-06"
