group,case,seed,metric,first_alpha0p8_through_step,first_alpha0p8_through_Delta,reaction_at_first_through_N,final_reaction_N,peak_abs_reaction_N,drop_after_first_through_fraction_abs,drop_after_first_through_percent_abs
D0040,D0040_seed7_default_unitbox,7,legacy_top_sigma_integral_N,14,5.5e-05,0.7072629693601249,0.9327040022643978,0.9684229232080865,-0.3187513593539811,-31.87513593539811
D0040,D0040_seed7_default_unitbox,7,saved_field_energy_fd_proxy_N,14,5.5e-05,-0.25567347467117874,-0.09251807271732733,1.3338379899113004,0.6381397294486075,63.81397294486075
D0040,D0040_seed7_default_unitbox,7,saved_field_virtual_work_proxy_N,14,5.5e-05,-17.608340665019888,-346.6620089911002,346.6620089911002,-18.68737518122686,-1868.737518122686
D0040,D0040_seed7_default_unitbox,7,bottom_sigma_integral_outward_N,14,5.5e-05,-1.1384535236977151,-1.1048648442171198,1.1435445206856414,0.029503777520490018,2.9503777520490018
D0040,D0040_seed7_default_unitbox,7,internal_cut_force_above_crack_N,14,5.5e-05,0.5254807156245351,0.5178872011877662,0.8822949457890932,0.01445060534285071,1.4450605342850709
D0040,D0040_seed13_default_unitbox,13,legacy_top_sigma_integral_N,14,5.5e-05,0.7813714869508857,0.9429994539576543,1.0131171902657272,-0.20685163165792356,-20.685163165792357
D0040,D0040_seed13_default_unitbox,13,saved_field_energy_fd_proxy_N,14,5.5e-05,-0.3121347093424081,0.01997061881044587,1.331771600852385,0.9360192307593119,93.6019230759312
D0040,D0040_seed13_default_unitbox,13,saved_field_virtual_work_proxy_N,14,5.5e-05,-16.985382978025335,-332.3969648776241,332.3969648776241,-18.569589058289665,-1856.9589058289666
D0040,D0040_seed13_default_unitbox,13,bottom_sigma_integral_outward_N,14,5.5e-05,-1.1363955282225635,-1.0618854026034608,1.1425736511846074,0.06556707041574165,6.556707041574166
D0040,D0040_seed13_default_unitbox,13,internal_cut_force_above_crack_N,14,5.5e-05,0.657007874691753,0.4242420681682143,0.9003394205995543,0.3542816083182336,35.428160831823355
D0040,D0040_seed42_default_unitbox,42,legacy_top_sigma_integral_N,14,5.5e-05,0.7530319747592928,0.9192553796006827,0.9898702673690796,-0.22073884033214297,-22.0738840332143
D0040,D0040_seed42_default_unitbox,42,saved_field_energy_fd_proxy_N,14,5.5e-05,-0.4867206647211578,0.03796805019901005,1.3363436392697854,0.9219921138528976,92.19921138528976
D0040,D0040_seed42_default_unitbox,42,saved_field_virtual_work_proxy_N,14,5.5e-05,-19.290781871347562,-343.5424193535626,343.5424193535626,-16.80863117133802,-1680.863117133802
D0040,D0040_seed42_default_unitbox,42,bottom_sigma_integral_outward_N,14,5.5e-05,-1.139314442347799,-1.079078224795174,1.1455959485287805,0.05287058191634566,5.287058191634566
D0040,D0040_seed42_default_unitbox,42,internal_cut_force_above_crack_N,14,5.5e-05,0.561740261068533,0.5867964510848745,0.8985239498891263,-0.044604582852366764,-4.460458285236676
