group,case,seed,step,Delta,strain,metric,reaction_N,alpha0p8_through_crack
D0040,D0040_seed7_default_unitbox,7,52,0.00018,0.018000000000000002,legacy_top_sigma_integral_N,0.9497928883166102,True
D0040,D0040_seed7_default_unitbox,7,53,0.00019,0.019,legacy_top_sigma_integral_N,0.9684229232080865,True
D0040,D0040_seed7_default_unitbox,7,54,0.0002,0.02,legacy_top_sigma_integral_N,0.9327040022643978,True
D0040,D0040_seed7_default_unitbox,7,0,1e-06,9.999999999999999e-05,saved_field_energy_fd_proxy_N,0.2529407527755034,False
D0040,D0040_seed7_default_unitbox,7,1,5e-06,0.0005,saved_field_energy_fd_proxy_N,0.42058675928369954,False
D0040,D0040_seed7_default_unitbox,7,2,1e-05,0.001,saved_field_energy_fd_proxy_N,0.8199533457681762,False
D0040,D0040_seed7_default_unitbox,7,3,1.5e-05,0.0015,saved_field_energy_fd_proxy_N,1.158663281060197,False
D0040,D0040_seed7_default_unitbox,7,4,2e-05,0.002,saved_field_energy_fd_proxy_N,1.3338379899113004,False
D0040,D0040_seed7_default_unitbox,7,5,2.5e-05,0.0025,saved_field_energy_fd_proxy_N,1.3224565307411633,False
D0040,D0040_seed7_default_unitbox,7,6,3e-05,0.003,saved_field_energy_fd_proxy_N,1.1702045918102364,False
D0040,D0040_seed7_default_unitbox,7,7,3.5e-05,0.0034999999999999996,saved_field_energy_fd_proxy_N,0.8801741061312904,False
D0040,D0040_seed7_default_unitbox,7,8,4e-05,0.004,saved_field_energy_fd_proxy_N,0.4927408603002015,False
D0040,D0040_seed7_default_unitbox,7,9,4.5e-05,0.0045000000000000005,saved_field_energy_fd_proxy_N,0.10614402993354248,False
D0040,D0040_seed7_default_unitbox,7,10,4.7e-05,0.004699999999999999,saved_field_energy_fd_proxy_N,-0.01823949092681111,False
D0040,D0040_seed7_default_unitbox,7,11,4.9e-05,0.0049,saved_field_energy_fd_proxy_N,-0.15061443841029448,False
D0040,D0040_seed7_default_unitbox,7,12,5.1e-05,0.0050999999999999995,saved_field_energy_fd_proxy_N,-0.3202980915640169,False
D0040,D0040_seed7_default_unitbox,7,13,5.3e-05,0.0053,saved_field_energy_fd_proxy_N,-0.3962776814245249,False
D0040,D0040_seed7_default_unitbox,7,14,5.5e-05,0.0055,saved_field_energy_fd_proxy_N,-0.25567347467117874,True
D0040,D0040_seed7_default_unitbox,7,15,5.7e-05,0.0057,saved_field_energy_fd_proxy_N,-0.23737530417944874,True
D0040,D0040_seed7_default_unitbox,7,16,5.9e-05,0.0059,saved_field_energy_fd_proxy_N,-0.31032832325581305,True
D0040,D0040_seed7_default_unitbox,7,17,6.1e-05,0.0060999999999999995,saved_field_energy_fd_proxy_N,-0.19605453589022562,True
D0040,D0040_seed7_default_unitbox,7,18,6.3e-05,0.0063,saved_field_energy_fd_proxy_N,-0.2824903417332006,True
D0040,D0040_seed7_default_unitbox,7,19,6.5e-05,0.0065,saved_field_energy_fd_proxy_N,-0.3344213684007991,True
D0040,D0040_seed7_default_unitbox,7,20,6.7e-05,0.0067,saved_field_energy_fd_proxy_N,-0.18029700910343616,True
D0040,D0040_seed7_default_unitbox,7,21,6.9e-05,0.0069,saved_field_energy_fd_proxy_N,-0.17698011480803827,True
D0040,D0040_seed7_default_unitbox,7,22,7.1e-05,0.0071,saved_field_energy_fd_proxy_N,-0.3335018612441957,True
D0040,D0040_seed7_default_unitbox,7,23,7.3e-05,0.0073,saved_field_energy_fd_proxy_N,-0.3491502519142719,True
D0040,D0040_seed7_default_unitbox,7,24,7.5e-05,0.007499999999999999,saved_field_energy_fd_proxy_N,-0.21472999417939537,True
D0040,D0040_seed7_default_unitbox,7,25,7.7e-05,0.0077,saved_field_energy_fd_proxy_N,-0.10387711732772441,True
D0040,D0040_seed7_default_unitbox,7,26,8e-05,0.008,saved_field_energy_fd_proxy_N,-0.13296898426670872,True
D0040,D0040_seed7_default_unitbox,7,27,8.3e-05,0.0083,saved_field_energy_fd_proxy_N,-0.25079222993953065,True
D0040,D0040_seed7_default_unitbox,7,28,8.6e-05,0.0086,saved_field_energy_fd_proxy_N,-0.15937208871496036,True
D0040,D0040_seed7_default_unitbox,7,29,8.9e-05,0.0089,saved_field_energy_fd_proxy_N,-0.04730058856972259,True
D0040,D0040_seed7_default_unitbox,7,30,9.2e-05,0.0092,saved_field_energy_fd_proxy_N,-0.0852457901378027,True
D0040,D0040_seed7_default_unitbox,7,31,9.5e-05,0.0095,saved_field_energy_fd_proxy_N,-0.1461265113534664,True
D0040,D0040_seed7_default_unitbox,7,32,9.8e-05,0.0098,saved_field_energy_fd_proxy_N,-0.03644741198054538,True
D0040,D0040_seed7_default_unitbox,7,33,0.0001,0.01,saved_field_energy_fd_proxy_N,-0.06892743782073354,True
D0040,D0040_seed7_default_unitbox,7,34,0.000102,0.010199999999999999,saved_field_energy_fd_proxy_N,-0.21495508212379927,True
D0040,D0040_seed7_default_unitbox,7,35,0.000104,0.0104,saved_field_energy_fd_proxy_N,-0.1458696335101409,True
D0040,D0040_seed7_default_unitbox,7,36,0.000106,0.0106,saved_field_energy_fd_proxy_N,-0.09661353351351522,True
D0040,D0040_seed7_default_unitbox,7,37,0.000108,0.010799999999999999,saved_field_energy_fd_proxy_N,-0.14003874791938298,True
D0040,D0040_seed7_default_unitbox,7,38,0.00011,0.011,saved_field_energy_fd_proxy_N,-0.06545740674737503,True
D0040,D0040_seed7_default_unitbox,7,39,0.000112,0.0112,saved_field_energy_fd_proxy_N,-0.04829504082628665,True
D0040,D0040_seed7_default_unitbox,7,40,0.000115,0.0115,saved_field_energy_fd_proxy_N,-0.06545644814597712,True
D0040,D0040_seed7_default_unitbox,7,41,0.000118,0.0118,saved_field_energy_fd_proxy_N,-0.22956517504711324,True
D0040,D0040_seed7_default_unitbox,7,42,0.00012,0.012,saved_field_energy_fd_proxy_N,-0.24439214827522712,True
D0040,D0040_seed7_default_unitbox,7,43,0.000125,0.0125,saved_field_energy_fd_proxy_N,0.00047541774401234013,True
D0040,D0040_seed7_default_unitbox,7,44,0.00013,0.013,saved_field_energy_fd_proxy_N,0.08676914340390073,True
D0040,D0040_seed7_default_unitbox,7,45,0.000135,0.0135,saved_field_energy_fd_proxy_N,0.010426995655579262,True
D0040,D0040_seed7_default_unitbox,7,46,0.00014,0.013999999999999999,saved_field_energy_fd_proxy_N,-0.07930759478232347,True
D0040,D0040_seed7_default_unitbox,7,47,0.000145,0.014499999999999999,saved_field_energy_fd_proxy_N,-0.014928970894135911,True
D0040,D0040_seed7_default_unitbox,7,48,0.00015,0.014999999999999998,saved_field_energy_fd_proxy_N,-0.03190874768419687,True
D0040,D0040_seed7_default_unitbox,7,49,0.000155,0.0155,saved_field_energy_fd_proxy_N,-0.061324205720451275,True
D0040,D0040_seed7_default_unitbox,7,50,0.00016,0.016,saved_field_energy_fd_proxy_N,-0.061407940011732276,True
D0040,D0040_seed7_default_unitbox,7,51,0.00017,0.017,saved_field_energy_fd_proxy_N,-0.0019200305387350423,True
D0040,D0040_seed7_default_unitbox,7,52,0.00018,0.018000000000000002,saved_field_energy_fd_proxy_N,-0.0064971403695363635,True
D0040,D0040_seed7_default_unitbox,7,53,0.00019,0.019,saved_field_energy_fd_proxy_N,-0.04902348618516573,True
D0040,D0040_seed7_default_unitbox,7,54,0.0002,0.02,saved_field_energy_fd_proxy_N,-0.09251807271732733,True
D0040,D0040_seed7_default_unitbox,7,0,1e-06,9.999999999999999e-05,saved_field_virtual_work_proxy_N,0.054218956884240346,False
D0040,D0040_seed7_default_unitbox,7,1,5e-06,0.0005,saved_field_virtual_work_proxy_N,0.2691335371272752,False
D0040,D0040_seed7_default_unitbox,7,2,1e-05,0.001,saved_field_virtual_work_proxy_N,0.5298277181035735,False
D0040,D0040_seed7_default_unitbox,7,3,1.5e-05,0.0015,saved_field_virtual_work_proxy_N,0.7674337640095772,False
D0040,D0040_seed7_default_unitbox,7,4,2e-05,0.002,saved_field_virtual_work_proxy_N,0.9621470715869966,False
