group,case,seed,run_dir,step,Delta,method,virtual_work_reaction_N,exact_top_mode_available,reason
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,10,4.7e-05,saved_field_scaled_displacement_virtual_work_proxy,-7.978900490743485,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,11,4.9e-05,saved_field_scaled_displacement_virtual_work_proxy,-10.017037856168596,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,12,5.1e-05,saved_field_scaled_displacement_virtual_work_proxy,-12.23308953483698,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,13,5.3e-05,saved_field_scaled_displacement_virtual_work_proxy,-14.832742213549441,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,14,5.5e-05,saved_field_scaled_displacement_virtual_work_proxy,-17.608340665019888,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,15,5.7e-05,saved_field_scaled_displacement_virtual_work_proxy,-20.22730336295359,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,16,5.9e-05,saved_field_scaled_displacement_virtual_work_proxy,-23.434065092073947,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,17,6.1e-05,saved_field_scaled_displacement_virtual_work_proxy,-26.84778182860828,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,18,6.3e-05,saved_field_scaled_displacement_virtual_work_proxy,-30.131356991637215,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,19,6.5e-05,saved_field_scaled_displacement_virtual_work_proxy,-34.4831081097568,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
D0040,D0040_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,20,6.7e-05,saved_field_scaled_displacement_virtual_work_proxy,-38.275005251089766,False,top displacement mode/network parameters unavailable; proxy uses saved strain field scaled by Delta
