group,case,seed,step,Delta,strain,mechanics_current_energy_proxy,history_elastic_energy_proxy,fracture_energy_proxy,saved_field_energy_fd_proxy_N,saved_field_history_energy_fd_proxy_N,saved_field_virtual_work_proxy_N,legacy_top_sigma_integral_N,alpha0p8_through_crack,method,exact_autograd_available
D0040,D0040_seed7_default_unitbox,7,22,7.1e-05,0.0071,3.3320865854890155e-08,3.899225046620973e-08,2.4786785792786912e-08,-0.3335018612441957,-0.01335807111741208,-46.208297055391824,0.7216868306905438,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,23,7.3e-05,0.0073,3.2411835151371415e-08,3.8968798887105776e-08,2.4839696899172135e-08,-0.3491502519142719,-0.005001570248063317,-51.1933978674549,0.7347203069397402,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,24,7.5e-05,0.007499999999999999,3.192426484723307e-08,3.897224418521748e-08,2.48504851111929e-08,-0.21472999417939537,-0.005003709465725703,-55.645829463816355,0.7544236570216236,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,25,7.7e-05,0.0077,3.155291517465384e-08,3.894878404924288e-08,2.4898879893816143e-08,-0.10387711732772441,-0.00745611740449615,-59.86387244013153,0.7680470429742193,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,26,8e-05,0.008,3.160937355799917e-08,3.8945648474652e-08,2.492074048219542e-08,-0.13296898426670872,0.0006668839607724963,-65.39945821001041,0.7712236651020162,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,27,8.3e-05,0.0083,3.075510126905359e-08,3.895278535300752e-08,2.4936929461563014e-08,-0.25079222993953065,0.00023136108167048225,-72.8105893720894,0.7906915984136228,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,28,8.6e-05,0.0086,3.010462017836199e-08,3.8947036641142024e-08,2.4961186193062328e-08,-0.15937208871496036,-0.000589545686816538,-79.64872011229646,0.7836327985446447,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,29,8.9e-05,0.0089,2.9798868736763828e-08,3.894924807888662e-08,2.4985051886147097e-08,-0.04730058856972259,0.0024221654170821297,-86.55277164145319,0.7920156979097943,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,30,9.2e-05,0.0092,2.9820816646943655e-08,3.8961569633644516e-08,2.4986942461099576e-08,-0.0852457901378027,0.0034083712514357267,-92.50067568467058,0.7920017163011058,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,31,9.5e-05,0.0095,2.928739399593701e-08,3.896969830639524e-08,2.500665225252185e-08,-0.1461265113534664,0.0029798780773384465,-99.89199122062102,0.7958803769827807,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,32,9.8e-05,0.0098,2.8944057578822856e-08,3.897944890210855e-08,2.5013946681924852e-08,-0.03644741198054538,0.0031994719211520667,-106.6423160927572,0.7773010326264428,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,33,0.0001,0.01,2.8975160168716216e-08,3.898578021041758e-08,2.5023694107782224e-08,-0.06892743782073354,0.003721210301520922,-110.92317713675307,0.7899184746855936,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,34,0.000102,0.010199999999999999,2.8668347827539924e-08,3.8994333743314625e-08,2.501850605131842e-08,-0.21495508212379927,0.004584412958976228,-116.14818063672966,0.7853725615123062,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,35,0.000104,0.0104,2.8115339840221022e-08,3.9004117862253485e-08,2.502896763925931e-08,-0.1458696335101409,0.0063699750909411434,-121.96509216956895,0.7851210021431504,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,36,0.000106,0.0106,2.8084869293499362e-08,3.9019813643678394e-08,2.502947654792404e-08,-0.09661353351351522,0.008104206348375984,-126.64199743073324,0.8201037523245984,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,37,0.000108,0.010799999999999999,2.7728885706166964e-08,3.903653468764699e-08,2.501875662957927e-08,-0.14003874791938298,0.004994596493170314,-131.48763422994847,0.7978046941848906,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,38,0.00011,0.011,2.7524714301821835e-08,3.9039792029651074e-08,2.502945675598557e-08,-0.06545740674737503,0.006040405461661333,-136.00535000572071,0.8686503545665113,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,39,0.000112,0.0112,2.7467056079177465e-08,3.906069630949363e-08,2.5023267528475368e-08,-0.04829504082628665,0.0074967027583602505,-140.69874007590957,0.883328128042474,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,40,0.000115,0.0115,2.7234574273930146e-08,3.906988695053557e-08,2.503236643766554e-08,-0.06545644814597712,0.004250812747784785,-147.40583250820364,0.8531762138052142,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,41,0.000118,0.0118,2.70743173903016e-08,3.9086201185980336e-08,2.5044404453286762e-08,-0.22956517504711324,0.010456422665276743,-154.03017132849422,0.9313885336544527,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,42,0.00012,0.012,2.6380325421757236e-08,3.911380515688913e-08,2.5026407873686883e-08,-0.24439214827522712,0.01085271560681035,-159.55934669101455,0.9059424364425941,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,43,0.000125,0.0125,2.6440912630342977e-08,3.9131202861828296e-08,2.5058028717889593e-08,0.00047541774401234013,0.004281787899359547,-170.6018537623203,0.9152429867943465,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,44,0.00013,0.013,2.6385079599197357e-08,3.9156623035882724e-08,2.5063911115024692e-08,0.08676914340390073,0.006502187345963639,-182.2099833396148,0.8858057874147454,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,45,0.000135,0.0135,2.7308604064381984e-08,3.9196224735287935e-08,2.5064633811943256e-08,0.010426995655579262,0.0075109896215553446,-191.2500524913818,0.9419055049257212,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,46,0.00014,0.013999999999999999,2.648934955575316e-08,3.923173293209828e-08,2.5068427833341517e-08,-0.07930759478232347,0.008120061583236256,-204.37547821068864,0.931469931036719,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,47,0.000145,0.014499999999999999,2.6515528116558754e-08,3.92774253511203e-08,2.5068827546563274e-08,-0.014928970894135911,0.010301600253627939,-216.2822518362887,0.9554738527531481,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,48,0.00015,0.014999999999999998,2.6340059846811804e-08,3.9334748934634564e-08,2.5060434831485373e-08,-0.03190874768419687,0.010325515075957845,-228.13972235503712,0.8801520975021182,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,49,0.000155,0.0155,2.6196440639716783e-08,3.9380680501879877e-08,2.507053038413409e-08,-0.061324205720451275,0.00822896664763248,-240.8894681667414,0.8762546454148221,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,50,0.00016,0.016,2.572681778960729e-08,3.941703860111089e-08,2.5086113198287458e-08,-0.061407940011732276,0.008427745052842208,-253.3933219957196,0.9322794341513233,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,51,0.00017,0.017,2.576307098969328e-08,3.9524438555772116e-08,2.5079871686283546e-08,-0.0019200305387350423,0.0090552508833679,-276.5094414001007,0.9298018151559574,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,52,0.00018,0.018000000000000002,2.568841717883259e-08,3.959814361877825e-08,2.5109283688969086e-08,-0.0064971403695363635,0.008753229696103083,-299.2765028028815,0.9497928883166102,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,53,0.00019,0.019,2.563312818230255e-08,3.9699503149694176e-08,2.512828741581001e-08,-0.04902348618516573,0.011446729897988863,-321.89090589142023,0.9684229232080865,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,54,0.0002,0.02,2.4707947455129277e-08,3.9827078216738025e-08,2.5121652370535337e-08,-0.09251807271732733,0.012757506704384866,-346.6620089911002,0.9327040022643978,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,0,1e-06,9.999999999999999e-05,3.601073251772688e-11,3.601073251772688e-11,6.072019970965966e-15,0.25327316239533537,0.25327316628393126,0.05400784070670412,0.03744230257884912,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,1,5e-06,0.0005,1.0491033820990686e-09,1.0491033976534523e-09,9.82905604522489e-13,0.4204905406614143,0.4204906032909384,0.2695150957735603,0.1916362712645624,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,2,1e-05,0.001,4.196664699569133e-09,4.19666539540194e-09,4.6083089793796305e-11,0.8194340804820748,0.8194344015857515,0.528502621483726,0.374724307657355,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,3,1.5e-05,0.0015,9.243444186919814e-09,9.243447413510965e-09,2.338167238894144e-10,1.1562835430503606,1.156286478786312,0.7649357030476781,0.5270640479271921,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,4,2e-05,0.002,1.575950013007274e-08,1.575953018326506e-08,7.962832224283292e-10,1.331771600852385,1.3333805662725027,0.9546115425715627,0.6375848130513062,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,5,2.5e-05,0.0025,2.256116019544367e-08,2.2577253076235998e-08,2.460041594014341e-09,1.3278793581543182,1.3360288819159774,0.9285786585439331,0.6888980877150641,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,6,3e-05,0.003,2.903829371161592e-08,2.911981900242483e-08,5.024429578545377e-09,1.1768585077215639,1.2023334655394333,0.4874037861855119,0.6947876467664138,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,7,3.5e-05,0.0034999999999999996,3.43297452726593e-08,3.4600587731630324e-08,8.549392036962743e-09,0.8850630346179887,0.9395325331133151,-0.6807285665628187,0.6859508832276519,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,8,4e-05,0.004,3.78889240577958e-08,3.851514433355798e-08,1.2719164539426757e-08,0.44823440938146236,0.5430007623909837,-2.7262340452771467,0.685814094410136,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,9,4.5e-05,0.0045000000000000005,3.8812089366473935e-08,4.003059535554017e-08,1.74666621216763e-08,0.07139679791046648,0.1613175448731668,-6.183524013476213,0.7361579979257612,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,10,4.7e-05,0.004699999999999999,3.886429395123473e-08,4.0239812317667876e-08,1.8984307743568126e-08,-0.018364618245166747,0.051468170058263304,-7.8628642243230065,0.7570225609060944,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,11,4.9e-05,0.0049,3.873863089349327e-08,4.0236468035773226e-08,2.035079928583402e-08,-0.1992178205018572,-0.05278646649551494,-9.630379177853738,0.7596229805484553,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,12,5.1e-05,0.0050999999999999995,3.806742266922729e-08,4.002866645168581e-08,2.1580340333281215e-08,-0.4042791857144113,-0.14486401996198667,-11.98565099918784,0.7773960692541569,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,13,5.3e-05,0.0053,3.712151415063562e-08,3.9657011955925275e-08,2.2633892731513424e-08,-0.3668327671747778,-0.16455987356548024,-14.42204597533391,0.7797359786197644,False,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,14,5.5e-05,0.0055,3.6600091600528184e-08,3.937042695742389e-08,2.3296904074946705e-08,-0.3121347093424081,-0.1194911739105034,-16.985382978025335,0.7813714869508857,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,15,5.7e-05,0.0057,3.587297531326599e-08,3.917904726028327e-08,2.3715363626700504e-08,-0.49060546404744443,-0.08989143930514427,-19.9643591516044,0.7718715268457221,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,16,5.9e-05,0.0059,3.4637669744338414e-08,3.9010861200203314e-08,2.405834268711039e-08,-0.500107642862185,-0.061992859843176124,-23.634466312294464,0.7737341137141779,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,17,6.1e-05,0.0060999999999999995,3.3872544741817256e-08,3.8931075820910564e-08,2.4230088107594857e-08,-0.35877629518333076,-0.04213128976928229,-27.513938858859962,0.773297351631869,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,18,6.3e-05,0.0063,3.3202564563605085e-08,3.884233604112619e-08,2.43940180518171e-08,-0.3907786065938685,-0.035218747115556975,-30.86938007419381,0.775515057348396,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,19,6.5e-05,0.0065,3.230943031544178e-08,3.879020083244834e-08,2.4497189097311865e-08,-0.254702972166853,-0.020965308379432626,-34.924215154397686,0.7351456846633146,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,20,6.7e-05,0.0067,3.218375267493768e-08,3.8758474807608455e-08,2.456648676030715e-08,-0.1860038515689496,-0.015454478378976871,-38.4249289959857,0.749803256529474,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,21,6.9e-05,0.0069,3.156541490916598e-08,3.8728382918932436e-08,2.4647612668005998e-08,-0.378404366017257,-0.011183909872631778,-42.43191348155365,0.7628717342399414,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,22,7.1e-05,0.0071,3.067013521086865e-08,3.871373916811793e-08,2.4678048997136284e-08,-0.34823047395120005,-0.006925840547403889,-47.23586533210401,0.7620886119255275,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,23,7.3e-05,0.0073,3.017249301336118e-08,3.8700679556742816e-08,2.471038184480226e-08,-0.28966655218816156,-0.010977865837676418,-51.30913701786959,0.7608506459107669,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,24,7.5e-05,0.007499999999999999,2.9511469002116007e-08,3.866982770476723e-08,2.4772567606260517e-08,-0.45008761753253473,-0.00803271361795449,-55.94187560460548,0.7994232580296121,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,25,7.7e-05,0.0077,2.8372142543231038e-08,3.8668548702271e-08,2.479010312126765e-08,-0.3343006998427224,-0.00145057847934435,-61.25043918895208,0.8470172539580134,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,26,8e-05,0.008,2.842837182690179e-08,3.866054711929243e-08,2.4812974697883085e-08,-0.05826261241147993,-0.0001755293008425668,-66.92819240773228,0.8536250137454936,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,27,8.3e-05,0.0083,2.8022566868762154e-08,3.8667495526465944e-08,2.4818847911391635e-08,-0.2803160001786046,0.0008600040856425115,-73.95109345915768,0.8789771545000438,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,28,8.6e-05,0.0086,2.674647582583016e-08,3.866570714380629e-08,2.484895684568441e-08,-0.2703770283191539,0.0013024623856860637,-81.94951503115787,0.9197302442778771,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,29,8.9e-05,0.0089,2.6400304698847226e-08,3.8675310300780056e-08,2.4851548744217353e-08,-0.018246635684298143,0.003566575085135748,-87.87800950617812,0.8955890853931986,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,30,9.2e-05,0.0092,2.663699601172437e-08,3.868710659431711e-08,2.4851673553611485e-08,-0.05535268589884363,0.0029610461720844944,-93.40191680360583,0.9020765583058227,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,31,9.5e-05,0.0095,2.606818858345416e-08,3.869307657781256e-08,2.4868606418946608e-08,-0.10551162039660993,0.0035963625941715094,-101.52081098777559,0.9244392860073724,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,32,9.8e-05,0.0098,2.6003926289344706e-08,3.8708684769882134e-08,2.487715956612361e-08,-0.026528296374555595,0.005201163769804826,-107.90067611261496,0.9226251401894522,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,33,0.0001,0.01,2.5944059654367054e-08,3.8719085008195006e-08,2.4870696524758762e-08,-0.14735456652897796,0.004663770043430299,-111.55984237051312,0.958831328768616,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,34,0.000102,0.010199999999999999,2.5414508023228795e-08,3.8727339850055854e-08,2.488465175290871e-08,0.03838216758028732,0.0015196234810135184,-116.54540264085526,0.8972962425474889,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,35,0.000104,0.0104,2.60975883246882e-08,3.872516350211906e-08,2.489713457814898e-08,0.11574295292135495,0.004188552767769513,-118.95306544369797,0.8892590377526742,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,36,0.000106,0.0106,2.587747983491421e-08,3.8744094061126936e-08,2.489203365384381e-08,-0.15308384213660095,0.004005995403347923,-124.37750387092592,0.9156781952386078,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,37,0.000108,0.010799999999999999,2.5485252956141796e-08,3.874118748373245e-08,2.4901652836904758e-08,-0.22686030799562526,0.0007020758260103954,-128.6323550441278,0.9006639926161384,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,38,0.00011,0.011,2.4970038602931707e-08,3.8746902364430974e-08,2.490831546639406e-08,-0.1320265704307967,0.007191785462963909,-134.0645221143515,0.9131267280444662,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,39,0.000112,0.0112,2.4957146674418604e-08,3.8769954625584304e-08,2.4897799093188627e-08,-0.001419010677443204,0.007395302027840556,-138.03859800567187,0.8993497582236554,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,40,0.000115,0.0115,2.4975510933492258e-08,3.8773551803198105e-08,2.4914316166996425e-08,0.12025319919850996,0.004590200669782503,-144.5483396307218,0.9528202043074184,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,41,0.000118,0.0118,2.5678665869609655e-08,3.8797495829602997e-08,2.490185874809535e-08,-0.08335108372761052,0.00830787751684818,-149.49687273213243,0.9409577895285904,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,42,0.00012,0.012,2.508831561890988e-08,3.881454696514587e-08,2.4907364745651907e-08,-0.19371779804595804,0.007849622449000206,-155.6906202360139,0.9415889214729066,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,43,0.000125,0.0125,2.5387943219979175e-08,3.884534576086041e-08,2.4908377546643785e-08,0.01820717381247061,0.00585883000619623,-166.41121776060987,0.9105637767207168,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,44,0.00013,0.013,2.527038735703459e-08,3.8873135265207836e-08,2.4926046176443795e-08,0.016083290560247807,0.0065689718585101,-177.2412490960872,0.8442729123974761,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,45,0.000135,0.0135,2.5548776125581655e-08,3.891103547944551e-08,2.4921914006077113e-08,0.11298516501704985,0.005993433816788626,-188.58861745168662,0.8812978564266019,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,46,0.00014,0.013999999999999999,2.6400239007205085e-08,3.893306960337572e-08,2.4943721126809245e-08,-0.009708273818363582,0.0059448407725456835,-196.70800987804452,0.9547308849494286,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,47,0.000145,0.014499999999999999,2.5451693387398006e-08,3.897048388717096e-08,2.4949228327683564e-08,-0.146968886725796,0.009326885470143428,-209.38668913927953,0.9802475939213123,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,48,0.00015,0.014999999999999998,2.4930550139947127e-08,3.9026338458077155e-08,2.4939212966074657e-08,-0.025413183229391033,0.007792336882805027,-221.76809455945696,0.9470910208559179,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,49,0.000155,0.0155,2.51975615551041e-08,3.9048407255999007e-08,2.4954849889700898e-08,-0.03315702755716686,0.0073718311675340445,-231.08660035506492,0.919923720765569,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,50,0.00016,0.016,2.4598979864375458e-08,3.91000567697525e-08,2.4960395504437607e-08,-0.07743915184787217,0.009720710716527468,-244.09194139571468,0.9352309835691617,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,51,0.00017,0.017,2.4670132071853862e-08,3.9185080036234344e-08,2.4985684503670253e-08,-0.009586352655709552,0.009453357446284356,-266.2606150574193,1.0131171902657272,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,52,0.00018,0.018000000000000002,2.440725281126127e-08,3.928912391867818e-08,2.4980687555941796e-08,-0.018874335889797852,0.00993309750947028,-288.56360452570306,0.9566408028190228,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,53,0.00019,0.019,2.4292645354057906e-08,3.938374198642375e-08,2.4984408633322778e-08,0.004254936545054809,0.010571181706670995,-311.3335686780035,0.9422159845210583,True,saved_field_proxy,False
D0040,D0040_seed13_default_unitbox,13,54,0.0002,0.02,2.4492351542162365e-08,3.950054755281161e-08,2.4958871705708866e-08,0.01997061881044587,0.011680556638785783,-332.3969648776241,0.9429994539576543,True,saved_field_proxy,False
D0040,D0040_seed42_default_unitbox,42,0,1e-06,9.999999999999999e-05,3.6017580043033445e-11,3.6017580043033445e-11,9.739340378725937e-16,0.25245690307156193,0.25245690736673404,0.054174031204676384,0.037233147324741575,False,saved_field_proxy,False
D0040,D0040_seed42_default_unitbox,42,1,5e-06,0.0005,1.0458451923292814e-09,1.0458452095099698e-09,2.7525485244858374e-12,0.42059644045434247,0.4205964514238403,0.2679199067353502,0.19414997318305216,False,saved_field_proxy,False
D0040,D0040_seed42_default_unitbox,42,2,1e-05,0.001,4.1996995032433724e-09,4.199699616986086e-09,4.4216435988257016e-11,0.8200455334893277,0.8200458977001586,0.5275964290632167,0.3753547097416303,False,saved_field_proxy,False
