case,step,Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,He_current_mean,He_current_std,He_current_max,He_history_mean,He_history_std,He_history_max,mechanics_drive_mean,mechanics_drive_std,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_alpha_mean,bulk_alpha_mean,bulk_alpha_p95,bottom_right_alpha_max,bottom_right_alpha_mean,notch_tip_He_current_max,notch_tip_He_current_mean,bulk_He_current_p95,bulk_He_current_mean,bottom_right_He_current_max,bottom_right_He_current_mean,notch_tip_mechanics_drive_max,notch_tip_mechanics_drive_mean,bulk_mechanics_drive_p95,bulk_mechanics_drive_mean,bottom_right_mechanics_drive_max,bottom_right_mechanics_drive_mean,bulk_He_current_p95_over_notch_tip_He_current_max,bottom_right_He_current_max_over_notch_tip_He_current_max,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,bulk_alpha_mean_over_notch_tip_alpha_max,bottom_right_alpha_max_over_notch_tip_alpha_max,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_total,loss_log10,bottom_right_He_current_p95,bottom_right_alpha_p95,bottom_right_mechanics_drive_p95,bulk_He_current_max,bulk_alpha_max,bulk_mechanics_drive_max,macro_strain,macro_stress,max_He_current,max_He_history,max_mechanics_drive,notch_tip_He_current_p95,notch_tip_alpha_p95,notch_tip_mechanics_drive_p95
old_current_split_full_seed2,0,1e-06,-0.0001209048496093601,-4.113128338827247e-05,2.8678633378538815e-05,6.17902260273695e-05,0.0,4.355177402005935e-07,8.709553662792041e-07,4.8979756684275344e-05,4.355177402005935e-07,8.709553662792041e-07,4.8979756684275344e-05,4.355177402005935e-07,8.709553662792041e-07,4.8979756684275344e-05,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,-3.9581937016919255e-05,-5.875238300538749e-05,-4.31408303838042e-05,-6.588602468582395e-06,5.0794285925803706e-05,4.8985164539772086e-05,4.8979756684275344e-05,3.7627867762750287e-06,8.941119403971241e-07,4.054118400354581e-07,1.46746469908976e-06,1.278076183552912e-06,4.8979756684275344e-05,3.7627867762750287e-06,8.941119403971241e-07,4.054118400354581e-07,1.46746469908976e-06,1.278076183552912e-06,0.0182547240109948,0.029960636769779638,0.0182547240109948,0.029960636769779638,1.0899120567384992,-1.2832693332843146,0.0556415431201458,nan,nan,nan,nan,1.4485258475360751e-06,5.0613373787200544e-05,1.4485258475360751e-06,3.2494922379555646e-06,6.17902260273695e-05,3.2494922379555646e-06,nan,nan,4.8979756684275344e-05,4.8979756684275344e-05,4.8979756684275344e-05,6.977134216867844e-06,-4.7191545309033256e-05,6.977134216867844e-06
old_current_split_full_seed2,1,5e-06,0.0007727643242105842,0.0023129758827336306,0.0003956379895928134,0.003462304826825857,0.0,1.8614939808270284e-05,5.143297143321481e-07,2.1014859157730825e-05,1.862047766486556e-05,6.594487265603511e-07,4.8979756684275344e-05,1.8614939808270284e-05,5.143297143321481e-07,2.1014859157730825e-05,0.009886838495731354,0.009704637341201305,0.005021084565669298,0.004998643882572651,0.009886838495731354,0.009704637341201305,0.002713928697630763,0.0025556218995368236,0.002306999723490736,0.002939212345518172,0.0023426811676472425,0.002329344628378749,1.948437602550257e-05,1.901940321322524e-05,1.946496404343634e-05,1.8642298606417667e-05,2.040553226834163e-05,2.018981467699632e-05,1.948437602550257e-05,1.901940321322524e-05,1.946496404343634e-05,1.8642298606417667e-05,2.040553226834163e-05,2.018981467699632e-05,0.9990037154876901,1.0472766611377948,0.9990037154876901,1.0472766611377948,0.8500590769037991,0.8632066014454924,0.4682535231113434,nan,nan,nan,nan,2.03839605092071e-05,0.002341347513720393,2.03839605092071e-05,2.0842600861215033e-05,0.003462304826825857,2.0842600861215033e-05,nan,nan,2.1014859157730825e-05,4.8979756684275344e-05,2.1014859157730825e-05,1.9180606250301936e-05,0.002678682515397668,1.9180606250301936e-05
old_current_split_full_seed2,2,1e-05,-0.00024529427173547447,0.0060785383124041525,0.006285075156303716,0.03709454461932182,0.0,5.2841827568333134e-05,0.00010841123212407197,0.005928884260356426,5.978334295563174e-05,0.00010540410102665553,0.005928884260356426,5.2841827568333134e-05,0.00010841123212407197,0.005928884260356426,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.03709454461932182,0.028254817558886255,0.00599153699708048,0.015842779166996473,0.014586607925593853,0.014366249553859234,0.005928884260356426,0.0005156617250938562,0.00011548492184374478,4.8409258269878815e-05,0.00012915779370814562,0.00012257665366632864,0.005928884260356426,0.0005156617250938562,0.00011548492184374478,4.8409258269878815e-05,0.00012915779370814562,0.00012257665366632864,0.01947835659669332,0.021784502452132714,0.01947835659669332,0.021784502452132714,0.16152070495993112,0.3932278472559001,0.5403510928153992,nan,nan,nan,nan,0.00012849967970396392,0.01456457208842039,0.00012849967970396392,0.0003473868709988892,0.030967574566602707,0.0003473868709988892,nan,nan,0.005928884260356426,0.005928884260356426,0.005928884260356426,0.0011196641018614158,0.0360804446041584,0.0011196641018614158
old_current_split_full_seed2,3,1.5e-05,-0.000394349277485162,0.013871950534711361,0.015218989675201732,0.10429229587316513,0.0,0.00012190406760031527,0.00027471984098835934,0.015134209766983986,0.00012823841301679942,0.0002720587570221047,0.015134209766983986,0.00012190406760031527,0.00027471984098835934,0.015134209766983986,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.10429229587316513,0.08085570805897452,0.013415198712687692,0.03473788239061832,0.03356903791427612,0.03340892121195793,0.015134209766983986,0.001295058192015061,0.0002609829985885879,0.00011029380673216635,0.0003126290685031563,0.00029451216687448323,0.015134209766983986,0.001295058192015061,0.0002609829985885879,0.00011029380673216635,0.0003126290685031563,0.00029451216687448323,0.017244573889674437,0.02065711215296961,0.017244573889674437,0.02065711215296961,0.12863077373426085,0.3218745702472697,0.7772467732429504,nan,nan,nan,nan,0.000310817378340289,0.033553026244044305,0.000310817378340289,0.0009282691171392798,0.08612750470638275,0.0009282691171392798,nan,nan,0.015134209766983986,0.015134209766983986,0.015134209766983986,0.0026716860011219944,0.10222828686237335,0.0026716860011219944
old_current_split_full_seed2,4,2e-05,-0.0006983840139582753,0.023964708916455156,0.026486710246483868,0.155859112739563,0.0,0.0002213470608912863,0.0004663948365071262,0.02295464649796486,0.0002278520088427518,0.0004694086315425947,0.02295464649796486,0.0002213470608912863,0.0004663948365071262,0.02295464649796486,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.155859112739563,0.12828479656209685,0.02357302186956339,0.06303252838551997,0.06420846283435822,0.06399252265691757,0.02295464649796486,0.0023328459922109463,0.0004867462179390711,0.00020110267897261247,0.000560962304007262,0.0005311031709425151,0.02295464649796486,0.0023328459922109463,0.0004867462179390711,0.00020110267897261247,0.000560962304007262,0.0005311031709425151,0.021204692391243125,0.024437854185948647,0.021204692391243125,0.024437854185948647,0.15124570809634577,0.4119647655228802,0.9969773292541504,nan,nan,nan,nan,0.0005579763907007873,0.06418686881661415,0.0005579763907007873,0.002247536089271307,0.12854067981243134,0.002247536089271307,nan,nan,0.02295464649796486,0.02295464649796486,0.02295464649796486,0.005146721191704272,0.15347441732883454,0.005146721191704272
old_current_split_full_seed2,5,2.5e-05,-0.001354895532131195,0.03817327509656368,0.042934629454591984,0.23719170689582825,0.0,0.00037958420981767054,0.0009234799115765647,0.04049051180481911,0.0003858867669347788,0.0009268010715858319,0.04049051180481911,0.00037958420981767054,0.0009234799115765647,0.04049051180481911,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.23719170689582825,0.21221321004710786,0.03744555288409428,0.10472258627414699,0.09221796691417694,0.09086105972528458,0.04049051180481911,0.0045238413970777125,0.0008020243403734636,0.00033838757835507363,0.0009589805267751217,0.0008723307983018458,0.04049051180481911,0.0045238413970777125,0.0008020243403734636,0.00033838757835507363,0.0009589805267751217,0.0008723307983018458,0.019807710612292338,0.023684080146919397,0.019807710612292338,0.023684080146919397,0.15787041365885493,0.38879085664946106,1.1864553689956665,nan,nan,nan,nan,0.0009503155539277941,0.09208227619528771,0.0009503155539277941,0.004052088130265474,0.22340548038482666,0.004052088130265474,nan,nan,0.04049051180481911,0.04049051180481911,0.04049051180481911,0.016537830047309375,0.23527370095252992,0.016537830047309375
old_current_split_full_seed2,6,3e-05,-0.005583964288234711,0.05594097530856812,0.04994548268510743,0.20570199191570282,0.0,0.0005435368522913457,0.0009165212393167493,0.026333525776863098,0.0005814857122657553,0.0011335140183035596,0.04049051180481911,0.0005435368522913457,0.0009165212393167493,0.026333525776863098,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.20570199191570282,0.1915338590537032,0.05669812068557432,0.14129486456513404,0.14076057076454163,0.13782528042793274,0.026333525776863098,0.004866875290283805,0.001202189573086798,0.0005080878198443052,0.0015529671218246222,0.001497567747719586,0.026333525776863098,0.004866875290283805,0.001202189573086798,0.0005080878198443052,0.0015529671218246222,0.001497567747719586,0.045652434971053285,0.058973004032337926,0.045652434971053285,0.058973004032337926,0.2756323366514085,0.6842936689802481,1.393164038658142,nan,nan,nan,nan,0.0015474271844141186,0.14046704173088073,0.0015474271844141186,0.013394820503890514,0.1991093009710312,0.013394820503890514,nan,nan,0.026333525776863098,0.04049051180481911,0.026333525776863098,0.015495214611291868,0.20424463748931884,0.015495214611291868
old_current_split_full_seed2,7,3.5e-05,0.09552669525146484,0.10600620659794215,0.003143468374037991,0.11368321627378464,0.0,0.0009484740721643235,5.185898019840632e-05,0.001331676496192813,0.0010694997965972999,0.0010263458396767816,0.04049051180481911,0.0009484740721643235,5.185898019840632e-05,0.001331676496192813,0.0028681836556643248,0.005250617861747742,0.005021084565669298,0.004998643882572651,0.0028681836556643248,0.005250617861747742,0.10865341126918793,0.10810981976659331,0.10625650127277608,0.11106675826013088,0.1076483353972435,0.10748688131570816,0.00107706303242594,0.0009654983694741681,0.001043482549721375,0.000951144967750362,0.0010066023096442223,0.0010055882157757878,0.00107706303242594,0.0009654983694741681,0.001043482549721375,0.000951144967750362,0.0010066023096442223,0.0010055882157757878,0.9688221750319205,0.9345806877959459,0.9688221750319205,0.9345806877959459,0.977939855100605,0.990749707163318,2.2705795764923096,nan,nan,nan,nan,0.0010065009002573789,0.10763218998908997,0.0010065009002573789,0.001331676496192813,0.11368321627378464,0.001331676496192813,nan,nan,0.001331676496192813,0.04049051180481911,0.001331676496192813,0.0010504527483135462,0.10856656283140183,0.0010504527483135462
old_current_split_full_seed2,8,4e-05,0.12195706367492676,0.13458376097890634,0.0032816209245113115,0.14109322428703308,0.0,0.0012452807507001454,5.581936961343892e-05,0.00148879736661911,0.001342921755224125,0.000996784631229179,0.04049051180481911,0.0012452807507001454,5.581936961343892e-05,0.00148879736661911,0.003899004077538848,0.004531288519501686,0.005021084565669298,0.004998643882572651,0.003899004077538848,0.004531288519501686,0.13879366219043732,0.13829700628372088,0.13477383102237706,0.13919791504740714,0.13818368315696716,0.1380876526236534,0.001393723301589489,0.001271461586353101,0.0013621883001178501,0.0012484673156187426,0.001307730795815587,0.0012992091942578554,0.001393723301589489,0.001271461586353101,0.0013621883001178501,0.0012484673156187426,0.001307730795815587,0.0012992091942578554,0.9773735565476488,0.9383001592383289,0.9773735565476488,0.9383001592383289,0.9710373578690885,0.9956051376997805,2.312527894973755,nan,nan,nan,nan,0.0013068786356598139,0.1381740801036358,0.0013068786356598139,0.00148879736661911,0.14023886620998383,0.00148879736661911,nan,nan,0.00148879736661911,0.04049051180481911,0.00148879736661911,0.0013193173334002494,0.1387689918279648,0.0013193173334002494
old_current_split_full_seed2,9,4.5e-05,0.14850227534770966,0.16470206155891098,0.003966282307567107,0.17425385117530823,0.0,0.0015812772632969123,7.641334320863484e-05,0.0018881347496062517,0.0016628741647494291,0.0009683520895184939,0.04049051180481911,0.0015812772632969123,7.641334320863484e-05,0.0018881347496062517,0.004092133603990078,0.004909031093120575,0.005021084565669298,0.004998643882572651,0.004092133603990078,0.004909031093120575,0.17425385117530823,0.17184544569008972,0.1650697509206554,0.1715179868042469,0.1621156483888626,0.1620975062251091,0.001816518371924758,0.0016880730479598453,0.0017486331402324139,0.0015850301466536442,0.0016291558276861906,0.001624135475140065,0.001816518371924758,0.0016880730479598453,0.0017486331402324139,0.0015850301466536442,0.0016291558276861906,0.001624135475140065,0.9626289319494117,0.8968562349082985,0.9626289319494117,0.8968562349082985,0.9472947071602271,0.9303418391927879,2.2766895294189453,nan,nan,nan,nan,0.0016286537924315781,0.16211383417248726,0.0016286537924315781,0.0018881347496062517,0.17417828738689423,0.0018881347496062517,nan,nan,0.0018881347496062517,0.04049051180481911,0.0018881347496062517,0.0017902554012835024,0.17380135059356688,0.0017902554012835024
