case,step,Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,He_current_mean,He_current_std,He_current_max,He_history_mean,He_history_std,He_history_max,mechanics_drive_mean,mechanics_drive_std,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_alpha_mean,bulk_alpha_mean,bulk_alpha_p95,bottom_right_alpha_max,bottom_right_alpha_mean,notch_tip_He_current_max,notch_tip_He_current_mean,bulk_He_current_p95,bulk_He_current_mean,bottom_right_He_current_max,bottom_right_He_current_mean,notch_tip_mechanics_drive_max,notch_tip_mechanics_drive_mean,bulk_mechanics_drive_p95,bulk_mechanics_drive_mean,bottom_right_mechanics_drive_max,bottom_right_mechanics_drive_mean,bulk_He_current_p95_over_notch_tip_He_current_max,bottom_right_He_current_max_over_notch_tip_He_current_max,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,He_current_ratio_denominator_valid,mechanics_drive_ratio_denominator_valid,bulk_He_current_p95_over_notch_tip_He_current_max_valid,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,bulk_alpha_mean_over_notch_tip_alpha_max,bottom_right_alpha_max_over_notch_tip_alpha_max,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_total,loss_log10,top_u_mode,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,bottom_right_He_current_p95,bottom_right_alpha_p95,bottom_right_mechanics_drive_p95,bottom_u_max,bottom_u_mean,bottom_u_min,bottom_v_max,bottom_v_mean,bottom_v_min,bulk_He_current_max,bulk_alpha_max,bulk_mechanics_drive_max,macro_strain,macro_stress,max_He_current,max_He_history,max_mechanics_drive,notch_tip_He_current_p95,notch_tip_alpha_p95,notch_tip_mechanics_drive_p95,top_u_max,top_u_mean,top_u_min,top_v_abs_max,top_v_max,top_v_mean,top_v_min,run_mode,coord_normalization_control
smoke_unitbox_coupled,0,1e-06,4.9680471420288086e-05,9.145217669284894e-05,1.1574305507826968e-05,0.00011753042781492695,0.0,7.670035897399657e-07,8.242073377540062e-08,1.0069111340271775e-06,7.670035897399657e-07,8.242073377540062e-08,1.0069111340271775e-06,7.670035897399657e-07,8.242073377540062e-08,1.0069111340271775e-06,0.0007207089802250266,0.006557815708220005,0.0007207089802250266,0.006557815708220005,0.0007207089802250266,0.006557815708220005,8.416175842285156e-05,8.266592928135053e-05,9.040235552061168e-05,0.00010763903737824875,9.892384696286172e-05,9.848177796811797e-05,8.585474233768764e-07,7.373595475693124e-07,8.963316759036387e-07,7.675616845643093e-07,5.800380904474878e-07,5.794304342998657e-07,8.585474233768764e-07,7.373595475693124e-07,8.963316759036387e-07,7.675616845643093e-07,5.800380904474878e-07,5.794304342998657e-07,1.0440095112954246,0.6756040198292792,1.0440095112954246,0.6756040198292792,True,True,1.0440095112954246,0.6756040198292792,1.0440095112954246,0.6756040198292792,1.0741500322082824,1.175401379636597,0.09202530235052109,7.214077946127162e-11,6.236323272840096e-15,7.214701578454446e-11,-10.141781627912255,free,1.648657956820898e-07,0.0,0.0,0.0,5.799773248327256e-07,9.887964006338734e-05,5.799773248327256e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0069111340271775e-06,0.0001142720429925248,1.0069111340271775e-06,nan,nan,1.0069111340271775e-06,1.0069111340271775e-06,1.0069111340271775e-06,8.150313760779681e-07,8.377433114219457e-05,8.150313760779681e-07,1.648657956820898e-07,1.5397406301076443e-07,1.2617763900379941e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,smoke,unit_box
none_alpha_init_history_m12,0,1e-06,7.544954860350117e-05,7.800237735092858e-05,1.3153217799405232e-06,9.033083915710449e-05,0.0,6.388263551992329e-07,1.2935531446559039e-08,8.177064501069253e-07,6.388263551992329e-07,1.2935531446559039e-08,8.177064501069253e-07,6.388263551992329e-07,1.2935531446559039e-08,8.177064501069253e-07,0.00011280964827165008,0.0002940627164207399,0.00011280964827165008,0.0002940627164207399,0.00011280964827165008,0.0002940627164207399,7.78337343945168e-05,7.757680827101105e-05,7.789866157131821e-05,7.966160774230957e-05,8.589029312133789e-05,8.570154750486836e-05,6.503361191789736e-07,6.458966318137281e-07,6.498484253825154e-07,6.387618866775723e-07,8.018798780540237e-07,7.970403999024711e-07,6.503361191789736e-07,6.458966318137281e-07,6.498484253825154e-07,6.387618866775723e-07,8.018798780540237e-07,7.970403999024711e-07,0.9992500896350739,1.2330237463457647,0.9992500896350739,1.2330237463457647,True,True,0.9992500896350739,1.2330237463457647,0.9992500896350739,1.2330237463457647,1.0008341778446903,1.1035098571267918,0.08481965959072113,6.2911328924109e-11,4.947011225144016e-15,6.291627593533414e-11,-10.201236991525539,free,1.5521092677772685e-07,0.0,0.0,0.0,8.013959302388685e-07,8.587141855969094e-05,8.013959302388685e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.097698926372686e-07,8.630752563476562e-05,7.097698926372686e-07,nan,nan,8.177064501069253e-07,8.177064501069253e-07,8.177064501069253e-07,6.485065227934683e-07,7.77741297497414e-05,6.485065227934683e-07,1.5521092677772685e-07,5.693057691935621e-09,-9.456802274598886e-08,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,medium_m12,none
none_alpha_init_history_m12,1,5.875e-06,0.002977828262373805,0.003162830056553089,6.37067850942834e-05,0.00337953376583755,0.0,2.5727838108997343e-05,1.9504635903249127e-07,2.6378074835520238e-05,2.5727838108997343e-05,1.9504635903249127e-07,2.6378074835520238e-05,2.5727838108997343e-05,1.9504635903249127e-07,2.6378074835520238e-05,0.00988017488270998,0.0002885742287617177,0.00988017488270998,0.0002885742287617177,0.00988017488270998,0.0002885742287617177,0.0031624934636056423,0.0031517041330417135,0.0031592815628297887,0.003256554494146258,0.0032170615158975124,0.0032147468300536275,2.5913243007380515e-05,2.5897703904176947e-05,2.596412832645001e-05,2.573468317117896e-05,2.6378074835520238e-05,2.632782343425788e-05,2.5913243007380515e-05,2.5897703904176947e-05,2.596412832645001e-05,2.573468317117896e-05,2.6378074835520238e-05,2.632782343425788e-05,1.0019636800787535,1.0179380028971028,1.0019636800787535,1.0179380028971028,True,True,1.0019636800787535,1.0179380028971028,1.0019636800787535,1.0179380028971028,0.9989843771021769,1.0172547557551805,0.537104070186615,2.524232156631001e-09,8.010613006259604e-12,2.5322427696372607e-09,-8.5964946602425,free,1.6984419914933824e-07,0.0,0.0,0.0,2.6373049695394003e-05,0.003216830047313124,2.6373049695394003e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.60143460764084e-05,0.003357072826474905,2.60143460764084e-05,nan,nan,2.6378074835520238e-05,2.6378074835520238e-05,2.6378074835520238e-05,2.5911805641953835e-05,0.0031612358056008817,2.5911805641953835e-05,1.6984419914933824e-07,-2.530913145726288e-10,-1.259350455029562e-07,5.875000169908162e-06,5.875000169908162e-06,5.875000169908162e-06,5.875000169908162e-06,medium_m12,none
none_alpha_init_history_m12,2,1.075e-05,0.00998007319867611,0.010713544208642472,0.00024595263370717486,0.011511176824569702,0.0,8.746750035434949e-05,6.216596403900754e-07,8.852669998304918e-05,8.746750035434949e-05,6.216596403900754e-07,8.852669998304918e-05,8.746750035434949e-05,6.216596403900754e-07,8.852669998304918e-05,0.00010113586176885292,0.004910775925964117,0.00010113586176885292,0.004910775925964117,0.00010113586176885292,0.004910775925964117,0.010737201198935509,0.01069885864853859,0.010712788512602031,0.011086723022162914,0.010472099296748638,0.010458370205014944,8.822504605632275e-05,8.797685167997795e-05,8.81142150319647e-05,8.749681572724066e-05,8.746676030568779e-05,8.743380021769553e-05,8.822504605632275e-05,8.797685167997795e-05,8.81142150319647e-05,8.749681572724066e-05,8.746676030568779e-05,8.743380021769553e-05,0.9987437691527268,0.9914050965736999,0.9987437691527268,0.9914050965736999,True,True,0.9987437691527268,0.9914050965736999,0.9987437691527268,0.9914050965736999,0.9977263454524911,0.9753099623193097,0.9646861553192139,8.449880795069475e-09,9.150485924536156e-11,8.541385654314837e-09,-8.068471668748105,free,2.0226192987138347e-07,0.0,0.0,0.0,8.746346429688856e-05,0.010470726387575268,8.746346429688856e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.82166059454903e-05,0.011449744924902916,8.82166059454903e-05,nan,nan,8.852669998304918e-05,8.852669998304918e-05,8.852669998304918e-05,8.811834268271924e-05,0.010732333175837994,8.811834268271924e-05,2.0226192987138347e-07,1.985824304995276e-09,-1.426027438355959e-07,1.0750000001280569e-05,1.0750000001280569e-05,1.0750000001280569e-05,1.0750000001280569e-05,medium_m12,none
none_alpha_init_history_m12,3,1.5625e-05,0.021075498312711716,0.022516170213685044,0.00044246627056316744,0.023936450481414795,0.0,0.00018556897908018796,1.1358104511767407e-06,0.00018712319433689117,0.00018556897908018796,1.1358104511767407e-06,0.00018712319433689117,0.00018556897908018796,1.1358104511767407e-06,0.00018712319433689117,0.0004954948090016842,0.004909367300570011,0.0004954948090016842,0.004909367300570011,0.0004954948090016842,0.004909367300570011,0.0225710179656744,0.022503782931255968,0.02251687775533249,0.023190011829137804,0.022072892636060715,0.022047242149710655,0.00018643392832018435,0.00018621270272925445,0.0001869326653832104,0.0001856174195679082,0.00018497856217436492,0.0001846476661739871,0.00018643392832018435,0.00018621270272925445,0.0001869326653832104,0.0001856174195679082,0.00018497856217436492,0.0001846476661739871,1.0026751410943264,0.9921936626078063,1.0026751410943264,0.9921936626078063,True,True,1.0026751410943264,0.9921936626078063,1.0026751410943264,0.9921936626078063,0.9976013394511383,0.9779307548125997,1.3513739109039307,1.7527501228187248e-08,4.038431256070396e-10,1.7931344353794287e-08,-7.746387149169109,free,2.567623766935867e-07,0.0,0.0,0.0,0.00018494547257432714,0.02207032758742571,0.00018494547257432714,0.0,0.0,0.0,0.0,0.0,0.0,0.00018706455011852086,0.023829063400626183,0.00018706455011852086,nan,nan,0.00018712319433689117,0.00018712319433689117,0.00018712319433689117,0.00018642566283233464,0.022562407329678534,0.00018642566283233464,2.567623766935867e-07,-7.338962748626443e-09,-1.9254746064234496e-07,1.5625000742147677e-05,1.5625000742147677e-05,1.5625000742147677e-05,1.5625000742147677e-05,medium_m12,none
none_alpha_init_history_m12,4,2.05e-05,0.03605492040514946,0.03823901684667328,0.0006688549188841789,0.040385596454143524,0.0,0.00032017920690348894,1.885930400351113e-06,0.0003228451532777399,0.00032017920690348894,1.885930400351113e-06,0.0003228451532777399,0.00032017920690348894,1.885930400351113e-06,0.0003228451532777399,0.0024313791655004025,0.005495362915098667,0.0024313791655004025,0.005495362915098667,0.0024313791655004025,0.005495362915098667,0.038327187299728394,0.03822575570785836,0.03824067036334742,0.039259590208530426,0.03754876181483269,0.037509214133024216,0.0003216664772480726,0.00032137736218841107,0.0003225409862352535,0.0003202484021362505,0.0003182060900144279,0.0003177603502990678,0.0003216664772480726,0.00032137736218841107,0.0003225409862352535,0.0003202484021362505,0.0003182060900144279,0.0003177603502990678,1.0027186823901033,0.9892423131460601,1.0027186823901033,0.9892423131460601,True,True,1.0027186823901033,0.9892423131460601,1.0027186823901033,0.9892423131460601,0.9977426745222813,0.9796899918898765,1.6826270818710327,2.9295492254277633e-08,1.1644892827789022e-09,3.0459981537056535e-08,-7.5162703642421596,free,2.646065979661216e-07,0.0,0.0,0.0,0.00031816151604289187,0.03754480704665184,0.00031816151604289187,0.0,0.0,0.0,0.0,0.0,0.0,0.0003228451532777399,0.04022408649325371,0.0003228451532777399,nan,nan,0.0003228451532777399,0.0003228451532777399,0.0003228451532777399,0.0003216457844246179,0.03831402435898781,0.0003216457844246179,2.646065979661216e-07,-1.2102947682945952e-08,-2.2032602942090307e-07,2.049999966402538e-05,2.049999966402538e-05,2.049999966402538e-05,2.049999966402538e-05,medium_m12,none
none_alpha_init_history_m12,5,2.5375e-05,0.05454963445663452,0.05754536478703618,0.0009155471110891344,0.06048526614904404,0.0,0.0004912733829999695,2.9377268461042257e-06,0.0004953961470164359,0.0004912733829999695,2.9377268461042257e-06,0.0004953961470164359,0.0004912733829999695,2.9377268461042257e-06,0.0004953961470164359,0.0007024272345006466,0.005947226192802191,0.0007024272345006466,0.005947226192802191,0.0007024272345006466,0.005947226192802191,0.05766903609037399,0.057530973718999186,0.05754834667780675,0.058945028483867644,0.05655020475387573,0.056496089324355125,0.0004924521781504154,0.0004920496227385553,0.0004949887399561704,0.0004913694627003923,0.00048514376976527274,0.0004845832154387608,0.0004924521781504154,0.0004920496227385553,0.0004949887399561704,0.0004913694627003923,0.00048514376976527274,0.0004845832154387608,1.0051508794524615,0.9851591510619527,1.0051508794524615,0.9851591510619527,True,True,1.0051508794524615,0.9851591510619527,1.0051508794524615,0.9851591510619527,0.9979072060025745,0.9805990976727108,1.9441919326782227,4.31811209011812e-08,2.636684648393839e-09,4.581780554957504e-08,-7.338965715245551,free,2.9338474405449233e-07,0.0,0.0,0.0,0.0004850877143326215,0.05654479321092367,0.0004850877143326215,0.0,0.0,0.0,0.0,0.0,0.0,0.0004953961470164359,0.06026487797498703,0.0004953961470164359,nan,nan,0.0004953961470164359,0.0004953961470164359,0.0004953961470164359,0.0004923824220895767,0.057650575041770936,0.0004923824220895767,2.9338474405449233e-07,-8.329122974659597e-09,-2.3548595606825984e-07,2.537500040489249e-05,2.537500040489249e-05,2.537500040489249e-05,2.537500040489249e-05,medium_m12,none
none_alpha_init_history_m12,6,3.025e-05,0.07615239918231964,0.08001120019352297,0.0011829851697203048,0.08380910754203796,0.0,0.0006991791471618125,4.714384886555711e-06,0.0007051185239106417,0.0006991791471618125,4.714384886555711e-06,0.0007051185239106417,0.0006991791471618125,4.714384886555711e-06,0.0007051185239106417,0.0045290011912584305,0.006356149911880493,0.0045290011912584305,0.006356149911880493,0.0045290011912584305,0.006356149911880493,0.08016876876354218,0.07999011047490656,0.08001505013113992,0.08182017393410206,0.07873040437698364,0.0786610022187233,0.00070240069180727,0.0007008711252463599,0.0007045074657071382,0.0006993449802400116,0.0006865344475954771,0.0006858871493022889,0.00070240069180727,0.0007008711252463599,0.0007045074657071382,0.0006993449802400116,0.0006865344475954771,0.0006858871493022889,1.0029993904112586,0.9774114057732927,1.0029993904112586,0.9774114057732927,True,True,1.0029993904112586,0.9774114057732927,1.0029993904112586,0.9774114057732927,0.9980825621401814,0.9820582951597898,2.1262946128845215,5.8548696557636504e-08,5.097002819809404e-09,6.364569937744591e-08,-7.196230936860998,free,3.0868233125147526e-07,0.0,0.0,0.0,0.0006864697177661582,0.07872346416115761,0.0006864697177661582,0.0,0.0,0.0,0.0,0.0,0.0,0.0007051185239106417,0.08352407068014145,0.0007051185239106417,nan,nan,0.0007051185239106417,0.0007051185239106417,0.0007051185239106417,0.0007023390382528305,0.08014520853757859,0.0007023390382528305,3.0868233125147526e-07,-1.3178377500366878e-08,-2.477999601069314e-07,3.0249999326770194e-05,3.0249999326770194e-05,3.0249999326770194e-05,3.0249999326770194e-05,medium_m12,none
none_alpha_init_history_m12,7,3.5125e-05,0.10005130618810654,0.10485912604707377,0.001475831777322561,0.10959866642951965,0.0,0.0009432841077438504,6.848735148517448e-06,0.0009522491600364447,0.0009432841077438504,6.848735148517448e-06,0.0009522491600364447,0.0009432841077438504,6.848735148517448e-06,0.0009522491600364447,0.0034579322673380375,0.006924356333911419,0.0034579322673380375,0.006924356333911419,0.0034579322673380375,0.006924356333911419,0.1050613671541214,0.10483841169370364,0.10486436953051612,0.10711520612239837,0.10325935482978821,0.10317313298583031,0.0009477735147811472,0.0009466824225430722,0.0009510884119663388,0.0009434667734292602,0.00092318095266819,0.0009224517270922661,0.0009477735147811472,0.0009466824225430722,0.0009510884119663388,0.0009434667734292602,0.00092318095266819,0.0009224517270922661,1.0034975625858853,0.9740522796539256,1.0034975625858853,0.9740522796539256,True,True,1.0034975625858853,0.9740522796539256,1.0034975625858853,0.9740522796539256,0.9981249280402349,0.982848002332868,2.229616165161133,7.4801640437272e-08,8.754010849543192e-09,8.355565128681519e-08,-7.0780241712681535,free,3.623646307460149e-07,0.0,0.0,0.0,0.0009231080301105976,0.10325073264539242,0.0009231080301105976,0.0,0.0,0.0,0.0,0.0,0.0,0.0009522491600364447,0.10924338549375534,0.0009522491600364447,nan,nan,0.0009522491600364447,0.0009522491600364447,0.0009522491600364447,0.0009476618841290474,0.105031818151474,0.0009476618841290474,3.623646307460149e-07,3.565951716133497e-08,-2.166083419297138e-07,3.51249982486479e-05,3.51249982486479e-05,3.51249982486479e-05,3.51249982486479e-05,medium_m12,none
none_alpha_init_history_m12,8,4e-05,0.12632891535758972,0.13204342003748568,0.0017561351017830846,0.1376868188381195,0.0,0.0012235261101087732,9.570716250937267e-06,0.001237215125001967,0.0012235261101087732,9.570716250937267e-06,0.001237215125001967,0.0012235261101087732,9.570716250937267e-06,0.001237215125001967,0.0010867452947422862,0.006958789192140102,0.0010867452947422862,0.006958789192140102,0.0010867452947422862,0.006958789192140102,0.13228727877140045,0.13202270702139973,0.13205023801952986,0.13472603410482406,0.13010427355766296,0.13000177592039108,0.0012298832880333066,0.0012256305103432643,0.0012334436585661023,0.0012237652234753375,0.0011933438945561647,0.0011926142615266144,0.0012298832880333066,0.0012256305103432643,0.0012334436585661023,0.0012237652234753375,0.0011933438945561647,0.0011926142615266144,1.002894884878458,0.970290356952836,1.002894884878458,0.970290356952836,True,True,1.002894884878458,0.970290356952836,1.002894884878458,0.970290356952836,0.9982081364582288,0.9834979959221186,2.248265027999878,9.126664934910877e-08,1.388053494366659e-08,1.0514718429277536e-07,-6.978202352673174,free,3.531718277827167e-07,0.0,0.0,0.0,0.0011932709312532097,0.13009402379393578,0.0011932709312532097,0.0,0.0,0.0,0.0,0.0,0.0,0.001237215125001967,0.13726434111595154,0.001237215125001967,nan,nan,0.001237215125001967,0.001237215125001967,0.001237215125001967,0.001227645925246179,0.13225173354148864,0.001227645925246179,3.531718277827167e-07,1.205684529992368e-09,-2.783489208013634e-07,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,medium_m12,none
