case,seed,mode,solve_scheme,mixed_mechanics_mode,alpha_init,top_u_mode,coord_normalization,l0,hidden_layers,neurons,n_rprop,n_lbfgs,steps,final_step,final_Delta,final_alpha_mean,final_alpha_std,final_alpha_max,final_alpha_gt_0p5_area_fraction,final_max_He_current_x,final_max_He_current_y,final_max_mechanics_drive_x,final_max_mechanics_drive_y,final_notch_tip_alpha_max,final_bulk_alpha_mean,final_bottom_right_alpha_max,final_notch_tip_He_current_max,final_bulk_He_current_p95,final_bottom_right_He_current_max,final_bulk_He_ratio,final_bottom_right_He_ratio,final_bulk_mechanics_drive_ratio,final_bottom_right_mechanics_drive_ratio,final_reaction_N_tm_eff,final_elastic_energy,final_fracture_energy,final_loss_log10,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,first_alpha_mean_gt_0p05_step,first_alpha_mean_gt_0p05_Delta,first_bulk_He_ratio_gt_0p25_step,classification,physical_validation_claim
smoke_unitbox_coupled,2,smoke,coupled,history,intact,free,unit_box,0.00015,2,20,10,0,1,0,1e-06,9.145217669284894e-05,1.1574305507826968e-05,0.00011753042781492695,0.0,0.0007207089802250266,0.006557815708220005,0.0007207089802250266,0.006557815708220005,8.416175842285156e-05,9.040235552061168e-05,9.892384696286172e-05,8.585474233768764e-07,8.963316759036387e-07,5.800380904474878e-07,1.0440095112954246,0.6756040198292792,1.0440095112954246,0.6756040198292792,0.09202530235052109,7.214077946127162e-11,6.236323272840096e-15,-10.141781627912255,0.0,0.0,0.0,,,0,smoke_passed,no
none_alpha_init_history_m12,2,medium_m12,coupled,history,intact,free,none,0.00015,4,100,300,0,12,11,4.6e-05,0.16766955388317134,0.002103774252875565,0.17443208396434784,0.0,0.004602374043315649,0.006764191202819347,0.004602374043315649,0.006764191202819347,0.16796240210533142,0.16767764721469633,0.16533604264259338,0.0016277269460260868,0.001636608864646405,0.0015682904049754143,1.0054566391752635,0.9634849437150499,1.0054566391752635,0.9634849437150499,2.157921314239502,1.1106531871973857e-07,2.2380346464956347e-08,-6.874695529159677,0.0,0.0,0.0,5,2.5375e-05,0,B_like_controlled_stage_still_uniform_not_full,no
unitbox_alpha_init_history_m12,2,medium_m12,coupled,history,intact,free,unit_box,0.00015,4,100,300,0,12,11,4.6e-05,0.10395352512594197,0.1553344023275423,1.0004647970199585,0.03289595268896692,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,1.0004633665084839,0.10052436491282205,0.21259549260139465,8.726094245910645,0.003003574791364371,0.0024368639569729567,0.0003442060911469014,0.00027926170498501746,0.0003623192324007572,0.00027926170498501746,0.7061354517936707,4.4468031035194144e-08,1.7108476413341123e-08,-7.210584947437425,0.0,0.0,0.0,6,3.025e-05,,A_like_controlled_stage_localized_not_full,no
