case,schedule_name,step_count,final_Delta_s,training_settings,continued_from_S0030,final_engineering_shear_strain,peak_nominal_shear_stress_MPa,final_nominal_shear_stress_MPa,post_peak_drop_observed,final_alpha_max,alpha_max_location,first_alpha0p5_connected_path_step,first_alpha0p8_connected_path_step,through_crack_any_step,final_HII_over_HI_peak_ratio,final_mechanics_drive_max_location,drive_location_classification,final_top_v_absmax_over_Delta_s,classification
stronger_S0030,load_schedules/load_schedule_S0030_shear.csv,21,5e-05,"RPROP=300, LBFGS=1",,0.005,27.285603573545814,27.285603573545814,False,0.3584118783473968,"(0.0050445, 0.00495711)",,,False,0.6315630612711453,"(0.00502108, 0.00499864)",notch-dominated,1.0130152804777026,stronger shear run qualitatively improved
extension_S0050,load_schedules/load_schedule_S0050_shear.csv,33,8e-05,"RPROP=300, LBFGS=1",False,0.008,29.964742134325206,28.4379260847345,True,1.000342845916748,"(0.00508378, 0.00496023)",22,25,False,0.5973975735795766,"(0.0050445, 0.00495711)",notch-dominated,1.083361257769866,shear extension successful with crack growth
