step,Delta_s,engineering_shear_strain,top_v_min,top_v_max,top_v_mean,top_v_abs_max,top_v_absmax_over_Delta_s,warning_top_v_gt_1p5_delta,unstable_top_v_gt_2p0_delta
0,1e-06,0.0001,-4.3687379047696606e-07,1.0255153028992936e-06,2.74106213282721e-07,1.0255153028992936e-06,1.0255153028992936,False,False
1,3e-06,0.0003,-1.3954438600194408e-06,3.019353243871592e-06,7.495743261642929e-07,3.019353243871592e-06,1.0064510812905307,False,False
2,5e-06,0.0005,-2.3852983304095687e-06,5.015594979340676e-06,1.2116964853703394e-06,5.015594979340676e-06,1.0031189958681352,False,False
3,7e-06,0.0007,-3.37860160470882e-06,7.021049441391369e-06,1.677661430221633e-06,7.021049441391369e-06,1.0030070630559098,False,False
4,1e-05,0.001,-4.869832991971634e-06,1.0009436664404348e-05,2.372129301875248e-06,1.0009436664404348e-05,1.0009436664404348,False,False
5,1.2e-05,0.0012,-5.86318492423743e-06,1.2026842341583688e-05,2.845611788870883e-06,1.2026842341583688e-05,1.0022368617986406,False,False
6,1.5e-05,0.0015,-7.358890798059292e-06,1.5045547115732916e-05,3.5500233934726566e-06,1.5045547115732916e-05,1.0030364743821945,False,False
7,1.7e-05,0.0017,-8.354273631994147e-06,1.7047013898263685e-05,4.020577307528583e-06,1.7047013898263685e-05,1.0027655234272757,False,False
8,2e-05,0.002,-9.841390237852464e-06,2.006043359870091e-05,4.728584826807492e-06,2.006043359870091e-05,1.0030216799350455,False,False
9,2.2e-05,0.0021999999999999,-1.0828829545062035e-05,2.2077081666793678e-05,5.205972229305189e-06,2.2077081666793678e-05,1.0035037121269854,False,False
10,2.5e-05,0.0025,-1.2326278920227196e-05,2.508481702534482e-05,5.917919224884827e-06,2.508481702534482e-05,1.0033926810137928,False,False
11,2.7e-05,0.0026999999999999,-1.330504619545536e-05,2.708839019760489e-05,6.390257567545632e-06,2.708839019760489e-05,1.0032737110224035,False,False
12,3e-05,0.003,-1.4797053154325113e-05,3.012524757650681e-05,7.112048024282558e-06,3.012524757650681e-05,1.0041749192168936,False,False
13,3.2e-05,0.0031999999999999,-1.5784406059538014e-05,3.21300103678368e-05,7.587020718347048e-06,3.21300103678368e-05,1.0040628239949,False,False
14,3.5e-05,0.0034999999999999,-1.7254989870707504e-05,3.519821257214062e-05,8.335904567502439e-06,3.519821257214062e-05,1.0056632163468748,False,False
15,3.7e-05,0.0036999999999999,-1.8240731151308864e-05,3.723509144037962e-05,8.832331332087051e-06,3.723509144037962e-05,1.0063538227129627,False,False
16,4e-05,0.004,-1.9717059331014752e-05,4.032296055811457e-05,9.593436516297515e-06,4.032296055811457e-05,1.0080740139528643,False,False
17,4.2e-05,0.0042,-2.0692352336482145e-05,4.2364703404018655e-05,1.009364041237859e-05,4.2364703404018655e-05,1.0086834143813965,False,False
18,4.5e-05,0.0045,-2.2146252376842316e-05,4.545232150121592e-05,1.087059990823036e-05,4.545232150121592e-05,1.0100515889159092,False,False
19,4.7e-05,0.0046999999999999,-2.3101434635464105e-05,4.754227120429277e-05,1.1407806596253067e-05,4.754227120429277e-05,1.0115376851977185,False,False
20,5e-05,0.005,-2.455417779856361e-05,5.065076402388513e-05,1.22033179650316e-05,5.065076402388513e-05,1.0130152804777026,False,False
21,5.2e-05,0.0052,-2.547368967498187e-05,5.276181764202192e-05,1.277580940950429e-05,5.276181764202192e-05,1.0146503392696524,False,False
22,5.5e-05,0.0055,-2.6848525521927517e-05,5.604731268249452e-05,1.3689324077859055e-05,5.604731268249452e-05,1.0190420487726277,False,False
23,5.7e-05,0.0057,-2.7700571081368253e-05,5.820982551085763e-05,1.433339639334008e-05,5.820982551085763e-05,1.0212250089624144,False,False
24,6e-05,0.006,-2.894386307161767e-05,6.168016261653975e-05,1.546299426991027e-05,6.168016261653975e-05,1.0280027102756624,False,False
25,6.2e-05,0.0062,-2.96721700578928e-05,6.398242840077728e-05,1.6253885405603796e-05,6.398242840077728e-05,1.03197465162544,False,False
26,6.5e-05,0.0065,-3.0795534257777035e-05,6.769108586013317e-05,1.758801590767689e-05,6.769108586013317e-05,1.0414013209251258,False,False
27,6.7e-05,0.0067,-3.1500982004217803e-05,7.010560511844233e-05,1.8466340407030657e-05,7.010560511844233e-05,1.0463523152006318,False,False
28,7e-05,0.0069999999999999,-3.2556366932112724e-05,7.391797407763079e-05,1.986393181141466e-05,7.391797407763079e-05,1.0559710582518684,False,False
29,7.2e-05,0.0072,-3.32127783622127e-05,7.64040814829059e-05,2.077908538922202e-05,7.64040814829059e-05,1.061167798373693,False,False
30,7.5e-05,0.0074999999999999,-3.42009479936678e-05,8.029431046452373e-05,2.227879303973168e-05,8.029431046452373e-05,1.0705908061936498,False,False
31,7.7e-05,0.0077,-3.483024920569733e-05,8.306979725603014e-05,2.3334940124186687e-05,8.306979725603014e-05,1.0788285357925993,False,False
32,8e-05,0.008,-3.577729148673825e-05,8.666890062158927e-05,2.4700930225662887e-05,8.666890062158927e-05,1.083361257769866,False,False
