case,seed,new_random_seed,reference_only,step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
seed7_default_unitbox,7,yes,no,0,1e-06,0.0001,0.0402765350031586,0.0372401967609903,4027.653500315864,3724.019676099033
seed7_default_unitbox,7,yes,no,1,5e-06,0.0005,0.2350424305177512,0.195067727162268,23504.24305177512,19506.77271622681
seed7_default_unitbox,7,yes,no,2,1e-05,0.001,0.4732371191948914,0.3810431357464949,47323.711919489135,38104.313574649495
seed7_default_unitbox,7,yes,no,3,1.5e-05,0.0015,0.6733363137527704,0.5324371807837736,67333.63137527704,53243.71807837735
seed7_default_unitbox,7,yes,no,4,2e-05,0.002,0.838573346868543,0.6410798715137389,83857.3346868543,64107.98715137388
seed7_default_unitbox,7,yes,no,5,2.5e-05,0.0025,0.94043093736218,0.6861076404618416,94043.09373621798,68610.76404618415
seed7_default_unitbox,7,yes,no,6,3e-05,0.003,1.0134819908103054,0.6936550406351216,101348.19908103051,69365.50406351215
seed7_default_unitbox,7,yes,no,7,3.5e-05,0.0034999999999999,1.097722271424573,0.6877238014340037,109772.22714245724,68772.38014340037
seed7_default_unitbox,7,yes,no,8,4e-05,0.004,1.1407904041789152,0.6701765388470449,114079.0404178915,67017.65388470449
seed7_default_unitbox,7,yes,no,9,4.5e-05,0.0045,1.2223306314353977,0.6897196222439561,122233.06314353977,68971.96222439561
seed7_default_unitbox,7,yes,no,10,4.7e-05,0.0046999999999999,1.2736495183389709,0.7131088317464673,127364.95183389704,71310.88317464673
seed7_default_unitbox,7,yes,no,11,4.9e-05,0.0049,1.2785334192813025,0.7150322412599053,127853.34192813023,71503.22412599053
seed7_default_unitbox,7,yes,no,12,5.1e-05,0.0050999999999999,1.274733834293329,0.7128582713704645,127473.38342933288,71285.82713704645
seed7_default_unitbox,7,yes,no,13,5.3e-05,0.0053,1.2757116068939922,0.715569602789401,127571.1606893992,71556.9602789401
seed7_default_unitbox,7,yes,no,14,5.5e-05,0.0055,1.2664950003227204,0.7072629648234852,126649.50003227204,70726.29648234851
seed7_default_unitbox,7,yes,no,15,5.7e-05,0.0057,1.258327257914971,0.7041533961253954,125832.72579149704,70415.33961253954
seed7_default_unitbox,7,yes,no,16,5.9e-05,0.0059,1.2305511329486762,0.6886949339559578,123055.1132948676,68869.49339559578
seed7_default_unitbox,7,yes,no,17,6.1e-05,0.0060999999999999,1.2307535968147931,0.692692497604952,123075.3596814793,69269.2497604952
seed7_default_unitbox,7,yes,no,18,6.3e-05,0.0063,1.211249092420985,0.6808298433043092,121124.9092420985,68082.98433043092
seed7_default_unitbox,7,yes,no,19,6.5e-05,0.0065,1.2524756657512626,0.701204376511555,125247.56657512624,70120.43765115549
seed7_default_unitbox,7,yes,no,20,6.7e-05,0.0067,1.250315112287126,0.7002755908516178,125031.51122871258,70027.55908516177
seed7_default_unitbox,7,yes,no,21,6.9e-05,0.0069,1.297794691481613,0.7261497163995045,129779.46914816128,72614.97163995045
seed7_default_unitbox,7,yes,no,22,7.1e-05,0.0071,1.2921322820602654,0.7216868278874244,129213.22820602651,72168.68278874244
seed7_default_unitbox,7,yes,no,23,7.3e-05,0.0073,1.3271210179937043,0.7347202969185673,132712.10179937043,73472.02969185673
seed7_default_unitbox,7,yes,no,24,7.5e-05,0.0074999999999999,1.3684639009170496,0.7544236589183129,136846.39009170496,75442.36589183129
seed7_default_unitbox,7,yes,no,25,7.7e-05,0.0077,1.3908237684745473,0.7680470470745604,139082.37684745473,76804.70470745604
seed7_default_unitbox,7,yes,no,26,8e-05,0.008,1.3998322710904176,0.7712236557608776,139983.22710904176,77122.36557608776
seed7_default_unitbox,7,yes,no,27,8.3e-05,0.0083,1.440952805523921,0.7906916058857405,144095.28055239207,79069.16058857404
seed7_default_unitbox,7,yes,no,28,8.6e-05,0.0086,1.42242531762804,0.7836327960717426,142242.531762804,78363.27960717426
seed7_default_unitbox,7,yes,no,29,8.9e-05,0.0089,1.4357146489203387,0.792015698110049,143571.46489203387,79201.5698110049
seed7_default_unitbox,7,yes,no,30,9.2e-05,0.0092,1.4393283531717316,0.7920017261540124,143932.83531717316,79200.17261540124
seed7_default_unitbox,7,yes,no,31,9.5e-05,0.0095,1.4516834269215906,0.795880374596436,145168.34269215906,79588.0374596436
seed7_default_unitbox,7,yes,no,32,9.8e-05,0.0098,1.408102564937508,0.7773010362370769,140810.2564937508,77730.10362370769
seed7_default_unitbox,7,yes,no,33,0.0001,0.01,1.4349280339729376,0.7899184718098695,143492.80339729376,78991.84718098695
seed13_default_unitbox,13,yes,no,0,1e-06,0.0001,0.0407757388529717,0.0374423023998815,4077.5738852971695,3744.230239988155
seed13_default_unitbox,13,yes,no,1,5e-06,0.0005,0.2268954800115352,0.1916362717793163,22689.54800115352,19163.62717793163
seed13_default_unitbox,13,yes,no,2,1e-05,0.001,0.4596414032675966,0.3747243056295701,45964.14032675965,37472.430562957015
seed13_default_unitbox,13,yes,no,3,1.5e-05,0.0015,0.6609409805378164,0.5270640459542619,66094.09805378164,52706.40459542619
seed13_default_unitbox,13,yes,no,4,2e-05,0.002,0.8302947145608641,0.6375848113293614,83029.47145608641,63758.48113293613
seed13_default_unitbox,13,yes,no,5,2.5e-05,0.0025,0.9400619330222072,0.6888980838004599,94006.1933022207,68889.80838004599
seed13_default_unitbox,13,yes,no,6,3e-05,0.003,1.0076889251422472,0.6947876531739894,100768.8925142247,69478.76531739894
seed13_default_unitbox,13,yes,no,7,3.5e-05,0.0034999999999999,1.0816861483817777,0.6859508766865474,108168.61483817772,68595.08766865474
seed13_default_unitbox,13,yes,no,8,4e-05,0.004,1.1598658555840302,0.685814093259296,115986.585558403,68581.40932592959
seed13_default_unitbox,13,yes,no,9,4.5e-05,0.0045,1.2895907377128424,0.7361579944813457,128959.07377128422,73615.79944813457
seed13_default_unitbox,13,yes,no,10,4.7e-05,0.0046999999999999,1.3347627474047383,0.7570225573942935,133476.27474047383,75702.25573942934
seed13_default_unitbox,13,yes,no,11,4.9e-05,0.0049,1.3453166535555283,0.7596229833666257,134531.66535555283,75962.29833666257
seed13_default_unitbox,13,yes,no,12,5.1e-05,0.0050999999999999,1.3829132001532685,0.7773960776233935,138291.32001532684,77739.60776233934
seed13_default_unitbox,13,yes,no,13,5.3e-05,0.0053,1.3847881538708862,0.7797359765717715,138478.8153870886,77973.59765717715
seed13_default_unitbox,13,yes,no,14,5.5e-05,0.0055,1.3870746363409123,0.7813714883013745,138707.46363409123,78137.14883013745
seed13_default_unitbox,13,yes,no,15,5.7e-05,0.0057,1.365911893685734,0.7718715195039749,136591.1893685734,77187.15195039749
seed13_default_unitbox,13,yes,no,16,5.9e-05,0.0059,1.3725217425673009,0.7737341322950897,137252.17425673007,77373.41322950897
seed13_default_unitbox,13,yes,no,17,6.1e-05,0.0060999999999999,1.3715941906866649,0.7732973406291421,137159.41906866647,77329.73406291421
seed13_default_unitbox,13,yes,no,18,6.3e-05,0.0063,1.378794532286065,0.7755150562616109,137879.4532286065,77551.50562616109
seed13_default_unitbox,13,yes,no,19,6.5e-05,0.0065,1.296842595820635,0.7351456918343047,129684.25958206352,73514.56918343046
seed13_default_unitbox,13,yes,no,20,6.7e-05,0.0067,1.3310060662092835,0.7498032564114965,133100.60662092836,74980.32564114964
seed13_default_unitbox,13,yes,no,21,6.9e-05,0.0069,1.35670384486275,0.7628717452234923,135670.384486275,76287.17452234923
seed13_default_unitbox,13,yes,no,22,7.1e-05,0.0071,1.347509456309126,0.762088612759726,134750.9456309126,76208.8612759726
seed13_default_unitbox,13,yes,no,23,7.3e-05,0.0073,1.3544596134806852,0.760850648248379,135445.96134806852,76085.0648248379
seed13_default_unitbox,13,yes,no,24,7.5e-05,0.0074999999999999,1.4225109717926898,0.7994232571491011,142251.09717926898,79942.32571491011
seed13_default_unitbox,13,yes,no,25,7.7e-05,0.0077,1.5272029921789,0.8470172433590051,152720.29921789,84701.72433590051
seed13_default_unitbox,13,yes,no,26,8e-05,0.008,1.5385310375677363,0.8536250171573556,153853.10375677363,85362.50171573556
seed13_default_unitbox,13,yes,no,27,8.3e-05,0.0083,1.5867613433329095,0.8789771612782715,158676.13433329095,87897.71612782715
seed13_default_unitbox,13,yes,no,28,8.6e-05,0.0086,1.6775183796653437,0.9197302485972614,167751.83796653437,91973.02485972612
seed13_default_unitbox,13,yes,no,29,8.9e-05,0.0089,1.6271273314032442,0.8955890972401903,162712.73314032442,89558.90972401902
seed13_default_unitbox,13,yes,no,30,9.2e-05,0.0092,1.641404389829404,0.9020765594414116,164140.4389829404,90207.65594414114
seed13_default_unitbox,13,yes,no,31,9.5e-05,0.0095,1.685021446292012,0.9244392856544436,168502.1446292012,92443.92856544437
seed13_default_unitbox,13,yes,no,32,9.8e-05,0.0098,1.6931725440372247,0.9226251418112952,169317.25440372247,92262.5141811295
seed13_default_unitbox,13,yes,no,33,0.0001,0.01,1.763569575814472,0.958831318484954,176356.9575814472,95883.13184849538
seed21_default_unitbox,21,yes,no,0,1e-06,0.0001,0.0399000910249469,0.0370660359578778,3990.009102494696,3706.603595787783
seed21_default_unitbox,21,yes,no,1,5e-06,0.0005,0.228863082782027,0.1932978676677521,22886.3082782027,19329.78676677521
seed21_default_unitbox,21,yes,no,2,1e-05,0.001,0.459776406387391,0.375370664357888,45977.640638739096,37537.0664357888
seed21_default_unitbox,21,yes,no,3,1.5e-05,0.0015,0.6717596317002972,0.5314795713502463,67175.96317002972,53147.95713502462
seed21_default_unitbox,21,yes,no,4,2e-05,0.002,0.8337309907631152,0.638426677426196,83373.09907631151,63842.66774261959
seed21_default_unitbox,21,yes,no,5,2.5e-05,0.0025,0.9520399448206264,0.6923166101131528,95203.9944820626,69231.66101131527
seed21_default_unitbox,21,yes,no,6,3e-05,0.003,1.0284517541094829,0.6997923748599533,102845.17541094829,69979.23748599533
seed21_default_unitbox,21,yes,no,7,3.5e-05,0.0034999999999999,1.0964539445694754,0.6919356686125866,109645.39445694751,69193.56686125866
seed21_default_unitbox,21,yes,no,8,4e-05,0.004,1.145194475839162,0.6751147127204149,114519.44758391618,67511.47127204148
seed21_default_unitbox,21,yes,no,9,4.5e-05,0.0045,1.331859137394531,0.7542093233716685,133185.9137394531,75420.93233716684
seed21_default_unitbox,21,yes,no,10,4.7e-05,0.0046999999999999,1.3722098887001266,0.7716779144573138,137220.98887001266,77167.79144573137
seed21_default_unitbox,21,yes,no,11,4.9e-05,0.0049,1.3601207360238732,0.7639343480008165,136012.0736023873,76393.43480008164
seed21_default_unitbox,21,yes,no,12,5.1e-05,0.0050999999999999,1.3395057633260876,0.751752416718432,133950.57633260876,75175.24167184319
seed21_default_unitbox,21,yes,no,13,5.3e-05,0.0053,1.3734617109548708,0.7703603970981021,137346.17109548708,77036.03970981021
seed21_default_unitbox,21,yes,no,14,5.5e-05,0.0055,1.379937342790072,0.7727904992407275,137993.7342790072,77279.04992407275
seed21_default_unitbox,21,yes,no,15,5.7e-05,0.0057,1.3986298073405123,0.7881779240221931,139862.98073405123,78817.7924022193
seed21_default_unitbox,21,yes,no,16,5.9e-05,0.0059,1.3826682970830009,0.7770583357569194,138266.8297083001,77705.83357569194
seed21_default_unitbox,21,yes,no,17,6.1e-05,0.0060999999999999,1.3851388791863428,0.7771149588506887,138513.88791863428,77711.49588506887
seed21_default_unitbox,21,yes,no,18,6.3e-05,0.0063,1.3644653888604807,0.7660727143274926,136446.53888604807,76607.27143274926
seed21_default_unitbox,21,yes,no,19,6.5e-05,0.0065,1.361215090355472,0.7620927032121472,136121.5090355472,76209.27032121472
seed21_default_unitbox,21,yes,no,20,6.7e-05,0.0067,1.3610723991064333,0.760307865220966,136107.23991064331,76030.7865220966
seed21_default_unitbox,21,yes,no,21,6.9e-05,0.0069,1.3916788934693614,0.781929108939039,139167.88934693614,78192.9108939039
seed21_default_unitbox,21,yes,no,22,7.1e-05,0.0071,1.4735880321268269,0.8263005384492317,147358.8032126827,82630.05384492317
seed21_default_unitbox,21,yes,no,23,7.3e-05,0.0073,1.435917629805772,0.802105913635387,143591.7629805772,80210.5913635387
seed21_default_unitbox,21,yes,no,24,7.5e-05,0.0074999999999999,1.4403910590772284,0.8043801067856293,144039.10590772284,80438.01067856293
seed21_default_unitbox,21,yes,no,25,7.7e-05,0.0077,1.4648766778009303,0.8185608068060901,146487.66778009303,81856.08068060901
seed21_default_unitbox,21,yes,no,26,8e-05,0.008,1.4500705415230186,0.8089369741810515,145007.05415230186,80893.69741810515
seed21_default_unitbox,21,yes,no,27,8.3e-05,0.0083,1.4362297638399468,0.8052000673615112,143622.97638399468,80520.00673615112
seed21_default_unitbox,21,yes,no,28,8.6e-05,0.0086,1.404829784178219,0.7797921114729434,140482.97841782187,77979.21114729434
seed21_default_unitbox,21,yes,no,29,8.9e-05,0.0089,1.404615796445796,0.7874680709960558,140461.5796445796,78746.80709960558
seed21_default_unitbox,21,yes,no,30,9.2e-05,0.0092,1.445507519520106,0.8070220026183961,144550.7519520106,80702.2002618396
seed21_default_unitbox,21,yes,no,31,9.5e-05,0.0095,1.4369409983601145,0.8053554659568363,143694.09983601145,80535.54659568363
seed21_default_unitbox,21,yes,no,32,9.8e-05,0.0098,1.4368602453487256,0.8015651402502044,143686.02453487256,80156.51402502044
seed21_default_unitbox,21,yes,no,33,0.0001,0.01,1.5652298209261062,0.8642315157203484,156522.98209261062,86423.15157203484
seed42_default_unitbox,42,yes,no,0,1e-06,0.0001,0.0403178273273852,0.0372331472959786,4031.78273273852,3723.3147295978592
seed42_default_unitbox,42,yes,no,1,5e-06,0.0005,0.2335788429377316,0.1941499717759143,23357.884293773164,19414.99717759143
seed42_default_unitbox,42,yes,no,2,1e-05,0.001,0.4608149835121367,0.375354706136477,46081.49835121366,37535.4706136477
seed42_default_unitbox,42,yes,no,3,1.5e-05,0.0015,0.6717071704542832,0.5313722328423864,67170.71704542832,53137.22328423864
seed42_default_unitbox,42,yes,no,4,2e-05,0.002,0.8348660537649266,0.639698410566325,83486.60537649266,63969.8410566325
seed42_default_unitbox,42,yes,no,5,2.5e-05,0.0025,0.9458864888642892,0.691014642029586,94588.64888642891,69101.4642029586
seed42_default_unitbox,42,yes,no,6,3e-05,0.003,1.0453478757881385,0.7109322440577159,104534.78757881383,71093.22440577159
seed42_default_unitbox,42,yes,no,7,3.5e-05,0.0034999999999999,1.113609100798385,0.6984669645291319,111360.91007983848,69846.69645291318
