case,seed,new_random_seed,reference_only,event,metric,threshold,step,Delta,value
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p05,alpha_mean,0.05,6.0,3e-05,0.0542602425280736
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p1,alpha_mean,0.1,10.0,4.7e-05,0.1027727497439676
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
seed42_default_unitbox,42,yes,no,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
seed42_default_unitbox,42,yes,no,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
seed42_default_unitbox,42,yes,no,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
seed42_default_unitbox,42,yes,no,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed42_default_unitbox,42,yes,no,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0.0,1e-06,4.349881783127785e-05
seed42_default_unitbox,42,yes,no,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0.0,1e-06,4.349881783127785e-05
seed42_default_unitbox,42,yes,no,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0.0,1e-06,8.58840979844899e-07
seed42_default_unitbox,42,yes,no,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1.0,5e-06,2.5263696988986297e-05
seed42_default_unitbox,42,yes,no,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0.0,1e-06,4.349881783127785e-05
seed99_default_unitbox,99,yes,no,first_alpha_mean_gt_0p05,alpha_mean,0.05,6.0,3e-05,0.0542436307372773
seed99_default_unitbox,99,yes,no,first_alpha_mean_gt_0p1,alpha_mean,0.1,10.0,4.7e-05,0.1024901048252652
seed99_default_unitbox,99,yes,no,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
seed99_default_unitbox,99,yes,no,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
seed99_default_unitbox,99,yes,no,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
seed99_default_unitbox,99,yes,no,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
seed99_default_unitbox,99,yes,no,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
seed99_default_unitbox,99,yes,no,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed99_default_unitbox,99,yes,no,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
seed99_default_unitbox,99,yes,no,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed99_default_unitbox,99,yes,no,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0.0,1e-06,4.3439889850560576e-05
seed99_default_unitbox,99,yes,no,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0.0,1e-06,4.3439889850560576e-05
seed99_default_unitbox,99,yes,no,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0.0,1e-06,8.534740516097372e-07
seed99_default_unitbox,99,yes,no,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1.0,5e-06,2.532049820729298e-05
seed99_default_unitbox,99,yes,no,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0.0,1e-06,4.3439889850560576e-05
seed2_reference_default_unitbox,2,no,yes,first_alpha_mean_gt_0p05,alpha_mean,0.05,6.0,3e-05,0.0544103188343943
seed2_reference_default_unitbox,2,no,yes,first_alpha_mean_gt_0p1,alpha_mean,0.1,10.0,4.7e-05,0.1024820514358246
seed2_reference_default_unitbox,2,no,yes,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
seed2_reference_default_unitbox,2,no,yes,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
seed2_reference_default_unitbox,2,no,yes,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.25,,,
seed2_reference_default_unitbox,2,no,yes,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max_valid,0.5,,,
seed2_reference_default_unitbox,2,no,yes,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.25,,,
seed2_reference_default_unitbox,2,no,yes,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed2_reference_default_unitbox,2,no,yes,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,0.5,,,
seed2_reference_default_unitbox,2,no,yes,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,0.5,,,
seed2_reference_default_unitbox,2,no,yes,first_notch_He_gt_1e-8,notch_tip_He_current_max,1e-08,0.0,1e-06,4.4004671508446336e-05
seed2_reference_default_unitbox,2,no,yes,first_notch_He_gt_1e-6,notch_tip_He_current_max,1e-06,0.0,1e-06,4.4004671508446336e-05
seed2_reference_default_unitbox,2,no,yes,first_bulk_He_p95_gt_1e-8,bulk_He_current_p95,1e-08,0.0,1e-06,8.60055155271766e-07
seed2_reference_default_unitbox,2,no,yes,first_bulk_He_p95_gt_1e-6,bulk_He_current_p95,1e-06,1.0,5e-06,2.538281314627965e-05
seed2_reference_default_unitbox,2,no,yes,first_step_where_ratio_valid,notch_tip_He_current_max,1e-08,0.0,1e-06,4.4004671508446336e-05
