case,seed,new_random_seed,reference_only,run_status,exit_code,final_step,final_Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_He_current_max,bulk_He_current_p95,bottom_right_He_current_max,bulk_notch_He_ratio,bottom_notch_He_ratio,notch_tip_alpha_max,bulk_alpha_mean,bottom_right_alpha_max,reaction_N_tm_eff,final_strain,final_stress,elastic_energy,fracture_energy,loss_log10,top_u_mode,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,coord_normalization,alpha_init,mixed_mechanics_mode,classification
seed7_default_unitbox,7,yes,no,completed,0,33,0.0001,-0.0017104148864746,0.1131112231068167,0.1909714516370473,1.001680850982666,0.0504527813712807,0.0052397302351891,0.0050164656713604,0.0052397302351891,0.0050164656713604,0.0052397302351891,0.0050164656713604,102.67700958251952,0.0017628471716307,0.0020159229170531,1.7168859697008832e-05,1.963363488330798e-05,1.001553297042847,0.1059526407887494,0.1943526268005371,0.7899184823036194,,,3.898578171401823e-08,2.50236951160332e-08,-7.193755722417556,free,5.0901567192340735e-06,0.0,0.0,0.0,unit_box,default,history,A. full localized stable
seed13_default_unitbox,13,yes,no,completed,0,33,0.0001,-0.0005131714860908,0.1128640782851502,0.1909250677922488,1.0013507604599,0.0511920162631676,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,88.13838195800781,0.0015555797028355,0.0016191103495657,1.764928817931627e-05,1.8370093863728342e-05,1.0013507604599,0.1053314915542676,0.1947535723447799,0.9588313698768616,,,3.871908305086436e-08,2.487069750145565e-08,-7.1966126737596,free,8.709379471838474e-06,0.0,0.0,0.0,unit_box,default,history,A. full localized stable
seed21_default_unitbox,21,yes,no,completed,0,33,0.0001,-0.0008823781972751,0.1115247794476365,0.1890283554799562,1.0013645887374878,0.0504527813712807,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,107.45176696777344,0.001710619975347,0.0020214444957673,1.5919886881526248e-05,1.8812575658933735e-05,1.000741720199585,0.1046472285323957,0.1870305836200714,0.8642314672470093,,,3.8607208097118935e-08,2.449989366937189e-08,-7.199921764615636,free,5.730404154746793e-06,0.0,0.0,0.0,unit_box,default,history,A. full localized stable
seed42_default_unitbox,42,yes,no,completed,0,33,0.0001,-0.0003715745988301,0.1128446029061213,0.1905557733712437,1.0012657642364502,0.0504527813712807,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,108.66948699951172,0.0017687833635136,0.0019774346146732,1.627672507114711e-05,1.8196778776384045e-05,1.0009911060333252,0.1060586252768548,0.1890749335289001,0.8663928508758545,,,3.8785628930781975e-08,2.492611450577442e-08,-7.195780510527499,free,4.0329932744498365e-06,0.0,0.0,0.0,unit_box,default,history,A. full localized stable
seed99_default_unitbox,99,yes,no,completed,0,33,0.0001,-0.0005855589406564,0.1144018148809362,0.1913102885042248,1.0018606185913086,0.050267972648309,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,106.53130340576172,0.0016128768736962,0.0014840519288554,1.5139933729647668e-05,1.3930665273125851e-05,1.0012526512145996,0.1071933126373793,0.194950670003891,0.9658390283584596,,,3.9533738060981705e-08,2.5323123153953023e-08,-7.188044073085472,free,4.233422714605695e-06,0.0,0.0,0.0,unit_box,default,history,A. full localized stable
seed2_reference_default_unitbox,2,no,yes,completed,0,33,0.0001,-0.0005262425984255,0.1125220685990546,0.1913652760073862,1.001675367355347,0.0513768249861393,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,0.0050459457561373,0.0050400774925947,109.76066589355467,0.0016051591141149,0.0019716774113476,1.4624174343763668e-05,1.796342428588899e-05,1.001664400100708,0.1057888760992743,0.1853498667478561,0.8940204977989197,,,3.85681993009257e-08,2.49906211280404e-08,-7.196824171344216,free,4.975473530066665e-06,0.0,0.0,0.0,unit_box,default,history,A. full localized stable
